 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                in118         in119         in120         in121         in122         in123         in124         in125
     45  2.666254430666E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     46  2.807329513827E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     47  2.946719119355E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     48  2.982466835475E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     49  3.017238950627E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     50  3.052509122072E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     51  3.066477686677E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     52  3.080037159611E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     53  3.111325257314E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     54  3.147800645819E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     55  3.181357346897E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     56  3.217197145871E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     57  3.249951277145E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     58  3.262595809504E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     59  3.272641576722E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     60  3.304841700500E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     61  3.362823507679E-02  2.681564E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     62  3.417743618412E-02  3.246093E-30  1.156445E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     63  3.448472684867E-02  1.744792E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     64  3.459225947862E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     65  3.468161085917E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     66  3.501586344154E-02  2.648824E-30  1.027766E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     67  3.563385967804E-02  9.434479E-30  3.640964E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     68  3.619390900501E-02  7.329207E-30  3.232353E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     69  3.661379630041E-02  7.778207E-30  3.694325E-30  1.125563E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     70  3.704099468238E-02  1.091193E-29  5.285278E-30  1.651578E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     71  3.731378163516E-02  7.845455E-30  3.858085E-30  1.248709E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     72  3.757630769329E-02  7.891009E-30  4.138559E-30  1.387115E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     73  3.788075418501E-02  1.106356E-29  5.681589E-30  1.930952E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     74  3.819794660071E-02  1.340666E-29  6.967886E-30  2.511277E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     75  3.838080203158E-02  8.783153E-30  5.044982E-30  1.836960E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     76  3.859219912978E-02  1.093762E-29  6.066278E-30  2.284617E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     77  3.884096228080E-02  1.489601E-29  8.390697E-30  3.084028E-30  1.225555E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     78  3.907668434759E-02  1.525115E-29  8.770583E-30  3.372210E-30  1.375360E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     79  3.934936577490E-02  2.080041E-29  1.261569E-29  5.126532E-30  2.140679E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     80  3.961640452516E-02  2.262340E-29  1.400716E-29  5.769852E-30  2.576424E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     81  3.991996766101E-02  2.970419E-29  1.929117E-29  7.929580E-30  3.498163E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     82  4.019473378510E-02  2.990468E-29  1.984958E-29  8.381593E-30  3.954723E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     83  4.046928694587E-02  3.576817E-29  2.555422E-29  1.147896E-29  5.477638E-30  1.400538E-30  1.000000E-30  1.000000E-30  1.000000E-30
     84  4.074955599116E-02  3.702836E-29  2.637967E-29  1.255817E-29  6.244508E-30  1.640501E-30  1.000000E-30  1.000000E-30  1.000000E-30
     85  4.099011663524E-02  3.868539E-29  2.907746E-29  1.409512E-29  7.041839E-30  1.888398E-30  1.000000E-30  1.000000E-30  1.000000E-30
     86  4.118445936105E-02  3.357187E-29  2.561959E-29  1.260574E-29  6.394495E-30  1.751798E-30  1.000000E-30  1.000000E-30  1.000000E-30
     87  4.137235583218E-02  3.533615E-29  2.769663E-29  1.398711E-29  7.360593E-30  2.058633E-30  1.000000E-30  1.000000E-30  1.000000E-30
     88  4.152714488067E-02  3.023955E-29  2.400085E-29  1.226661E-29  6.510199E-30  1.851330E-30  1.000000E-30  1.000000E-30  1.000000E-30
     89  4.165981986900E-02  2.717230E-29  2.191335E-29  1.137427E-29  6.149637E-30  1.775854E-30  1.000000E-30  1.000000E-30  1.000000E-30
     90  4.188596337322E-02  4.845185E-29  3.959824E-29  2.068509E-29  1.133036E-29  3.299220E-30  1.067282E-30  1.000000E-30  1.000000E-30
     91  4.208159634323E-02  4.550036E-29  3.776456E-29  2.028906E-29  1.188208E-29  3.634635E-30  1.201603E-30  1.000000E-30  1.000000E-30
     92  4.230932596557E-02  5.683789E-29  4.867556E-29  2.663126E-29  1.538958E-29  4.726727E-30  1.593091E-30  1.000000E-30  1.000000E-30
     93  4.251598135750E-02  5.610356E-29  4.911373E-29  2.752932E-29  1.651143E-29  5.198061E-30  1.792393E-30  1.000000E-30  1.000000E-30
     94  4.274368410830E-02  6.682221E-29  6.021869E-29  3.462181E-29  2.097605E-29  6.900915E-30  2.419167E-30  1.000000E-30  1.000000E-30
     95  4.294191711445E-02  6.614359E-29  6.255849E-29  3.811896E-29  2.484941E-29  8.342814E-30  3.162920E-30  1.000000E-30  1.000000E-30
     96  4.316569238790E-02  7.857576E-29  7.544205E-29  4.658043E-29  3.126972E-29  1.068776E-29  4.041746E-30  1.000000E-30  1.000000E-30
     97  4.339365876136E-02  8.285325E-29  8.046112E-29  4.965343E-29  3.251090E-29  1.142997E-29  4.432423E-30  1.000000E-30  1.000000E-30
     98  4.362382833621E-02  8.989345E-29  8.983378E-29  5.695366E-29  3.842850E-29  1.353377E-29  5.283085E-30  1.000000E-30  1.000000E-30
     99  4.384703699487E-02  9.321145E-29  9.577187E-29  6.233189E-29  4.326790E-29  1.558155E-29  6.368890E-30  1.225035E-30  1.000000E-30
    100  4.408801045744E-02  1.086327E-28  1.147126E-28  7.646100E-29  5.432169E-29  1.977401E-29  8.438447E-30  1.656225E-30  1.000000E-30
    101  4.430336182063E-02  1.050534E-28  1.139671E-28  7.807112E-29  5.729222E-29  2.164356E-29  9.598935E-30  1.924584E-30  1.000000E-30
    102  4.453208602613E-02  1.195106E-28  1.334613E-28  9.372064E-29  7.041278E-29  2.704081E-29  1.179184E-29  2.373757E-30  1.000000E-30
    103  4.474836808964E-02  1.212479E-28  1.399920E-28  1.014639E-28  7.891003E-29  3.133492E-29  1.382710E-29  2.818770E-30  1.000000E-30
    104  4.497736119052E-02  1.390237E-28  1.661215E-28  1.242542E-28  9.991483E-29  4.088342E-29  1.870556E-29  4.062327E-30  1.141312E-30
    105  4.517199675598E-02  1.219790E-28  1.468037E-28  1.106583E-28  8.992881E-29  3.728579E-29  1.770746E-29  3.880796E-30  1.116199E-30
    106  4.536038532241E-02  1.252337E-28  1.549598E-28  1.197072E-28  9.969467E-29  4.210087E-29  2.003799E-29  4.467041E-30  1.310222E-30
    107  4.552484255766E-02  1.200940E-28  1.543352E-28  1.238458E-28  1.078782E-28  4.786579E-29  2.440841E-29  5.603361E-30  1.672414E-30
    108  4.581275722245E-02  2.164629E-28  2.818485E-28  2.276742E-28  1.987049E-28  8.760948E-29  4.397461E-29  1.025377E-29  3.247800E-30
    109  4.603616864208E-02  1.868519E-28  2.593488E-28  2.230552E-28  2.089016E-28  9.852473E-29  5.359714E-29  1.282656E-29  4.087385E-30
    110  4.624194314299E-02  1.776017E-28  2.513743E-28  2.207891E-28  2.127622E-28  1.032717E-28  5.810127E-29  1.424847E-29  4.764616E-30
    111  4.641297951594E-02  1.568174E-28  2.263644E-28  2.021516E-28  1.977952E-28  9.690802E-29  5.491278E-29  1.359327E-29  4.616201E-30
    112  4.656990459822E-02  1.484427E-28  2.171432E-28  1.960540E-28  1.939616E-28  9.619823E-29  5.550444E-29  1.401092E-29  4.843915E-30
    113  4.671253119976E-02  1.399289E-28  2.079695E-28  1.903606E-28  1.909316E-28  9.569698E-29  5.590736E-29  1.431259E-29  4.932214E-30
    114  4.684580987606E-02  1.350869E-28  2.038591E-28  1.890903E-28  1.922470E-28  9.735063E-29  5.755668E-29  1.500717E-29  5.302814E-30
    115  4.697520204195E-02  1.351683E-28  2.070130E-28  1.945132E-28  2.004275E-28  1.026442E-28  6.132069E-29  1.628710E-29  5.954927E-30
    116  4.709649788536E-02  1.312308E-28  2.041838E-28  1.945695E-28  2.034819E-28  1.055357E-28  6.392170E-29  1.718270E-29  6.315516E-30
    117  4.721637454993E-02  1.330887E-28  2.098999E-28  2.024226E-28  2.143792E-28  1.123917E-28  6.882214E-29  1.874594E-29  6.945612E-30
    118  4.732862910872E-02  1.283262E-28  2.054359E-28  2.007903E-28  2.157279E-28  1.145083E-28  7.109167E-29  1.956059E-29  7.365606E-30
    119  4.750539400184E-02  2.083413E-28  3.410614E-28  3.403884E-28  3.746574E-28  2.033866E-28  1.298477E-28  3.672619E-29  1.432014E-29
    120  4.767210524850E-02  2.037268E-28  3.438027E-28  3.515754E-28  3.951087E-28  2.173950E-28  1.391915E-28  3.831276E-29  1.470239E-29
    121  4.783406579930E-02  2.055755E-28  3.543806E-28  3.695193E-28  4.243467E-28  2.379674E-28  1.562213E-28  4.423418E-29  1.715733E-29
    122  4.799263518131E-02  2.081384E-28  3.657312E-28  3.879890E-28  4.541120E-28  2.589594E-28  1.733721E-28  4.996043E-29  1.964761E-29
    123  4.815339657435E-02  2.170480E-28  3.891947E-28  4.206255E-28  5.027465E-28  2.921087E-28  1.999668E-28  5.893065E-29  2.360000E-29
    124  4.832264594384E-02  2.342450E-28  4.296141E-28  4.740245E-28  5.799391E-28  3.439817E-28  2.412321E-28  7.268994E-29  3.016207E-29
    125  4.849826454798E-02  2.495423E-28  4.683254E-28  5.274059E-28  6.596346E-28  3.986956E-28  2.855623E-28  8.750720E-29  3.722061E-29
    126  4.867786870736E-02  2.623869E-28  5.039181E-28  5.791899E-28  7.405575E-28  4.561436E-28  3.337689E-28  1.041139E-28  4.543618E-29
    127  4.885872256535E-02  2.714028E-28  5.331677E-28  6.252761E-28  8.173113E-28  5.131206E-28  3.838285E-28  1.218643E-28  5.457480E-29
    128  4.903755607841E-02  2.751157E-28  5.528389E-28  6.616288E-28  8.845472E-28  5.663960E-28  4.336458E-28  1.402972E-28  6.456347E-29
    129  4.921259737621E-02  2.762315E-28  5.683022E-28  6.946670E-28  9.509689E-28  6.217130E-28  4.878813E-28  1.610364E-28  7.621849E-29
    130  4.938368810460E-02  2.781515E-28  5.852075E-28  7.297023E-28  1.021221E-27  6.805945E-28  5.463166E-28  1.836474E-28  8.911264E-29
    131  4.955132280349E-02  2.801190E-28  6.012739E-28  7.632411E-28  1.089713E-27  7.390711E-28  6.057838E-28  2.071324E-28  1.028700E-28
    132  4.971624312404E-02  2.816512E-28  6.171279E-28  7.979575E-28  1.163331E-27  8.036648E-28  6.735147E-28  2.345135E-28  1.192631E-28
    133  4.987811857735E-02  2.829172E-28  6.331039E-28  8.340583E-28  1.241630E-27  8.735141E-28  7.480872E-28  2.650894E-28  1.378937E-28
    134  5.003799836445E-02  2.858469E-28  6.524195E-28  8.746913E-28  1.327932E-27  9.503526E-28  8.306893E-28  2.992721E-28  1.590380E-28
    135  5.019682549602E-02  2.895981E-28  6.744465E-28  9.205749E-28  1.426093E-27  1.038747E-27  9.273289E-28  3.398560E-28  1.846538E-28
    136  5.035511419132E-02  2.947257E-28  7.007899E-28  9.741405E-28  1.539770E-27  1.141136E-27  1.039899E-27  3.874696E-28  2.150494E-28
    137  5.051299755300E-02  3.000660E-28  7.277986E-28  1.029059E-27  1.656676E-27  1.246682E-27  1.156285E-27  4.370123E-28  2.470789E-28
    138  5.067010535678E-02  3.032739E-28  7.504682E-28  1.079571E-27  1.770824E-27  1.353817E-27  1.278745E-27  4.900961E-28  2.822544E-28
    139  5.082726902819E-02  3.090496E-28  7.813212E-28  1.144675E-27  1.914810E-27  1.488105E-27  1.432203E-27  5.570140E-28  3.265532E-28
    140  5.098506829486E-02  3.161838E-28  8.158744E-28  1.216413E-27  2.073774E-27  1.637534E-27  1.605251E-27  6.334042E-28  3.781566E-28
    141  5.114361869269E-02  3.219019E-28  8.482415E-28  1.287728E-27  2.238907E-27  1.797585E-27  1.796530E-27  7.197554E-28  4.380681E-28
    142  5.130328078870E-02  3.291277E-28  8.857599E-28  1.368732E-27  2.425531E-27  1.978668E-27  2.014494E-27  8.192201E-28  5.083578E-28
    143  5.146205644840E-02  3.326608E-28  9.139578E-28  1.437387E-27  2.596254E-27  2.151938E-27  2.231482E-27  9.205696E-28  5.818938E-28
    144  5.162089365231E-02  3.384796E-28  9.497462E-28  1.520451E-27  2.799083E-27  2.356857E-27  2.488206E-27  1.040818E-27  6.694108E-28
    145  5.177902725711E-02  3.410458E-28  9.777132E-28  1.594027E-27  2.993017E-27  2.561733E-27  2.755589E-27  1.169440E-27  7.657699E-28
    146  5.193558292952E-02  3.343061E-28  9.838584E-28  1.641909E-27  3.165921E-27  2.771326E-27  3.059530E-27  1.324234E-27  8.874015E-28
    147  5.207655208218E-02  3.058611E-28  9.187518E-28  1.560219E-27  3.066142E-27  2.726612E-27  3.065025E-27  1.345175E-27  9.170938E-28
    148  5.220437120847E-02  2.812125E-28  8.610282E-28  1.486567E-27  2.975613E-27  2.687218E-27  3.075414E-27  1.368617E-27  9.494009E-28
    149  5.240275279905E-02  4.382671E-28  1.383026E-27  2.447849E-27  5.027079E-27  4.632313E-27  5.416499E-27  2.448139E-27  1.728774E-27
    150  5.258707116153E-02  4.115667E-28  1.314628E-27  2.351655E-27  4.896811E-27  4.574734E-27  5.462107E-27  2.517462E-27  1.834370E-27
    151  5.276353482958E-02  4.000206E-28  1.317797E-27  2.420851E-27  5.188141E-27  4.959744E-27  6.067636E-27  2.844434E-27  2.109227E-27
    152  5.293536770993E-02  3.931973E-28  1.328880E-27  2.495308E-27  5.479895E-27  5.346259E-27  6.697545E-27  3.197661E-27  2.426182E-27
    153  5.310288915571E-02  3.741684E-28  1.302300E-27  2.509304E-27  5.676119E-27  5.677680E-27  7.325939E-27  3.578152E-27  2.792854E-27
    154  5.325369291828E-02  3.390833E-28  1.206966E-27  2.369826E-27  5.472426E-27  5.567598E-27  7.326818E-27  3.633085E-27  2.890514E-27
    155  5.339308966526E-02  3.031623E-28  1.096166E-27  2.183525E-27  5.132703E-27  5.305517E-27  7.125897E-27  3.593064E-27  2.925078E-27
    156  5.362726198018E-02  5.189109E-28  1.956030E-27  4.039655E-27  9.880944E-27  1.054160E-26  1.464282E-26  7.557188E-27  6.301460E-27
    157  5.383816121000E-02  4.797179E-28  1.842775E-27  3.867915E-27  9.647414E-27  1.047707E-26  1.491210E-26  7.860178E-27  6.769237E-27
    158  5.403768730975E-02  4.582010E-28  1.808571E-27  3.887660E-27  9.974488E-27  1.109750E-26  1.627577E-26  8.783863E-27  7.798664E-27
    159  5.422986619970E-02  4.286832E-28  1.752604E-27  3.879241E-27  1.027942E-26  1.174120E-26  1.775582E-26  9.808352E-27  8.970350E-27
    160  5.440569294967E-02  3.965884E-28  1.654036E-27  3.725993E-27  1.008528E-26  1.173513E-26  1.816544E-26  1.022212E-26  9.583879E-27
    161  5.456994612052E-02  3.688029E-28  1.574800E-27  3.617939E-27  1.001264E-26  1.186817E-26  1.880211E-26  1.077941E-26  1.037218E-26
    162  5.485681963417E-02  6.377455E-28  2.815719E-27  6.684854E-27  1.932754E-26  2.382242E-26  3.963094E-26  2.357757E-26  2.369943E-26
    163  5.511708850657E-02  6.194997E-28  2.787867E-27  6.706644E-27  1.970337E-26  2.468847E-26  4.225211E-26  2.583498E-26  2.720489E-26
    164  5.536560227933E-02  5.888064E-28  2.788530E-27  6.999694E-27  2.150453E-26  2.786485E-26  4.939165E-26  3.094804E-26  3.357163E-26
    165  5.559867087093E-02  5.840713E-28  2.880429E-27  7.464350E-27  2.369228E-26  3.146001E-26  5.724122E-26  3.654014E-26  4.057147E-26
    166  5.582344501454E-02  6.055494E-28  3.064031E-27  8.120033E-27  2.647334E-26  3.595700E-26  6.728877E-26  4.390052E-26  5.017773E-26
    167  5.608267729631E-02  7.454861E-28  3.910934E-27  1.067444E-26  3.597536E-26  5.020620E-26  9.712399E-26  6.501261E-26  7.693206E-26
    168  5.632179590432E-02  7.915836E-28  4.282032E-27  1.198279E-26  4.150327E-26  5.917867E-26  1.172353E-25  7.978399E-26  9.614797E-26
    169  5.658568452696E-02  1.000266E-27  5.705170E-27  1.668097E-26  6.072701E-26  9.012296E-26  1.872567E-25  1.320756E-25  1.667448E-25
    170  5.682194908758E-02  1.152501E-27  6.843923E-27  2.068455E-26  7.815640E-26  1.194641E-25  2.568943E-25  1.857904E-25  2.419789E-25
    171  5.707748662895E-02  1.523187E-27  9.383455E-27  2.924998E-26  1.146020E-25  1.804635E-25  4.025345E-25  2.993232E-25  4.044488E-25
    172  5.730159219632E-02  1.895226E-27  1.205216E-26  3.857807E-26  1.558957E-25  2.517559E-25  5.791610E-25  4.408184E-25  6.142364E-25
    173  5.769211250520E-02  3.349127E-27  2.257335E-26  7.584642E-26  3.242985E-25  5.481585E-25  1.332995E-24  1.057664E-24  1.556858E-24
    174  5.804755660481E-02  5.115031E-27  3.636715E-26  1.276502E-25  5.742222E-25  1.011328E-24  2.587358E-24  2.133018E-24  3.304054E-24
    175  5.837706807704E-02  7.812127E-27  5.835556E-26  2.132534E-25  1.005429E-24  1.839234E-24  4.931586E-24  4.211710E-24  6.839643E-24
    176  5.868213309337E-02  1.168899E-26  9.143397E-26  3.469655E-25  1.709575E-24  3.240310E-24  9.078091E-24  8.011876E-24  1.359527E-23
    177  5.897372529375E-02  1.723748E-26  1.409640E-25  5.546702E-25  2.851592E-24  5.592313E-24  1.634242E-23  1.488414E-23  2.634285E-23
    178  5.927019313219E-02  2.556455E-26  2.187717E-25  8.932452E-25  4.795942E-24  9.738056E-24  2.971029E-23  2.794122E-23  5.162432E-23
    179  5.955970264735E-02  3.738635E-26  3.345103E-25  1.416114E-24  7.933981E-24  1.666714E-23  5.304515E-23  5.147743E-23  9.920499E-23
