 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                na30          na31          na32          na33          na34          mg20          mg21          mg22 
     35  1.116687552369E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  5.984384E-30
     36  1.219012310682E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.668870E-29
     37  1.314647137106E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.950563E-29
     38  1.431720408173E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.006501E-28
     39  1.545287753035E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.196399E-28
     40  1.716820108076E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  5.754558E-28
     41  1.871872199221E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.134949E-27
     42  2.131412024987E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.485151E-27
     43  2.288535686070E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.382558E-27
     44  2.437102778700E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.109777E-27
     45  2.666254430666E-02  1.505924E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.809002E-27
     46  2.807329513827E-02  1.229658E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.908362E-27
     47  2.946719119355E-02  8.653660E-28  1.155383E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.685753E-27
     48  2.982466835475E-02  1.417581E-27  1.907294E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.564891E-27
     49  3.017238950627E-02  2.294289E-27  3.123849E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.436845E-27
     50  3.052509122072E-02  3.688421E-27  5.087629E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.290638E-27
     51  3.066477686677E-02  4.433955E-27  6.145189E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.228706E-27
     52  3.080037159611E-02  5.300138E-27  7.384400E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.166466E-27
     53  3.111325257314E-02  7.944410E-27  1.120743E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.016426E-27
     54  3.147800645819E-02  1.251219E-26  1.790846E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.833985E-27
     55  3.181357346897E-02  1.866461E-26  2.707715E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.663000E-27
     56  3.217197145871E-02  2.807026E-26  4.132496E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.481030E-27
     57  3.249951277145E-02  4.009000E-26  5.983107E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.318158E-27
     58  3.262595809504E-02  4.582591E-26  6.875461E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.256573E-27
     59  3.272641576722E-02  5.096413E-26  7.678838E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.207752E-27
     60  3.304841700500E-02  7.106487E-26  1.085561E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.055223E-27
     61  3.362823507679E-02  1.256018E-25  1.967610E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.798437E-27
     62  3.417743618412E-02  2.092984E-25  3.360131E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.578818E-27
     63  3.448472684867E-02  2.756562E-25  4.487711E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.466205E-27
     64  3.459225947862E-02  3.032798E-25  4.961770E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.428269E-27
     65  3.468161085917E-02  3.283321E-25  5.393691E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.397204E-27
     66  3.501586344154E-02  4.401333E-25  7.343020E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.286225E-27
     67  3.563385967804E-02  7.450830E-25  1.279766E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.102253E-27
     68  3.619390900501E-02  1.182084E-24  2.085930E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.958111E-27
     69  3.661379630041E-02  1.656739E-24  2.984194E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.862653E-27
     70  3.704099468238E-02  2.320634E-24  4.269353E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.775456E-27
     71  3.731378163516E-02  2.860998E-24  5.335806E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.725156E-27
     72  3.757630769329E-02  3.481586E-24  6.579725E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.680519E-27
     73  3.788075418501E-02  4.340380E-24  8.330657E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.633157E-27
     74  3.819794660071E-02  5.410596E-24  1.055502E-26  1.029574E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.588534E-27
     75  3.838080203158E-02  6.114767E-24  1.204179E-26  1.178451E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.564855E-27
     76  3.859219912978E-02  7.021531E-24  1.397945E-26  1.372967E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.538956E-27
     77  3.884096228080E-02  8.206251E-24  1.655084E-26  1.632418E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.510795E-27
     78  3.907668434759E-02  9.444494E-24  1.928442E-26  1.909668E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.486293E-27
     79  3.934936577490E-02  1.100987E-23  2.280542E-26  2.269073E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.460431E-27
     80  3.961640452516E-02  1.266700E-23  2.661128E-26  2.660124E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.437517E-27
     81  3.991996766101E-02  1.467127E-23  3.132401E-26  3.148166E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.414174E-27
     82  4.019473378510E-02  1.655840E-23  3.587706E-26  3.623503E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.395379E-27
     83  4.046928694587E-02  1.847361E-23  4.062144E-26  4.122998E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.378618E-27
     84  4.074955599116E-02  2.039159E-23  4.552156E-26  4.643847E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.363593E-27
     85  4.099011663524E-02  2.194333E-23  4.962761E-26  5.084915E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.352382E-27
     86  4.118445936105E-02  2.309292E-23  5.278151E-26  5.427325E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.344426E-27
     87  4.137235583218E-02  2.408560E-23  5.561615E-26  5.738668E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.337653E-27
     88  4.152714488067E-02  2.479731E-23  5.774481E-26  5.975392E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.332735E-27
     89  4.165981986900E-02  2.532050E-23  5.939176E-26  6.160986E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.328975E-27
     90  4.188596337322E-02  2.600780E-23  6.176250E-26  6.434213E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.323471E-27
     91  4.208159634323E-02  2.637983E-23  6.332041E-26  6.620743E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.319569E-27
     92  4.230932596557E-02  2.654463E-23  6.451459E-26  6.774563E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.315875E-27
     93  4.251598135750E-02  2.644618E-23  6.500493E-26  6.852495E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.313067E-27
     94  4.274368410830E-02  2.608533E-23  6.491959E-26  6.872837E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.310308E-27
     95  4.294191711445E-02  2.557915E-23  6.435136E-26  6.838073E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.307741E-27
     96  4.316569238790E-02  2.483237E-23  6.323789E-26  6.748153E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.304289E-27
     97  4.339365876136E-02  2.392289E-23  6.168030E-26  6.610272E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.299424E-27
     98  4.362382833621E-02  2.289818E-23  5.977857E-26  6.434332E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.292203E-27
     99  4.384703699487E-02  2.184338E-23  5.771634E-26  6.238579E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.282002E-27
    100  4.408801045744E-02  2.067514E-23  5.534371E-26  6.009455E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.266161E-27
    101  4.430336182063E-02  1.962370E-23  5.314049E-26  5.793627E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.246287E-27
    102  4.453208602613E-02  1.852384E-23  5.078219E-26  5.560448E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.218157E-27
    103  4.474836808964E-02  1.750797E-23  4.855936E-26  5.338870E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.183563E-27
    104  4.497736119052E-02  1.646016E-23  4.622216E-26  5.104180E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.137574E-27
    105  4.517199675598E-02  1.558920E-23  4.424246E-26  4.903868E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.090694E-27
    106  4.536038532241E-02  1.475776E-23  4.231766E-26  4.707721E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.038975E-27
    107  4.552484255766E-02  1.403707E-23  4.061852E-26  4.533279E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  9.894868E-28
    108  4.581275722245E-02  1.277560E-23  3.756823E-26  4.217094E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  8.966066E-28
    109  4.603616864208E-02  1.179265E-23  3.511890E-26  3.959895E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  8.228816E-28
    110  4.624194314299E-02  1.087504E-23  3.276911E-26  3.710405E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  7.566602E-28
    111  4.641297951594E-02  1.011464E-23  3.077958E-26  3.497334E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  7.050013E-28
    112  4.656990459822E-02  9.423075E-24  2.893736E-26  3.298678E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  6.612301E-28
    113  4.671253119976E-02  8.803416E-24  2.726042E-26  3.116736E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  6.248637E-28
    114  4.684580987606E-02  8.235349E-24  2.570148E-26  2.946698E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  5.939739E-28
    115  4.697520204195E-02  7.696925E-24  2.420492E-26  2.782679E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  5.668507E-28
    116  4.709649788536E-02  7.206277E-24  2.282505E-26  2.630771E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  5.439138E-28
    117  4.721637454993E-02  6.736749E-24  2.149013E-26  2.483222E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  5.234902E-28
    118  4.732862910872E-02  6.312454E-24  2.027151E-26  2.348007E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  5.062522E-28
    119  4.750539400184E-02  5.677226E-24  1.842482E-26  2.142314E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.824543E-28
    120  4.767210524850E-02  5.117784E-24  1.677559E-26  1.957547E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.632910E-28
    121  4.783406579930E-02  4.612848E-24  1.526784E-26  1.787842E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.472489E-28
    122  4.799263518131E-02  4.155642E-24  1.388586E-26  1.631595E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.335802E-28
    123  4.815339657435E-02  3.727679E-24  1.257626E-26  1.482854E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.213530E-28
    124  4.832264594384E-02  3.318369E-24  1.130915E-26  1.338345E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.099979E-28
    125  4.849826454798E-02  2.936894E-24  1.011436E-26  1.201506E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.995285E-28
    126  4.867786870736E-02  2.590144E-24  9.015716E-27  1.075154E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.899091E-28
    127  4.885872256535E-02  2.282649E-24  8.030495E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.810884E-28
    128  4.903755607841E-02  2.016836E-24  7.169797E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.730301E-28
    129  4.921259737621E-02  1.790671E-24  6.430383E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.656424E-28
    130  4.938368810460E-02  1.599504E-24  5.800036E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.587992E-28
    131  4.955132280349E-02  1.438488E-24  5.265277E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.523846E-28
    132  4.971624312404E-02  1.303352E-24  4.813978E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.463024E-28
    133  4.987811857735E-02  1.191294E-24  4.438509E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.405154E-28
    134  5.003799836445E-02  1.098481E-24  4.127180E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.348951E-28
    135  5.019682549602E-02  1.023079E-24  3.875371E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.294334E-28
    136  5.035511419132E-02  9.633736E-25  3.678458E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.241002E-28
    137  5.051299755300E-02  9.180693E-25  3.533105E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.188788E-28
    138  5.067010535678E-02  8.861617E-25  3.436861E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.137718E-28
    139  5.082726902819E-02  8.665848E-25  3.387114E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.087449E-28
    140  5.098506829486E-02  8.586736E-25  3.382661E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.037743E-28
    141  5.114361869269E-02  8.620292E-25  3.423221E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.988526E-28
    142  5.130328078870E-02  8.764344E-25  3.509274E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.939656E-28
    143  5.146205644840E-02  9.014370E-25  3.639920E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.891705E-28
    144  5.162089365231E-02  9.369338E-25  3.816167E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.844345E-28
    145  5.177902725711E-02  9.826420E-25  4.037969E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.797761E-28
    146  5.193558292952E-02  1.038268E-24  4.305137E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.751730E-28
    147  5.207655208218E-02  1.097277E-24  4.587661E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.710604E-28
    148  5.220437120847E-02  1.158275E-24  4.879872E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.673631E-28
    149  5.240275279905E-02  1.267542E-24  5.405199E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.616820E-28
    150  5.258707116153E-02  1.385720E-24  5.977241E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.564636E-28
    151  5.276353482958E-02  1.514811E-24  6.607182E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.515189E-28
    152  5.293536770993E-02  1.656499E-24  7.304796E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.467500E-28
    153  5.310288915571E-02  1.810930E-24  8.072389E-27  1.056360E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.421421E-28
    154  5.325369291828E-02  1.964575E-24  8.843257E-27  1.160486E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.380285E-28
    155  5.339308966526E-02  2.119855E-24  9.629288E-27  1.267931E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.342534E-28
    156  5.362726198018E-02  2.411406E-24  1.112274E-26  1.473174E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.279710E-28
    157  5.383816121000E-02  2.710641E-24  1.267798E-26  1.687906E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.223381E-28
    158  5.403768730975E-02  3.028723E-24  1.435396E-26  1.920531E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.170316E-28
    159  5.422986619970E-02  3.369847E-24  1.617583E-26  2.174696E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.119715E-28
    160  5.440569294967E-02  3.713775E-24  1.803667E-26  2.435575E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.073916E-28
    161  5.456994612052E-02  4.064506E-24  1.995772E-26  2.706143E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.031594E-28
    162  5.485681963417E-02  4.748905E-24  2.376969E-26  3.246655E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.958917E-28
    163  5.511708850657E-02  5.455808E-24  2.778997E-26  3.820962E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.894446E-28
    164  5.536560227933E-02  6.211679E-24  3.217495E-26  4.452066E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.834368E-28
    165  5.559867087093E-02  6.996062E-24  3.681325E-26  5.124438E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.779451E-28
    166  5.582344501454E-02  7.827548E-24  4.182091E-26  5.855352E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.727321E-28
    167  5.608267729631E-02  8.882662E-24  4.830178E-26  6.808362E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.668702E-28
    168  5.632179590432E-02  9.953285E-24  5.501296E-26  7.802716E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.616231E-28
    169  5.658568452696E-02  1.125271E-23  6.332719E-26  9.044181E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.560095E-28
    170  5.682194908758E-02  1.253031E-23  7.166867E-26  1.029916E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.511383E-28
    171  5.707748662895E-02  1.404547E-23  8.175881E-26  1.182867E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.460282E-28
    172  5.730159219632E-02  1.549870E-23  9.162292E-26  1.333470E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.416772E-28
    173  5.769211250520E-02  1.834285E-23  1.114056E-25  1.638357E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.343375E-28
    174  5.804755660481E-02  2.132311E-23  1.327463E-25  1.970892E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.278775E-28
    175  5.837706807704E-02  2.446140E-23  1.558270E-25  2.334234E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.221212E-28
    176  5.868213309337E-02  2.772737E-23  1.804470E-25  2.725496E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.169890E-28
    177  5.897372529375E-02  3.120913E-23  2.073112E-25  3.156260E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.122574E-28
    178  5.927019313219E-02  3.514738E-23  2.384042E-25  3.659265E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.076175E-28
    179  5.955970264735E-02  3.942192E-23  2.729328E-25  4.222800E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.032305E-28
