 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                tc101         tc102         tc103         tc104         tc105         tc106         tc107         tc108
     42  2.131412024987E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     43  2.288535686070E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     44  2.437102778700E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     45  2.666254430666E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     46  2.807329513827E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     47  2.946719119355E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     48  2.982466835475E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     49  3.017238950627E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     50  3.052509122072E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     51  3.066477686677E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     52  3.080037159611E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     53  3.111325257314E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     54  3.147800645819E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     55  3.181357346897E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     56  3.217197145871E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     57  3.249951277145E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     58  3.262595809504E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     59  3.272641576722E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     60  3.304841700500E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     61  3.362823507679E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     62  3.417743618412E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     63  3.448472684867E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     64  3.459225947862E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     65  3.468161085917E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     66  3.501586344154E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     67  3.563385967804E-02  1.731364E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     68  3.619390900501E-02  1.606315E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     69  3.661379630041E-02  1.449316E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     70  3.704099468238E-02  1.672621E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     71  3.731378163516E-02  1.223144E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     72  3.757630769329E-02  1.265110E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     73  3.788075418501E-02  1.579454E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     74  3.819794660071E-02  1.796808E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     75  3.838080203158E-02  1.147767E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     76  3.859219912978E-02  1.394087E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     77  3.884096228080E-02  1.737063E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     78  3.907668434759E-02  1.768309E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     79  3.934936577490E-02  2.240914E-30  1.001711E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     80  3.961640452516E-02  2.422649E-30  1.104568E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     81  3.991996766101E-02  2.722360E-30  1.268975E-30  1.105423E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     82  4.019473378510E-02  2.743948E-30  1.307945E-30  1.174713E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     83  4.046928694587E-02  3.078061E-30  1.499888E-30  1.387475E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     84  4.074955599116E-02  3.364548E-30  1.674753E-30  1.598170E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     85  4.099011663524E-02  3.155376E-30  1.605868E-30  1.579473E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     86  4.118445936105E-02  2.704879E-30  1.403200E-30  1.418948E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     87  4.137235583218E-02  2.744828E-30  1.446638E-30  1.496966E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     88  4.152714488067E-02  2.303009E-30  1.232020E-30  1.304496E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     89  4.165981986900E-02  2.054427E-30  1.113077E-30  1.200563E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     90  4.188596337322E-02  3.659009E-30  2.005668E-30  2.288037E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     91  4.208159634323E-02  3.402146E-30  1.898734E-30  2.137593E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     92  4.230932596557E-02  4.120308E-30  2.380167E-30  2.781571E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     93  4.251598135750E-02  3.935836E-30  2.342440E-30  2.758263E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     94  4.274368410830E-02  4.516988E-30  2.665429E-30  3.322146E-30  1.135690E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     95  4.294191711445E-02  4.194744E-30  2.627263E-30  3.288334E-30  1.143523E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     96  4.316569238790E-02  5.178232E-30  3.190466E-30  4.137489E-30  1.461780E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     97  4.339365876136E-02  5.232409E-30  3.312226E-30  4.512147E-30  1.626269E-30  1.106300E-30  1.000000E-30  1.000000E-30  1.000000E-30
     98  4.362382833621E-02  5.670203E-30  3.579077E-30  4.845675E-30  1.780299E-30  1.242956E-30  1.000000E-30  1.000000E-30  1.000000E-30
     99  4.384703699487E-02  5.741658E-30  3.716358E-30  5.193437E-30  1.945832E-30  1.393365E-30  1.000000E-30  1.000000E-30  1.000000E-30
    100  4.408801045744E-02  6.855093E-30  4.584217E-30  6.837734E-30  2.576448E-30  1.886568E-30  1.000000E-30  1.000000E-30  1.000000E-30
    101  4.430336182063E-02  6.164686E-30  4.196582E-30  6.273748E-30  2.419905E-30  1.825175E-30  1.000000E-30  1.000000E-30  1.000000E-30
    102  4.453208602613E-02  7.240724E-30  4.966055E-30  7.990631E-30  3.315830E-30  2.652568E-30  1.000000E-30  1.000000E-30  1.000000E-30
    103  4.474836808964E-02  6.755321E-30  4.972810E-30  7.913827E-30  3.149757E-30  2.623618E-30  1.000000E-30  1.000000E-30  1.000000E-30
    104  4.497736119052E-02  7.513897E-30  5.496793E-30  8.933429E-30  3.829880E-30  3.037833E-30  1.000000E-30  1.000000E-30  1.000000E-30
    105  4.517199675598E-02  6.825541E-30  4.956437E-30  8.692024E-30  3.692587E-30  3.261652E-30  1.000000E-30  1.000000E-30  1.000000E-30
    106  4.536038532241E-02  6.950967E-30  5.124114E-30  9.250971E-30  3.985133E-30  3.518063E-30  1.000000E-30  1.000000E-30  1.000000E-30
    107  4.552484255766E-02  6.501790E-30  4.991785E-30  8.863957E-30  3.990825E-30  3.496988E-30  1.000000E-30  1.000000E-30  1.000000E-30
    108  4.581275722245E-02  1.191985E-29  9.234172E-30  1.712879E-29  7.687719E-30  7.116761E-30  1.404573E-30  1.000000E-30  1.000000E-30
    109  4.603616864208E-02  9.948696E-30  7.791080E-30  1.529482E-29  7.096202E-30  6.798860E-30  1.369717E-30  1.000000E-30  1.000000E-30
    110  4.624194314299E-02  1.114426E-29  9.150756E-30  1.795343E-29  8.600500E-30  8.525266E-30  1.742375E-30  1.000000E-30  1.000000E-30
    111  4.641297951594E-02  1.245674E-29  1.025115E-29  2.080174E-29  9.951987E-30  9.869633E-30  2.010965E-30  1.000000E-30  1.000000E-30
    112  4.656990459822E-02  1.638238E-29  1.366273E-29  2.826335E-29  1.379475E-29  1.416116E-29  3.007039E-30  1.000000E-30  1.000000E-30
    113  4.671253119976E-02  2.297224E-29  1.932771E-29  4.051741E-29  1.993148E-29  2.066221E-29  4.439933E-30  1.254961E-30  1.000000E-30
    114  4.684580987606E-02  3.374027E-29  2.874825E-29  6.143308E-29  3.061164E-29  3.228014E-29  6.993223E-30  2.016759E-30  1.000000E-30
    115  4.697520204195E-02  5.103769E-29  4.401820E-29  9.580627E-29  4.833210E-29  5.181801E-29  1.134500E-29  3.317982E-30  1.000000E-30
    116  4.709649788536E-02  7.605433E-29  6.633947E-29  1.468778E-28  7.495573E-29  8.162708E-29  1.805078E-29  5.350099E-30  1.000000E-30
    117  4.721637454993E-02  1.138441E-28  1.004274E-28  2.261808E-28  1.167693E-28  1.291895E-28  2.886072E-29  8.672587E-30  1.019399E-30
    118  4.732862910872E-02  1.657902E-28  1.477954E-28  3.382019E-28  1.764937E-28  1.981699E-28  4.469351E-29  1.360458E-29  1.613310E-30
    119  4.750539400184E-02  3.022121E-28  2.739778E-28  6.433190E-28  3.416947E-28  3.932102E-28  9.011230E-29  2.804277E-29  3.378515E-30
    120  4.767210524850E-02  5.174632E-28  4.764423E-28  1.145361E-27  6.181332E-28  7.271404E-28  1.690238E-28  5.363358E-29  6.548916E-30
    121  4.783406579930E-02  8.659086E-28  8.095073E-28  1.991279E-27  1.091410E-27  1.311299E-27  3.089711E-28  9.986268E-29  1.234837E-29
    122  4.799263518131E-02  1.419712E-27  1.347234E-27  3.389942E-27  1.886623E-27  2.314826E-27  5.528426E-28  1.820114E-28  2.279294E-29
    123  4.815339657435E-02  2.320812E-27  2.236037E-27  5.757688E-27  3.254641E-27  4.079951E-27  9.879562E-28  3.314745E-28  4.205227E-29
    124  4.832264594384E-02  3.854662E-27  3.773830E-27  9.957237E-27  5.721877E-27  7.337582E-27  1.802968E-27  6.171822E-28  7.938348E-29
    125  4.849826454798E-02  6.459503E-27  6.430161E-27  1.740169E-26  1.017230E-26  1.335667E-26  3.332299E-27  1.164789E-27  1.519806E-28
    126  4.867786870736E-02  1.084640E-26  1.098265E-26  3.050452E-26  1.814682E-26  2.441186E-26  6.186160E-27  2.209204E-27  2.925201E-28
    127  4.885872256535E-02  1.811536E-26  1.866058E-26  5.320735E-26  3.221658E-26  4.441162E-26  1.143276E-26  4.172222E-27  5.606894E-28
    128  4.903755607841E-02  2.984308E-26  3.126807E-26  9.150188E-26  5.638085E-26  7.962781E-26  2.082027E-26  7.762810E-27  1.058632E-27
    129  4.921259737621E-02  4.830625E-26  5.146244E-26  1.544842E-25  9.683398E-26  1.400466E-25  3.718154E-26  1.415788E-26  1.958699E-27
    130  4.938368810460E-02  7.687418E-26  8.324201E-26  2.561978E-25  1.633067E-25  2.417399E-25  6.514753E-26  2.532339E-26  3.553061E-27
    131  4.955132280349E-02  1.205346E-25  1.326218E-25  4.183038E-25  2.710629E-25  4.105173E-25  1.122682E-25  4.453222E-26  6.335086E-27
    132  4.971624312404E-02  1.866956E-25  2.086770E-25  6.742908E-25  4.440895E-25  6.878749E-25  1.908614E-25  7.723402E-26  1.113771E-26
    133  4.987811857735E-02  2.855486E-25  3.241453E-25  1.072594E-24  7.177672E-25  1.136679E-24  3.199072E-25  1.320217E-25  1.929480E-26
    134  5.003799836445E-02  4.325811E-25  4.986234E-25  1.689242E-24  1.148393E-24  1.858937E-24  5.305939E-25  2.232691E-25  3.306494E-26
    135  5.019682549602E-02  6.508896E-25  7.617670E-25  2.641920E-24  1.824457E-24  3.018458E-24  8.737045E-25  3.748352E-25  5.624641E-26
    136  5.035511419132E-02  9.741648E-25  1.157558E-24  4.109659E-24  2.882853E-24  4.874590E-24  1.430834E-24  6.258419E-25  9.515308E-26
    137  5.051299755300E-02  1.450800E-24  1.750269E-24  6.361037E-24  4.532520E-24  7.832733E-24  2.331472E-24  1.039686E-24  1.601612E-25
    138  5.067010535678E-02  2.147973E-24  2.630801E-24  9.786816E-24  7.083117E-24  1.250912E-23  3.775625E-24  1.716457E-24  2.678947E-25
    139  5.082726902819E-02  3.167895E-24  3.939152E-24  1.500070E-23  1.102754E-23  1.990361E-23  6.091892E-24  2.823519E-24  4.464868E-25
    140  5.098506829486E-02  4.659974E-24  5.883327E-24  2.293766E-23  1.712924E-23  3.160089E-23  9.808726E-24  4.635520E-24  7.427357E-25
    141  5.114361869269E-02  6.837249E-24  8.765324E-24  3.499296E-23  2.654812E-23  5.006870E-23  1.576201E-23  7.596322E-24  1.233367E-24
    142  5.130328078870E-02  1.001151E-23  1.303431E-23  5.329430E-23  4.108247E-23  7.922208E-23  2.529747E-23  1.243521E-23  2.046179E-24
    143  5.146205644840E-02  1.455554E-23  1.924373E-23  8.057917E-23  6.310898E-23  1.244226E-22  4.029851E-23  2.020302E-23  3.368845E-24
    144  5.162089365231E-02  2.105208E-23  2.826439E-23  1.212105E-22  9.645280E-23  1.944308E-22  6.387444E-23  3.266097E-23  5.519246E-24
    145  5.177902725711E-02  3.022465E-23  4.120672E-23  1.809712E-22  1.463084E-22  3.015336E-22  1.004736E-22  5.239710E-23  8.972734E-24
    146  5.193558292952E-02  4.296787E-23  5.947572E-23  2.674364E-22  2.196288E-22  4.626720E-22  1.563419E-22  8.313701E-23  1.442492E-23
    147  5.207655208218E-02  5.866220E-23  8.232108E-23  3.781410E-22  3.149752E-22  6.768036E-22  2.316124E-22  1.253505E-22  2.200846E-23
    148  5.220437120847E-02  7.741007E-23  1.099906E-22  5.151224E-22  4.346307E-22  9.508729E-22  3.291666E-22  1.810218E-22  3.212693E-23
    149  5.240275279905E-02  1.178322E-22  1.707078E-22  8.240855E-22  7.094745E-22  1.596682E-21  5.628175E-22  3.174237E-22  5.729917E-23
    150  5.258707116153E-02  1.720660E-22  2.537954E-22  1.259935E-21  1.105009E-21  2.552212E-21  9.146628E-22  5.279071E-22  9.678286E-23
    151  5.276353482958E-02  2.443494E-22  3.666821E-22  1.869977E-21  1.669549E-21  3.953642E-21  1.439681E-21  8.495991E-22  1.580989E-22
    152  5.293536770993E-02  3.397634E-22  5.185123E-22  2.714616E-21  2.466198E-21  5.984332E-21  2.213321E-21  1.334813E-21  2.520319E-22
    153  5.310288915571E-02  4.629203E-22  7.181361E-22  3.857221E-21  3.564167E-21  8.856631E-21  3.325711E-21  2.048580E-21  3.923243E-22
    154  5.325369291828E-02  6.052049E-22  9.528682E-22  5.237823E-21  4.914589E-21  1.247747E-20  4.749998E-21  2.982418E-21  5.785216E-22
    155  5.339308966526E-02  7.681381E-22  1.226062E-21  6.885342E-21  6.552589E-21  1.696999E-20  6.542635E-21  4.181340E-21  8.207454E-22
    156  5.362726198018E-02  1.123402E-21  1.835198E-21  1.068848E-20  1.042044E-20  2.791914E-20  1.099992E-20  7.246466E-21  1.451533E-21
    157  5.383816121000E-02  1.547670E-21  2.581163E-21  1.552808E-20  1.546592E-20  4.270057E-20  1.714876E-20  1.160387E-20  2.366330E-21
    158  5.403768730975E-02  2.056201E-21  3.497477E-21  2.170084E-20  2.205913E-20  6.267411E-20  2.563348E-20  1.779326E-20  3.690725E-21
    159  5.422986619970E-02  2.658134E-21  4.607934E-21  2.945567E-20  3.053620E-20  8.919041E-20  3.712608E-20  2.641361E-20  5.569457E-21
    160  5.440569294967E-02  3.317021E-21  5.851145E-21  3.844067E-20  4.057635E-20  1.215631E-19  5.142564E-20  3.742469E-20  8.010992E-21
    161  5.456994612052E-02  4.034623E-21  7.233784E-21  4.875686E-20  5.234135E-20  1.605790E-19  6.896538E-20  5.126382E-20  1.112910E-20
    162  5.485681963417E-02  5.552851E-21  1.024556E-20  7.225356E-20  7.991452E-20  2.557042E-19  1.127991E-19  8.705358E-20  1.937593E-20
    163  5.511708850657E-02  7.257888E-21  1.374142E-20  1.009235E-19  1.146477E-19  3.809341E-19  1.721249E-19  1.374013E-19  3.127663E-20
    164  5.536560227933E-02  9.221087E-21  1.789616E-20  1.366701E-19  1.592910E-19  5.487515E-19  2.537153E-19  2.091680E-19  4.864115E-20
    165  5.559867087093E-02  1.140227E-20  2.265119E-20  1.794645E-19  2.142870E-19  7.638184E-19  3.608905E-19  3.067273E-19  7.278185E-20
    166  5.582344501454E-02  1.385582E-20  2.815202E-20  2.311282E-19  2.824980E-19  1.040727E-18  5.021370E-19  4.395403E-19  1.063502E-19
    167  5.608267729631E-02  1.716798E-20  3.580157E-20  3.062958E-19  3.846294E-19  1.472170E-18  7.277458E-19  6.591579E-19  1.631301E-19
    168  5.632179590432E-02  2.073860E-20  4.430103E-20  3.937362E-19  5.069403E-19  2.010081E-18  1.016186E-18  9.499438E-19  2.400485E-19
    169  5.658568452696E-02  2.531914E-20  5.554468E-20  5.149412E-19  6.815773E-19  2.810338E-18  1.456462E-18  1.410000E-18  3.646235E-19
    170  5.682194908758E-02  3.005074E-20  6.751819E-20  6.501098E-19  8.820982E-19  3.767097E-18  1.996282E-18  1.994268E-18  5.265025E-19
    171  5.707748662895E-02  3.590450E-20  8.278582E-20  8.305481E-19  1.157643E-18  5.135733E-18  2.788113E-18  2.881889E-18  7.781134E-19
    172  5.730159219632E-02  4.172412E-20  9.841791E-20  1.023701E-18  1.460994E-18  6.702191E-18  3.716625E-18  3.958554E-18  1.090106E-18
    173  5.769211250520E-02  5.354932E-20  1.314349E-19  1.456355E-18  2.166142E-18  1.053618E-17  6.063620E-18  6.805793E-18  1.939812E-18
    174  5.804755660481E-02  6.635936E-20  1.688968E-19  1.982859E-18  3.062685E-18  1.571701E-17  9.357525E-18  1.101949E-17  3.241322E-18
    175  5.837706807704E-02  8.019467E-20  2.111175E-19  2.615566E-18  4.184255E-18  2.257016E-17  1.386874E-17  1.707847E-17  5.172851E-18
    176  5.868213309337E-02  9.485975E-20  2.576751E-19  3.356063E-18  5.546742E-18  3.133767E-17  1.982913E-17  2.545373E-17  7.922017E-18
    177  5.897372529375E-02  1.107038E-19  3.098839E-19  4.234305E-18  7.220367E-18  4.264568E-17  2.775386E-17  3.707449E-17  1.184329E-17
    178  5.927019313219E-02  1.288067E-19  3.717702E-19  5.334576E-18  9.391011E-18  5.803634E-17  3.886889E-17  5.407676E-17  1.773944E-17
    179  5.955970264735E-02  1.485765E-19  4.418851E-19  6.652025E-18  1.208134E-17  7.805140E-17  5.376281E-17  7.783922E-17  2.620712E-17
