#[Fe/H] err [Mg/Fe] err
-2.24 0.15 +0.63 0.86
-2.01 0.11 +0.35 0.28
-1.29 0.11 -0.55 0.51
-1.80 0.11 +0.25 0.18
-1.66 0.11 +0.54 0.35
-2.26 0.11 +0.41 0.19
-1.65 0.11 +0.12 0.16
-2.09 0.11 +0.32 0.40
-1.86 0.11 +0.44 0.41
-1.26 0.11 -0.02 0.48
-2.44 0.14 +0.75 0.95
-1.57 0.11 +0.21 0.21
-1.71 0.11 +0.32 0.28
-1.27 0.11 -0.24 0.21
-1.42 0.11 +0.07 0.15
-2.59 0.11 +0.52 0.61
-1.32 0.11 -0.04 0.18
-2.08 0.11 -0.16 0.70
-1.78 0.11 -0.09 0.32
-1.68 0.11 -0.07 0.74
-1.76 0.11 +0.67 0.25
-1.51 0.11 +0.28 0.24
-1.79 0.12 +0.60 0.31
-1.65 0.11 +0.16 0.18
-2.48 0.11 +0.36 0.56
-2.16 0.11 +0.62 0.26
-2.44 0.14 +1.00 0.65
-2.34 0.11 +0.82 0.33
-1.32 0.12 +0.25 0.56
-1.26 0.13 +0.18 0.86
-1.79 0.12 +0.55 0.40
-1.26 0.11 -0.40 0.36
-1.43 0.11 +0.15 0.30
-1.36 0.12 +0.29 0.36
-1.93 0.11 -0.50 0.70
-1.08 0.11 -0.30 0.20
-1.85 0.11 +0.15 0.27
-1.07 0.11 -0.26 0.51
-1.50 0.12 +0.48 0.30
-1.82 0.12 +0.58 0.54
-1.58 0.11 +0.19 0.13
-1.18 0.11 -0.08 0.48
-1.18 0.11 -0.39 0.25
-1.66 0.11 +0.09 0.49
-1.72 0.11 +0.24 0.30
-1.43 0.11 -0.04 0.19
-1.25 0.11 -0.19 0.18
-1.11 0.11 -0.18 0.17
-1.35 0.11 -0.07 0.31
-1.10 0.12 +0.08 0.39
-1.97 0.11 +0.57 0.15
-1.33 0.11 +0.02 0.36
-1.98 0.11 +0.18 0.48
-1.56 0.12 -0.07 0.88
-2.21 0.12 +0.52 0.60
-1.94 0.13 +0.15 0.98
-1.24 0.12 +0.05 0.43
-2.08 0.15 +0.94 0.45
-1.18 0.11 +0.02 0.24
-2.28 0.11 +0.78 0.14
-1.22 0.11 -0.05 0.19
-1.10 0.11 +0.17 0.21
-1.57 0.11 +0.45 0.43
-2.01 0.11 +0.27 0.14
-1.22 0.11 +0.13 0.19
-1.79 0.11 -0.32 0.74
-2.30 0.11 +0.60 0.26
-1.16 0.11 -0.36 0.38
-1.76 0.12 +0.39 0.55
-1.28 0.11 -0.11 0.18
-1.57 0.11 +0.12 0.17
-1.27 0.11 -0.19 0.26
