 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                nb121         nb122         nb123         nb124         mo82          mo83          mo84          mo85 
     27  8.489118412102E-05  1.000000E-30  1.008941E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000824E-30
     28  9.570255892797E-05  1.000000E-30  1.010077E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000929E-30
     29  1.070853065563E-04  1.000000E-30  1.011271E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.001039E-30
     30  1.190882425669E-04  1.000000E-30  1.012531E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.001155E-30
     31  1.366291075688E-04  1.000000E-30  1.014369E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.001326E-30
     32  1.695708820900E-04  1.000000E-30  1.017817E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.001645E-30
     33  1.992873377730E-04  1.000000E-30  1.020922E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.001934E-30
     34  2.264248739983E-04  1.000000E-30  1.023753E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.002197E-30
     35  2.515933231106E-04  1.000000E-30  1.026374E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.002441E-30
     36  2.753099894686E-04  1.000000E-30  1.028841E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.002671E-30
     37  2.979926919870E-04  1.000000E-30  1.031198E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.002891E-30
     38  3.199702121451E-04  1.000000E-30  1.033478E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.003104E-30
     39  3.524429751724E-04  1.000000E-30  1.036842E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.003419E-30
     40  3.836809895565E-04  1.000000E-30  1.040072E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.003723E-30
     41  4.138876583201E-04  1.000000E-30  1.043190E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.004016E-30
     42  4.432651277490E-04  1.000000E-30  1.046218E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.004301E-30
     43  4.720041568584E-04  1.000000E-30  1.049175E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.004579E-30
     44  5.002792532552E-04  1.000000E-30  1.052079E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.004854E-30
     45  5.282472522620E-04  1.000000E-30  1.054948E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.005125E-30
     46  5.560479783168E-04  1.000000E-30  1.057794E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.005395E-30
     47  5.838060709037E-04  1.000000E-30  1.060632E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.005664E-30
     48  6.116334118686E-04  1.000000E-30  1.063473E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.005934E-30
     49  6.396318340541E-04  1.000000E-30  1.066326E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.006206E-30
     50  6.678959636874E-04  1.000000E-30  1.069202E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.006480E-30
     51  6.965161747902E-04  1.000000E-30  1.072110E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.006757E-30
     52  7.255817382538E-04  1.000000E-30  1.075058E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.007039E-30
     53  7.551843574001E-04  1.000000E-30  1.078056E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.007327E-30
     54  7.854224313090E-04  1.000000E-30  1.081112E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.007620E-30
     55  8.164066374138E-04  1.000000E-30  1.084239E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.007920E-30
     56  8.482679080764E-04  1.000000E-30  1.087449E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.008230E-30
     57  8.811699017317E-04  1.000000E-30  1.090757E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.008549E-30
     58  9.153304977871E-04  1.000000E-30  1.094186E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.008880E-30
     59  9.510634923056E-04  1.000000E-30  1.097765E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.009227E-30
     60  9.888739022907E-04  1.000000E-30  1.101544E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.009594E-30
     61  1.029744313280E-03  1.000000E-30  1.105621E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.009990E-30
     62  1.076805333108E-03  1.000000E-30  1.110303E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.010446E-30
     63  1.127478238084E-03  1.000000E-30  1.115331E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.010938E-30
     64  1.179263354774E-03  1.000000E-30  1.120454E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.011440E-30
     65  1.231720185468E-03  1.000000E-30  1.125628E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.011949E-30
     66  1.284679788904E-03  1.000000E-30  1.130837E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.012463E-30
     67  1.338068714676E-03  1.000000E-30  1.136072E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.012981E-30
     68  1.391852718980E-03  1.000000E-30  1.141329E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.013502E-30
     69  1.446014888479E-03  1.000000E-30  1.146608E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.014028E-30
     70  1.500546342624E-03  1.000000E-30  1.151907E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.014557E-30
     71  1.555442065896E-03  1.000000E-30  1.157224E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.015089E-30
     72  1.610698967280E-03  1.000000E-30  1.162560E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.015625E-30
     73  1.666314948699E-03  1.000000E-30  1.167914E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.016165E-30
     74  1.722288445659E-03  1.000000E-30  1.173285E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.016707E-30
     75  1.778618195039E-03  1.000000E-30  1.178673E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.017254E-30
     76  1.835303663832E-03  1.000000E-30  1.184079E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.017804E-30
     77  1.892344396716E-03  1.000000E-30  1.189500E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.018357E-30
     78  1.949739812628E-03  1.000000E-30  1.194938E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.018913E-30
     79  2.007489276907E-03  1.000000E-30  1.200392E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.019473E-30
     80  2.065592139419E-03  1.000000E-30  1.205861E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.020037E-30
     81  2.124047755162E-03  1.000000E-30  1.211345E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.020604E-30
     82  2.182855495215E-03  1.000000E-30  1.216844E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.021174E-30
     83  2.242014752368E-03  1.000000E-30  1.222358E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.021748E-30
     84  2.301524943777E-03  1.000000E-30  1.227886E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.022325E-30
     85  2.361385511936E-03  1.000000E-30  1.233428E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.022906E-30
     86  2.421595924701E-03  1.000000E-30  1.238983E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.023489E-30
     87  2.482155674804E-03  1.000000E-30  1.244551E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.024077E-30
     88  2.543064279071E-03  1.000000E-30  1.250133E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.024667E-30
     89  2.604321277494E-03  1.000000E-30  1.255727E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.025261E-30
     90  2.665926232237E-03  1.000000E-30  1.261333E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.025859E-30
     91  2.727878734382E-03  1.000000E-30  1.266952E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.026459E-30
     92  2.790178404165E-03  1.000000E-30  1.272582E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.027064E-30
     93  2.852824875480E-03  1.000000E-30  1.278224E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.027671E-30
     94  2.915817796872E-03  1.000000E-30  1.283877E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.028282E-30
     95  2.979156831833E-03  1.000000E-30  1.289540E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.028896E-30
