 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                ce170         ce171         ce172         ce173         ce174         ce175         pr126         pr127
     27  8.489118412102E-05  1.002916E-30  1.004812E-30  1.003798E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000019E-30
     28  9.570255892797E-05  1.003286E-30  1.005423E-30  1.004280E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000021E-30
     29  1.070853065563E-04  1.003676E-30  1.006066E-30  1.004787E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000024E-30
     30  1.190882425669E-04  1.004087E-30  1.006743E-30  1.005322E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000026E-30
     31  1.366291075688E-04  1.004687E-30  1.007733E-30  1.006102E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000030E-30
     32  1.695708820900E-04  1.005811E-30  1.009588E-30  1.007564E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000037E-30
     33  1.992873377730E-04  1.006824E-30  1.011259E-30  1.008879E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000044E-30
     34  2.264248739983E-04  1.007748E-30  1.012782E-30  1.010078E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000050E-30
     35  2.515933231106E-04  1.008603E-30  1.014192E-30  1.011188E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000055E-30
     36  2.753099894686E-04  1.009408E-30  1.015519E-30  1.012232E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000061E-30
     37  2.979926919870E-04  1.010176E-30  1.016787E-30  1.013229E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000066E-30
     38  3.199702121451E-04  1.010920E-30  1.018013E-30  1.014194E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000070E-30
     39  3.524429751724E-04  1.012018E-30  1.019823E-30  1.015615E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000078E-30
     40  3.836809895565E-04  1.013072E-30  1.021561E-30  1.016980E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000084E-30
     41  4.138876583201E-04  1.014089E-30  1.023238E-30  1.018297E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000091E-30
     42  4.432651277490E-04  1.015077E-30  1.024866E-30  1.019574E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000098E-30
     43  4.720041568584E-04  1.016042E-30  1.026456E-30  1.020821E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000104E-30
     44  5.002792532552E-04  1.016990E-30  1.028018E-30  1.022046E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000110E-30
     45  5.282472522620E-04  1.017926E-30  1.029561E-30  1.023255E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000116E-30
     46  5.560479783168E-04  1.018855E-30  1.031092E-30  1.024454E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000122E-30
     47  5.838060709037E-04  1.019781E-30  1.032618E-30  1.025648E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000128E-30
     48  6.116334118686E-04  1.020708E-30  1.034145E-30  1.026843E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000135E-30
     49  6.396318340541E-04  1.021640E-30  1.035679E-30  1.028044E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000141E-30
     50  6.678959636874E-04  1.022578E-30  1.037226E-30  1.029253E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000147E-30
     51  6.965161747902E-04  1.023527E-30  1.038789E-30  1.030474E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000153E-30
     52  7.255817382538E-04  1.024490E-30  1.040374E-30  1.031712E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000160E-30
     53  7.551843574001E-04  1.025468E-30  1.041985E-30  1.032971E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000166E-30
     54  7.854224313090E-04  1.026466E-30  1.043628E-30  1.034253E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000173E-30
     55  8.164066374138E-04  1.027487E-30  1.045309E-30  1.035564E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000180E-30
     56  8.482679080764E-04  1.028534E-30  1.047034E-30  1.036909E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000187E-30
     57  8.811699017317E-04  1.029614E-30  1.048812E-30  1.038295E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000194E-30
     58  9.153304977871E-04  1.030734E-30  1.050655E-30  1.039730E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000201E-30
     59  9.510634923056E-04  1.031902E-30  1.052579E-30  1.041227E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000209E-30
     60  9.888739022907E-04  1.033136E-30  1.054610E-30  1.042808E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000218E-30
     61  1.029744313280E-03  1.034468E-30  1.056800E-30  1.044511E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000227E-30
     62  1.076805333108E-03  1.035996E-30  1.059316E-30  1.046465E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000237E-30
     63  1.127478238084E-03  1.037638E-30  1.062017E-30  1.048563E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000248E-30
     64  1.179263354774E-03  1.039311E-30  1.064769E-30  1.050698E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000259E-30
     65  1.231720185468E-03  1.041001E-30  1.067549E-30  1.052852E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000271E-30
     66  1.284679788904E-03  1.042703E-30  1.070347E-30  1.055019E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000283E-30
     67  1.338068714676E-03  1.044413E-30  1.073158E-30  1.057195E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000294E-30
     68  1.391852718980E-03  1.046130E-30  1.075982E-30  1.059379E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000306E-30
     69  1.446014888479E-03  1.047855E-30  1.078817E-30  1.061569E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000318E-30
     70  1.500546342624E-03  1.049586E-30  1.081662E-30  1.063765E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000330E-30
     71  1.555442065896E-03  1.051323E-30  1.084517E-30  1.065967E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000342E-30
     72  1.610698967280E-03  1.053067E-30  1.087382E-30  1.068174E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000354E-30
     73  1.666314948699E-03  1.054816E-30  1.090256E-30  1.070387E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000367E-30
     74  1.722288445659E-03  1.056571E-30  1.093139E-30  1.072605E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000379E-30
     75  1.778618195039E-03  1.058332E-30  1.096031E-30  1.074827E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000391E-30
     76  1.835303663832E-03  1.060099E-30  1.098932E-30  1.077055E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000404E-30
     77  1.892344396716E-03  1.061871E-30  1.101841E-30  1.079287E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000416E-30
     78  1.949739812628E-03  1.063649E-30  1.104759E-30  1.081524E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000429E-30
     79  2.007489276907E-03  1.065431E-30  1.107685E-30  1.083764E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000442E-30
     80  2.065592139419E-03  1.067220E-30  1.110619E-30  1.086009E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000454E-30
     81  2.124047755162E-03  1.069013E-30  1.113561E-30  1.088258E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000467E-30
     82  2.182855495215E-03  1.070811E-30  1.116511E-30  1.090511E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000480E-30
     83  2.242014752368E-03  1.072614E-30  1.119468E-30  1.092767E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000493E-30
     84  2.301524943777E-03  1.074421E-30  1.122433E-30  1.095027E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000506E-30
     85  2.361385511936E-03  1.076234E-30  1.125404E-30  1.097291E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000520E-30
     86  2.421595924701E-03  1.078051E-30  1.128383E-30  1.099557E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000533E-30
     87  2.482155674804E-03  1.079872E-30  1.131368E-30  1.101826E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000546E-30
     88  2.543064279071E-03  1.081698E-30  1.134361E-30  1.104099E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000559E-30
     89  2.604321277494E-03  1.083528E-30  1.137359E-30  1.106374E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000573E-30
     90  2.665926232237E-03  1.085362E-30  1.140364E-30  1.108652E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000586E-30
     91  2.727878734382E-03  1.087200E-30  1.143375E-30  1.110932E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000600E-30
     92  2.790178404165E-03  1.089043E-30  1.146392E-30  1.113214E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000614E-30
     93  2.852824875480E-03  1.090889E-30  1.149415E-30  1.115499E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000628E-30
     94  2.915817796872E-03  1.092739E-30  1.152444E-30  1.117786E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000641E-30
     95  2.979156831833E-03  1.094592E-30  1.155478E-30  1.120074E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000655E-30
