 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                y119          zr77          zr78          zr79          zr80          zr81          zr82          zr83 
     27  8.489118412102E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.001425E-30  1.000063E-30  1.001175E-30  1.000013E-30
     28  9.570255892797E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.001607E-30  1.000071E-30  1.001325E-30  1.000015E-30
     29  1.070853065563E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.001798E-30  1.000079E-30  1.001482E-30  1.000017E-30
     30  1.190882425669E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.002000E-30  1.000088E-30  1.001648E-30  1.000019E-30
     31  1.366291075688E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.002294E-30  1.000101E-30  1.001891E-30  1.000022E-30
     32  1.695708820900E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.002847E-30  1.000126E-30  1.002347E-30  1.000027E-30
     33  1.992873377730E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.003346E-30  1.000148E-30  1.002758E-30  1.000032E-30
     34  2.264248739983E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.003802E-30  1.000168E-30  1.003134E-30  1.000036E-30
     35  2.515933231106E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.004224E-30  1.000186E-30  1.003482E-30  1.000040E-30
     36  2.753099894686E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.004623E-30  1.000204E-30  1.003811E-30  1.000044E-30
     37  2.979926919870E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.005004E-30  1.000221E-30  1.004125E-30  1.000047E-30
     38  3.199702121451E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.005373E-30  1.000237E-30  1.004429E-30  1.000051E-30
     39  3.524429751724E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.005918E-30  1.000261E-30  1.004878E-30  1.000056E-30
     40  3.836809895565E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.006442E-30  1.000284E-30  1.005311E-30  1.000061E-30
     41  4.138876583201E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.006949E-30  1.000306E-30  1.005729E-30  1.000066E-30
     42  4.432651277490E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.007443E-30  1.000328E-30  1.006135E-30  1.000071E-30
     43  4.720041568584E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.007925E-30  1.000349E-30  1.006533E-30  1.000076E-30
     44  5.002792532552E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.008400E-30  1.000370E-30  1.006924E-30  1.000081E-30
     45  5.282472522620E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.008870E-30  1.000391E-30  1.007312E-30  1.000085E-30
     46  5.560479783168E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.009336E-30  1.000412E-30  1.007696E-30  1.000090E-30
     47  5.838060709037E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.009802E-30  1.000432E-30  1.008081E-30  1.000095E-30
     48  6.116334118686E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.010270E-30  1.000453E-30  1.008466E-30  1.000099E-30
     49  6.396318340541E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.010740E-30  1.000474E-30  1.008853E-30  1.000104E-30
     50  6.678959636874E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.011214E-30  1.000494E-30  1.009244E-30  1.000109E-30
     51  6.965161747902E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.011695E-30  1.000516E-30  1.009641E-30  1.000114E-30
     52  7.255817382538E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.012183E-30  1.000537E-30  1.010043E-30  1.000119E-30
     53  7.551843574001E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.012680E-30  1.000559E-30  1.010453E-30  1.000124E-30
     54  7.854224313090E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.013187E-30  1.000582E-30  1.010871E-30  1.000129E-30
     55  8.164066374138E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.013708E-30  1.000604E-30  1.011300E-30  1.000134E-30
     56  8.482679080764E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.014243E-30  1.000628E-30  1.011741E-30  1.000140E-30
     57  8.811699017317E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.014795E-30  1.000652E-30  1.012196E-30  1.000145E-30
     58  9.153304977871E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.015368E-30  1.000678E-30  1.012669E-30  1.000151E-30
     59  9.510634923056E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.015968E-30  1.000704E-30  1.013164E-30  1.000158E-30
     60  9.888739022907E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.016603E-30  1.000732E-30  1.013687E-30  1.000164E-30
     61  1.029744313280E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.017289E-30  1.000762E-30  1.014253E-30  1.000171E-30
     62  1.076805333108E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.018079E-30  1.000797E-30  1.014904E-30  1.000180E-30
     63  1.127478238084E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.018930E-30  1.000835E-30  1.015606E-30  1.000189E-30
     64  1.179263354774E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.019800E-30  1.000873E-30  1.016322E-30  1.000198E-30
     65  1.231720185468E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.020680E-30  1.000912E-30  1.017048E-30  1.000208E-30
     66  1.284679788904E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.021569E-30  1.000951E-30  1.017781E-30  1.000217E-30
     67  1.338068714676E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.022466E-30  1.000991E-30  1.018520E-30  1.000227E-30
     68  1.391852718980E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.023368E-30  1.001030E-30  1.019265E-30  1.000237E-30
     69  1.446014888479E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.024278E-30  1.001071E-30  1.020014E-30  1.000247E-30
     70  1.500546342624E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.025193E-30  1.001111E-30  1.020769E-30  1.000257E-30
     71  1.555442065896E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.026115E-30  1.001152E-30  1.021529E-30  1.000267E-30
     72  1.610698967280E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.027042E-30  1.001192E-30  1.022294E-30  1.000277E-30
     73  1.666314948699E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.027976E-30  1.001234E-30  1.023064E-30  1.000288E-30
     74  1.722288445659E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.028916E-30  1.001275E-30  1.023838E-30  1.000299E-30
     75  1.778618195039E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.029861E-30  1.001317E-30  1.024618E-30  1.000309E-30
     76  1.835303663832E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.030813E-30  1.001359E-30  1.025402E-30  1.000320E-30
     77  1.892344396716E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.031770E-30  1.001401E-30  1.026192E-30  1.000331E-30
     78  1.949739812628E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.032734E-30  1.001443E-30  1.026986E-30  1.000342E-30
     79  2.007489276907E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.033703E-30  1.001486E-30  1.027786E-30  1.000354E-30
     80  2.065592139419E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.034678E-30  1.001529E-30  1.028590E-30  1.000365E-30
     81  2.124047755162E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.035660E-30  1.001572E-30  1.029399E-30  1.000377E-30
     82  2.182855495215E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.036647E-30  1.001616E-30  1.030213E-30  1.000388E-30
     83  2.242014752368E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.037640E-30  1.001660E-30  1.031032E-30  1.000400E-30
     84  2.301524943777E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.038639E-30  1.001704E-30  1.031855E-30  1.000412E-30
     85  2.361385511936E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.039643E-30  1.001748E-30  1.032684E-30  1.000424E-30
     86  2.421595924701E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.040654E-30  1.001793E-30  1.033517E-30  1.000437E-30
     87  2.482155674804E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.041671E-30  1.001838E-30  1.034355E-30  1.000449E-30
     88  2.543064279071E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.042693E-30  1.001883E-30  1.035198E-30  1.000462E-30
     89  2.604321277494E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.043721E-30  1.001928E-30  1.036046E-30  1.000474E-30
     90  2.665926232237E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.044755E-30  1.001974E-30  1.036899E-30  1.000487E-30
     91  2.727878734382E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.045795E-30  1.002019E-30  1.037756E-30  1.000500E-30
     92  2.790178404165E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.046841E-30  1.002066E-30  1.038618E-30  1.000513E-30
     93  2.852824875480E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.047892E-30  1.002112E-30  1.039486E-30  1.000527E-30
     94  2.915817796872E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.048949E-30  1.002158E-30  1.040357E-30  1.000540E-30
     95  2.979156831833E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.050012E-30  1.002205E-30  1.041234E-30  1.000554E-30
