 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                ni62          ni63          ni64          ni65          ni66          ni67          ni68          ni69 
     27  8.489118412102E-05  1.000001E-30  1.000002E-30  1.000196E-30  1.000049E-30  1.000327E-30  1.000136E-30  1.000325E-30  1.000262E-30
     28  9.570255892797E-05  1.000001E-30  1.000002E-30  1.000221E-30  1.000055E-30  1.000369E-30  1.000153E-30  1.000366E-30  1.000296E-30
     29  1.070853065563E-04  1.000001E-30  1.000003E-30  1.000247E-30  1.000062E-30  1.000412E-30  1.000171E-30  1.000410E-30  1.000331E-30
     30  1.190882425669E-04  1.000001E-30  1.000003E-30  1.000275E-30  1.000069E-30  1.000459E-30  1.000190E-30  1.000456E-30  1.000368E-30
     31  1.366291075688E-04  1.000001E-30  1.000003E-30  1.000316E-30  1.000079E-30  1.000526E-30  1.000218E-30  1.000523E-30  1.000422E-30
     32  1.695708820900E-04  1.000002E-30  1.000004E-30  1.000392E-30  1.000098E-30  1.000653E-30  1.000271E-30  1.000649E-30  1.000524E-30
     33  1.992873377730E-04  1.000002E-30  1.000005E-30  1.000460E-30  1.000115E-30  1.000767E-30  1.000318E-30  1.000763E-30  1.000616E-30
     34  2.264248739983E-04  1.000002E-30  1.000006E-30  1.000523E-30  1.000131E-30  1.000872E-30  1.000362E-30  1.000867E-30  1.000700E-30
     35  2.515933231106E-04  1.000002E-30  1.000006E-30  1.000581E-30  1.000145E-30  1.000969E-30  1.000402E-30  1.000963E-30  1.000778E-30
     36  2.753099894686E-04  1.000002E-30  1.000007E-30  1.000636E-30  1.000159E-30  1.001060E-30  1.000440E-30  1.001054E-30  1.000851E-30
     37  2.979926919870E-04  1.000003E-30  1.000008E-30  1.000689E-30  1.000172E-30  1.001148E-30  1.000476E-30  1.001140E-30  1.000921E-30
     38  3.199702121451E-04  1.000003E-30  1.000008E-30  1.000739E-30  1.000185E-30  1.001232E-30  1.000511E-30  1.001224E-30  1.000989E-30
     39  3.524429751724E-04  1.000003E-30  1.000009E-30  1.000814E-30  1.000204E-30  1.001357E-30  1.000563E-30  1.001349E-30  1.001090E-30
     40  3.836809895565E-04  1.000003E-30  1.000010E-30  1.000886E-30  1.000222E-30  1.001477E-30  1.000613E-30  1.001468E-30  1.001186E-30
     41  4.138876583201E-04  1.000004E-30  1.000010E-30  1.000956E-30  1.000239E-30  1.001594E-30  1.000661E-30  1.001584E-30  1.001280E-30
     42  4.432651277490E-04  1.000004E-30  1.000011E-30  1.001024E-30  1.000256E-30  1.001707E-30  1.000708E-30  1.001696E-30  1.001371E-30
     43  4.720041568584E-04  1.000004E-30  1.000012E-30  1.001091E-30  1.000273E-30  1.001818E-30  1.000754E-30  1.001806E-30  1.001460E-30
     44  5.002792532552E-04  1.000004E-30  1.000013E-30  1.001156E-30  1.000289E-30  1.001926E-30  1.000799E-30  1.001915E-30  1.001547E-30
     45  5.282472522620E-04  1.000005E-30  1.000013E-30  1.001221E-30  1.000305E-30  1.002034E-30  1.000844E-30  1.002022E-30  1.001634E-30
     46  5.560479783168E-04  1.000005E-30  1.000014E-30  1.001285E-30  1.000321E-30  1.002141E-30  1.000889E-30  1.002128E-30  1.001720E-30
     47  5.838060709037E-04  1.000005E-30  1.000015E-30  1.001349E-30  1.000337E-30  1.002248E-30  1.000933E-30  1.002234E-30  1.001806E-30
     48  6.116334118686E-04  1.000005E-30  1.000015E-30  1.001413E-30  1.000353E-30  1.002355E-30  1.000977E-30  1.002341E-30  1.001892E-30
     49  6.396318340541E-04  1.000006E-30  1.000016E-30  1.001478E-30  1.000369E-30  1.002463E-30  1.001022E-30  1.002448E-30  1.001978E-30
     50  6.678959636874E-04  1.000006E-30  1.000017E-30  1.001543E-30  1.000386E-30  1.002572E-30  1.001067E-30  1.002556E-30  1.002066E-30
     51  6.965161747902E-04  1.000006E-30  1.000018E-30  1.001609E-30  1.000402E-30  1.002682E-30  1.001113E-30  1.002665E-30  1.002155E-30
     52  7.255817382538E-04  1.000006E-30  1.000018E-30  1.001676E-30  1.000419E-30  1.002794E-30  1.001159E-30  1.002777E-30  1.002245E-30
     53  7.551843574001E-04  1.000007E-30  1.000019E-30  1.001745E-30  1.000436E-30  1.002908E-30  1.001207E-30  1.002890E-30  1.002336E-30
     54  7.854224313090E-04  1.000007E-30  1.000020E-30  1.001815E-30  1.000454E-30  1.003025E-30  1.001255E-30  1.003006E-30  1.002430E-30
     55  8.164066374138E-04  1.000007E-30  1.000021E-30  1.001886E-30  1.000472E-30  1.003144E-30  1.001305E-30  1.003124E-30  1.002526E-30
     56  8.482679080764E-04  1.000008E-30  1.000021E-30  1.001960E-30  1.000490E-30  1.003267E-30  1.001355E-30  1.003246E-30  1.002625E-30
     57  8.811699017317E-04  1.000008E-30  1.000022E-30  1.002036E-30  1.000509E-30  1.003393E-30  1.001408E-30  1.003372E-30  1.002727E-30
     58  9.153304977871E-04  1.000008E-30  1.000023E-30  1.002115E-30  1.000529E-30  1.003525E-30  1.001463E-30  1.003503E-30  1.002833E-30
     59  9.510634923056E-04  1.000008E-30  1.000024E-30  1.002197E-30  1.000549E-30  1.003662E-30  1.001520E-30  1.003640E-30  1.002943E-30
     60  9.888739022907E-04  1.000009E-30  1.000025E-30  1.002285E-30  1.000571E-30  1.003808E-30  1.001580E-30  1.003784E-30  1.003060E-30
     61  1.029744313280E-03  1.000009E-30  1.000026E-30  1.002379E-30  1.000595E-30  1.003965E-30  1.001645E-30  1.003941E-30  1.003187E-30
     62  1.076805333108E-03  1.000010E-30  1.000027E-30  1.002488E-30  1.000622E-30  1.004147E-30  1.001721E-30  1.004121E-30  1.003333E-30
     63  1.127478238084E-03  1.000010E-30  1.000029E-30  1.002605E-30  1.000651E-30  1.004342E-30  1.001802E-30  1.004315E-30  1.003490E-30
     64  1.179263354774E-03  1.000010E-30  1.000030E-30  1.002725E-30  1.000681E-30  1.004541E-30  1.001884E-30  1.004513E-30  1.003651E-30
     65  1.231720185468E-03  1.000011E-30  1.000031E-30  1.002846E-30  1.000711E-30  1.004743E-30  1.001968E-30  1.004714E-30  1.003814E-30
     66  1.284679788904E-03  1.000011E-30  1.000033E-30  1.002968E-30  1.000742E-30  1.004947E-30  1.002053E-30  1.004916E-30  1.003978E-30
     67  1.338068714676E-03  1.000012E-30  1.000034E-30  1.003092E-30  1.000773E-30  1.005153E-30  1.002138E-30  1.005121E-30  1.004144E-30
     68  1.391852718980E-03  1.000012E-30  1.000035E-30  1.003216E-30  1.000804E-30  1.005360E-30  1.002224E-30  1.005326E-30  1.004311E-30
     69  1.446014888479E-03  1.000013E-30  1.000037E-30  1.003341E-30  1.000835E-30  1.005568E-30  1.002311E-30  1.005534E-30  1.004479E-30
     70  1.500546342624E-03  1.000013E-30  1.000038E-30  1.003467E-30  1.000867E-30  1.005778E-30  1.002398E-30  1.005742E-30  1.004648E-30
     71  1.555442065896E-03  1.000014E-30  1.000039E-30  1.003594E-30  1.000898E-30  1.005990E-30  1.002485E-30  1.005952E-30  1.004819E-30
     72  1.610698967280E-03  1.000014E-30  1.000041E-30  1.003722E-30  1.000930E-30  1.006203E-30  1.002574E-30  1.006164E-30  1.004990E-30
     73  1.666314948699E-03  1.000015E-30  1.000042E-30  1.003850E-30  1.000962E-30  1.006417E-30  1.002663E-30  1.006377E-30  1.005163E-30
     74  1.722288445659E-03  1.000015E-30  1.000044E-30  1.003979E-30  1.000995E-30  1.006632E-30  1.002752E-30  1.006591E-30  1.005337E-30
     75  1.778618195039E-03  1.000016E-30  1.000045E-30  1.004109E-30  1.001027E-30  1.006849E-30  1.002842E-30  1.006806E-30  1.005512E-30
     76  1.835303663832E-03  1.000016E-30  1.000046E-30  1.004240E-30  1.001060E-30  1.007067E-30  1.002933E-30  1.007023E-30  1.005688E-30
     77  1.892344396716E-03  1.000017E-30  1.000048E-30  1.004372E-30  1.001093E-30  1.007287E-30  1.003024E-30  1.007242E-30  1.005866E-30
     78  1.949739812628E-03  1.000017E-30  1.000049E-30  1.004505E-30  1.001126E-30  1.007508E-30  1.003115E-30  1.007461E-30  1.006044E-30
     79  2.007489276907E-03  1.000018E-30  1.000051E-30  1.004638E-30  1.001159E-30  1.007730E-30  1.003208E-30  1.007682E-30  1.006224E-30
     80  2.065592139419E-03  1.000018E-30  1.000052E-30  1.004773E-30  1.001193E-30  1.007954E-30  1.003301E-30  1.007905E-30  1.006405E-30
     81  2.124047755162E-03  1.000019E-30  1.000054E-30  1.004908E-30  1.001227E-30  1.008179E-30  1.003394E-30  1.008128E-30  1.006587E-30
     82  2.182855495215E-03  1.000019E-30  1.000055E-30  1.005043E-30  1.001261E-30  1.008406E-30  1.003488E-30  1.008353E-30  1.006770E-30
     83  2.242014752368E-03  1.000020E-30  1.000057E-30  1.005180E-30  1.001295E-30  1.008634E-30  1.003582E-30  1.008580E-30  1.006954E-30
     84  2.301524943777E-03  1.000020E-30  1.000058E-30  1.005318E-30  1.001329E-30  1.008863E-30  1.003678E-30  1.008808E-30  1.007139E-30
     85  2.361385511936E-03  1.000021E-30  1.000060E-30  1.005456E-30  1.001364E-30  1.009093E-30  1.003773E-30  1.009037E-30  1.007326E-30
     86  2.421595924701E-03  1.000022E-30  1.000061E-30  1.005595E-30  1.001399E-30  1.009325E-30  1.003869E-30  1.009267E-30  1.007513E-30
     87  2.482155674804E-03  1.000022E-30  1.000063E-30  1.005735E-30  1.001434E-30  1.009558E-30  1.003966E-30  1.009499E-30  1.007702E-30
     88  2.543064279071E-03  1.000023E-30  1.000064E-30  1.005876E-30  1.001469E-30  1.009793E-30  1.004063E-30  1.009732E-30  1.007892E-30
     89  2.604321277494E-03  1.000023E-30  1.000066E-30  1.006017E-30  1.001504E-30  1.010029E-30  1.004161E-30  1.009966E-30  1.008083E-30
     90  2.665926232237E-03  1.000024E-30  1.000067E-30  1.006160E-30  1.001540E-30  1.010266E-30  1.004260E-30  1.010202E-30  1.008275E-30
     91  2.727878734382E-03  1.000024E-30  1.000069E-30  1.006303E-30  1.001575E-30  1.010505E-30  1.004359E-30  1.010439E-30  1.008468E-30
     92  2.790178404165E-03  1.000025E-30  1.000071E-30  1.006447E-30  1.001611E-30  1.010744E-30  1.004458E-30  1.010677E-30  1.008663E-30
     93  2.852824875480E-03  1.000025E-30  1.000072E-30  1.006591E-30  1.001648E-30  1.010986E-30  1.004558E-30  1.010917E-30  1.008858E-30
     94  2.915817796872E-03  1.000026E-30  1.000074E-30  1.006737E-30  1.001684E-30  1.011228E-30  1.004659E-30  1.011158E-30  1.009055E-30
     95  2.979156831833E-03  1.000027E-30  1.000075E-30  1.006883E-30  1.001721E-30  1.011472E-30  1.004760E-30  1.011401E-30  1.009253E-30
