 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                cl29          cl30          cl31          cl32          cl33          cl34          cl35          cl36 
     27  8.489118412102E-05  1.000000E-30  1.000000E-30  1.001708E-30  1.000408E-30  1.000317E-30  1.000031E-30  1.000033E-30  1.000000E-30
     28  9.570255892797E-05  1.000000E-30  1.000000E-30  1.001925E-30  1.000461E-30  1.000357E-30  1.000035E-30  1.000037E-30  1.000000E-30
     29  1.070853065563E-04  1.000000E-30  1.000000E-30  1.002154E-30  1.000517E-30  1.000400E-30  1.000039E-30  1.000042E-30  1.000000E-30
     30  1.190882425669E-04  1.000000E-30  1.000000E-30  1.002396E-30  1.000575E-30  1.000445E-30  1.000044E-30  1.000047E-30  1.000000E-30
     31  1.366291075688E-04  1.000000E-30  1.000000E-30  1.002748E-30  1.000662E-30  1.000510E-30  1.000050E-30  1.000053E-30  1.000000E-30
     32  1.695708820900E-04  1.000000E-30  1.000000E-30  1.003411E-30  1.000826E-30  1.000633E-30  1.000062E-30  1.000066E-30  1.000000E-30
     33  1.992873377730E-04  1.000000E-30  1.000000E-30  1.004008E-30  1.000974E-30  1.000744E-30  1.000073E-30  1.000078E-30  1.000000E-30
     34  2.264248739983E-04  1.000000E-30  1.000000E-30  1.004554E-30  1.001112E-30  1.000846E-30  1.000083E-30  1.000088E-30  1.000000E-30
     35  2.515933231106E-04  1.000000E-30  1.000000E-30  1.005060E-30  1.001240E-30  1.000940E-30  1.000092E-30  1.000098E-30  1.000000E-30
     36  2.753099894686E-04  1.000000E-30  1.000000E-30  1.005536E-30  1.001361E-30  1.001029E-30  1.000101E-30  1.000108E-30  1.000000E-30
     37  2.979926919870E-04  1.000000E-30  1.000000E-30  1.005992E-30  1.001478E-30  1.001114E-30  1.000110E-30  1.000116E-30  1.000000E-30
     38  3.199702121451E-04  1.000000E-30  1.000000E-30  1.006434E-30  1.001592E-30  1.001196E-30  1.000118E-30  1.000125E-30  1.000000E-30
     39  3.524429751724E-04  1.000000E-30  1.000000E-30  1.007086E-30  1.001762E-30  1.001318E-30  1.000130E-30  1.000138E-30  1.000000E-30
     40  3.836809895565E-04  1.000000E-30  1.000000E-30  1.007714E-30  1.001927E-30  1.001435E-30  1.000141E-30  1.000150E-30  1.000000E-30
     41  4.138876583201E-04  1.000000E-30  1.000000E-30  1.008320E-30  1.002087E-30  1.001548E-30  1.000153E-30  1.000162E-30  1.000000E-30
     42  4.432651277490E-04  1.000000E-30  1.000000E-30  1.008910E-30  1.002245E-30  1.001659E-30  1.000164E-30  1.000173E-30  1.000000E-30
     43  4.720041568584E-04  1.000000E-30  1.000000E-30  1.009488E-30  1.002400E-30  1.001766E-30  1.000174E-30  1.000184E-30  1.000000E-30
     44  5.002792532552E-04  1.000000E-30  1.000000E-30  1.010055E-30  1.002554E-30  1.001873E-30  1.000185E-30  1.000196E-30  1.000000E-30
     45  5.282472522620E-04  1.000000E-30  1.000000E-30  1.010617E-30  1.002707E-30  1.001978E-30  1.000195E-30  1.000206E-30  1.000000E-30
     46  5.560479783168E-04  1.000000E-30  1.000000E-30  1.011175E-30  1.002861E-30  1.002082E-30  1.000206E-30  1.000217E-30  1.000000E-30
     47  5.838060709037E-04  1.000000E-30  1.000000E-30  1.011732E-30  1.003015E-30  1.002186E-30  1.000216E-30  1.000228E-30  1.000000E-30
     48  6.116334118686E-04  1.000000E-30  1.000000E-30  1.012290E-30  1.003171E-30  1.002291E-30  1.000226E-30  1.000239E-30  1.000000E-30
     49  6.396318340541E-04  1.000000E-30  1.000000E-30  1.012852E-30  1.003329E-30  1.002396E-30  1.000237E-30  1.000250E-30  1.000000E-30
     50  6.678959636874E-04  1.000000E-30  1.000000E-30  1.013419E-30  1.003489E-30  1.002503E-30  1.000247E-30  1.000261E-30  1.000000E-30
     51  6.965161747902E-04  1.000000E-30  1.000000E-30  1.013993E-30  1.003653E-30  1.002610E-30  1.000258E-30  1.000272E-30  1.000000E-30
     52  7.255817382538E-04  1.000000E-30  1.000000E-30  1.014576E-30  1.003821E-30  1.002720E-30  1.000269E-30  1.000284E-30  1.000000E-30
     53  7.551843574001E-04  1.000000E-30  1.000000E-30  1.015170E-30  1.003993E-30  1.002831E-30  1.000280E-30  1.000295E-30  1.000000E-30
     54  7.854224313090E-04  1.000000E-30  1.000000E-30  1.015776E-30  1.004169E-30  1.002945E-30  1.000291E-30  1.000307E-30  1.000000E-30
     55  8.164066374138E-04  1.000000E-30  1.000000E-30  1.016397E-30  1.004352E-30  1.003062E-30  1.000303E-30  1.000319E-30  1.000000E-30
     56  8.482679080764E-04  1.000000E-30  1.000000E-30  1.017036E-30  1.004541E-30  1.003182E-30  1.000315E-30  1.000332E-30  1.000000E-30
     57  8.811699017317E-04  1.000000E-30  1.000000E-30  1.017695E-30  1.004738E-30  1.003307E-30  1.000327E-30  1.000345E-30  1.000000E-30
     58  9.153304977871E-04  1.000000E-30  1.000000E-30  1.018380E-30  1.004944E-30  1.003436E-30  1.000340E-30  1.000358E-30  1.000000E-30
     59  9.510634923056E-04  1.000000E-30  1.000000E-30  1.019096E-30  1.005161E-30  1.003571E-30  1.000354E-30  1.000372E-30  1.000000E-30
     60  9.888739022907E-04  1.000000E-30  1.000000E-30  1.019853E-30  1.005393E-30  1.003713E-30  1.000368E-30  1.000387E-30  1.000000E-30
     61  1.029744313280E-03  1.000000E-30  1.000000E-30  1.020672E-30  1.005646E-30  1.003868E-30  1.000384E-30  1.000403E-30  1.000000E-30
     62  1.076805333108E-03  1.000000E-30  1.000000E-30  1.021614E-30  1.005940E-30  1.004046E-30  1.000402E-30  1.000421E-30  1.000000E-30
     63  1.127478238084E-03  1.000000E-30  1.000000E-30  1.022629E-30  1.006260E-30  1.004238E-30  1.000421E-30  1.000441E-30  1.000000E-30
     64  1.179263354774E-03  1.000000E-30  1.000000E-30  1.023665E-30  1.006591E-30  1.004434E-30  1.000440E-30  1.000461E-30  1.000000E-30
     65  1.231720185468E-03  1.000000E-30  1.000000E-30  1.024715E-30  1.006930E-30  1.004633E-30  1.000460E-30  1.000482E-30  1.000000E-30
     66  1.284679788904E-03  1.000000E-30  1.000000E-30  1.025774E-30  1.007276E-30  1.004834E-30  1.000481E-30  1.000503E-30  1.000000E-30
     67  1.338068714676E-03  1.000000E-30  1.000000E-30  1.026842E-30  1.007629E-30  1.005036E-30  1.000501E-30  1.000524E-30  1.000000E-30
     68  1.391852718980E-03  1.000000E-30  1.000000E-30  1.027918E-30  1.007989E-30  1.005241E-30  1.000522E-30  1.000545E-30  1.000000E-30
     69  1.446014888479E-03  1.000000E-30  1.000000E-30  1.029000E-30  1.008356E-30  1.005447E-30  1.000543E-30  1.000566E-30  1.000000E-30
     70  1.500546342624E-03  1.000000E-30  1.000000E-30  1.030090E-30  1.008729E-30  1.005654E-30  1.000564E-30  1.000588E-30  1.000000E-30
     71  1.555442065896E-03  1.000000E-30  1.000000E-30  1.031187E-30  1.009109E-30  1.005863E-30  1.000585E-30  1.000609E-30  1.000000E-30
     72  1.610698967280E-03  1.000000E-30  1.000000E-30  1.032291E-30  1.009496E-30  1.006073E-30  1.000606E-30  1.000631E-30  1.000000E-30
     73  1.666314948699E-03  1.000000E-30  1.000000E-30  1.033401E-30  1.009889E-30  1.006285E-30  1.000628E-30  1.000653E-30  1.000000E-30
     74  1.722288445659E-03  1.000000E-30  1.000000E-30  1.034519E-30  1.010290E-30  1.006499E-30  1.000649E-30  1.000675E-30  1.000000E-30
     75  1.778618195039E-03  1.000000E-30  1.000000E-30  1.035643E-30  1.010697E-30  1.006714E-30  1.000671E-30  1.000697E-30  1.000000E-30
     76  1.835303663832E-03  1.000000E-30  1.000000E-30  1.036775E-30  1.011112E-30  1.006931E-30  1.000693E-30  1.000719E-30  1.000000E-30
     77  1.892344396716E-03  1.000000E-30  1.000000E-30  1.037913E-30  1.011534E-30  1.007149E-30  1.000715E-30  1.000741E-30  1.000000E-30
     78  1.949739812628E-03  1.000000E-30  1.000000E-30  1.039057E-30  1.011963E-30  1.007368E-30  1.000738E-30  1.000764E-30  1.000000E-30
     79  2.007489276907E-03  1.000000E-30  1.000000E-30  1.040209E-30  1.012399E-30  1.007589E-30  1.000760E-30  1.000787E-30  1.000000E-30
     80  2.065592139419E-03  1.000000E-30  1.000000E-30  1.041367E-30  1.012843E-30  1.007812E-30  1.000783E-30  1.000810E-30  1.000000E-30
     81  2.124047755162E-03  1.000000E-30  1.000000E-30  1.042532E-30  1.013294E-30  1.008036E-30  1.000806E-30  1.000833E-30  1.000000E-30
     82  2.182855495215E-03  1.000000E-30  1.000000E-30  1.043704E-30  1.013753E-30  1.008262E-30  1.000829E-30  1.000856E-30  1.000000E-30
     83  2.242014752368E-03  1.000000E-30  1.000000E-30  1.044882E-30  1.014219E-30  1.008489E-30  1.000853E-30  1.000879E-30  1.000000E-30
     84  2.301524943777E-03  1.000000E-30  1.000000E-30  1.046067E-30  1.014694E-30  1.008718E-30  1.000876E-30  1.000902E-30  1.000000E-30
     85  2.361385511936E-03  1.000000E-30  1.000000E-30  1.047258E-30  1.015175E-30  1.008948E-30  1.000900E-30  1.000926E-30  1.000000E-30
     86  2.421595924701E-03  1.000000E-30  1.000000E-30  1.048457E-30  1.015665E-30  1.009180E-30  1.000924E-30  1.000950E-30  1.000000E-30
     87  2.482155674804E-03  1.000000E-30  1.000000E-30  1.049662E-30  1.016163E-30  1.009413E-30  1.000948E-30  1.000974E-30  1.000000E-30
     88  2.543064279071E-03  1.000000E-30  1.000000E-30  1.050873E-30  1.016669E-30  1.009648E-30  1.000972E-30  1.000998E-30  1.000000E-30
     89  2.604321277494E-03  1.000000E-30  1.000000E-30  1.052091E-30  1.017183E-30  1.009884E-30  1.000996E-30  1.001022E-30  1.000000E-30
     90  2.665926232237E-03  1.000000E-30  1.000000E-30  1.053316E-30  1.017705E-30  1.010122E-30  1.001021E-30  1.001046E-30  1.000000E-30
     91  2.727878734382E-03  1.000000E-30  1.000000E-30  1.054547E-30  1.018236E-30  1.010361E-30  1.001046E-30  1.001070E-30  1.000000E-30
     92  2.790178404165E-03  1.000000E-30  1.000000E-30  1.055785E-30  1.018775E-30  1.010602E-30  1.001071E-30  1.001095E-30  1.000000E-30
     93  2.852824875480E-03  1.000000E-30  1.000000E-30  1.057029E-30  1.019322E-30  1.010845E-30  1.001096E-30  1.001120E-30  1.000000E-30
     94  2.915817796872E-03  1.000000E-30  1.000000E-30  1.058280E-30  1.019878E-30  1.011089E-30  1.001121E-30  1.001145E-30  1.000000E-30
     95  2.979156831833E-03  1.000000E-30  1.000000E-30  1.059537E-30  1.020442E-30  1.011334E-30  1.001147E-30  1.001170E-30  1.000000E-30
