 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                ar39          ar40          ar41          ar42          ar43          ar44          ar45          ar46 
     27  8.489118412102E-05  1.000000E-30  1.000001E-30  1.000002E-30  1.000009E-30  1.000019E-30  1.000105E-30  1.000144E-30  1.000261E-30
     28  9.570255892797E-05  1.000000E-30  1.000001E-30  1.000002E-30  1.000010E-30  1.000021E-30  1.000118E-30  1.000163E-30  1.000299E-30
     29  1.070853065563E-04  1.000000E-30  1.000001E-30  1.000002E-30  1.000011E-30  1.000024E-30  1.000132E-30  1.000182E-30  1.000341E-30
     30  1.190882425669E-04  1.000000E-30  1.000001E-30  1.000002E-30  1.000012E-30  1.000027E-30  1.000147E-30  1.000203E-30  1.000387E-30
     31  1.366291075688E-04  1.000000E-30  1.000001E-30  1.000002E-30  1.000014E-30  1.000031E-30  1.000169E-30  1.000232E-30  1.000458E-30
     32  1.695708820900E-04  1.000000E-30  1.000001E-30  1.000003E-30  1.000017E-30  1.000038E-30  1.000210E-30  1.000289E-30  1.000610E-30
     33  1.992873377730E-04  1.000000E-30  1.000002E-30  1.000004E-30  1.000020E-30  1.000045E-30  1.000247E-30  1.000339E-30  1.000769E-30
     34  2.264248739983E-04  1.000000E-30  1.000002E-30  1.000004E-30  1.000023E-30  1.000051E-30  1.000280E-30  1.000385E-30  1.000936E-30
     35  2.515933231106E-04  1.000000E-30  1.000002E-30  1.000005E-30  1.000026E-30  1.000056E-30  1.000311E-30  1.000428E-30  1.001113E-30
     36  2.753099894686E-04  1.000000E-30  1.000002E-30  1.000005E-30  1.000028E-30  1.000062E-30  1.000341E-30  1.000469E-30  1.001300E-30
     37  2.979926919870E-04  1.000000E-30  1.000003E-30  1.000005E-30  1.000030E-30  1.000067E-30  1.000369E-30  1.000507E-30  1.001499E-30
     38  3.199702121451E-04  1.000000E-30  1.000003E-30  1.000006E-30  1.000033E-30  1.000072E-30  1.000396E-30  1.000545E-30  1.001714E-30
     39  3.524429751724E-04  1.000000E-30  1.000003E-30  1.000006E-30  1.000036E-30  1.000079E-30  1.000436E-30  1.000600E-30  1.002072E-30
     40  3.836809895565E-04  1.000000E-30  1.000003E-30  1.000007E-30  1.000039E-30  1.000086E-30  1.000475E-30  1.000654E-30  1.002466E-30
     41  4.138876583201E-04  1.000000E-30  1.000004E-30  1.000007E-30  1.000042E-30  1.000093E-30  1.000512E-30  1.000705E-30  1.002898E-30
     42  4.432651277490E-04  1.000000E-30  1.000004E-30  1.000008E-30  1.000045E-30  1.000099E-30  1.000549E-30  1.000755E-30  1.003371E-30
     43  4.720041568584E-04  1.000000E-30  1.000004E-30  1.000008E-30  1.000048E-30  1.000106E-30  1.000585E-30  1.000804E-30  1.003886E-30
     44  5.002792532552E-04  1.000000E-30  1.000004E-30  1.000009E-30  1.000051E-30  1.000112E-30  1.000620E-30  1.000853E-30  1.004447E-30
     45  5.282472522620E-04  1.000000E-30  1.000005E-30  1.000009E-30  1.000054E-30  1.000118E-30  1.000654E-30  1.000900E-30  1.005058E-30
     46  5.560479783168E-04  1.000000E-30  1.000005E-30  1.000010E-30  1.000057E-30  1.000124E-30  1.000689E-30  1.000948E-30  1.005724E-30
     47  5.838060709037E-04  1.000000E-30  1.000005E-30  1.000010E-30  1.000060E-30  1.000131E-30  1.000723E-30  1.000995E-30  1.006450E-30
     48  6.116334118686E-04  1.000000E-30  1.000005E-30  1.000011E-30  1.000062E-30  1.000137E-30  1.000758E-30  1.001043E-30  1.007243E-30
     49  6.396318340541E-04  1.000000E-30  1.000005E-30  1.000011E-30  1.000065E-30  1.000143E-30  1.000793E-30  1.001091E-30  1.008108E-30
     50  6.678959636874E-04  1.000000E-30  1.000006E-30  1.000012E-30  1.000068E-30  1.000149E-30  1.000828E-30  1.001139E-30  1.009055E-30
     51  6.965161747902E-04  1.000000E-30  1.000006E-30  1.000013E-30  1.000071E-30  1.000156E-30  1.000863E-30  1.001188E-30  1.010091E-30
     52  7.255817382538E-04  1.000000E-30  1.000006E-30  1.000013E-30  1.000074E-30  1.000162E-30  1.000899E-30  1.001238E-30  1.011227E-30
     53  7.551843574001E-04  1.000000E-30  1.000006E-30  1.000014E-30  1.000077E-30  1.000169E-30  1.000936E-30  1.001288E-30  1.012473E-30
     54  7.854224313090E-04  1.000000E-30  1.000007E-30  1.000014E-30  1.000080E-30  1.000176E-30  1.000974E-30  1.001340E-30  1.013844E-30
     55  8.164066374138E-04  1.000000E-30  1.000007E-30  1.000015E-30  1.000083E-30  1.000183E-30  1.001012E-30  1.001393E-30  1.015355E-30
     56  8.482679080764E-04  1.000000E-30  1.000007E-30  1.000015E-30  1.000086E-30  1.000190E-30  1.001052E-30  1.001448E-30  1.017026E-30
     57  8.811699017317E-04  1.000000E-30  1.000008E-30  1.000016E-30  1.000090E-30  1.000197E-30  1.001093E-30  1.001504E-30  1.018879E-30
     58  9.153304977871E-04  1.000000E-30  1.000008E-30  1.000016E-30  1.000093E-30  1.000205E-30  1.001135E-30  1.001563E-30  1.020948E-30
     59  9.510634923056E-04  1.000000E-30  1.000008E-30  1.000017E-30  1.000097E-30  1.000213E-30  1.001179E-30  1.001624E-30  1.023275E-30
     60  9.888739022907E-04  1.000000E-30  1.000008E-30  1.000018E-30  1.000101E-30  1.000221E-30  1.001226E-30  1.001689E-30  1.025925E-30
     61  1.029744313280E-03  1.000000E-30  1.000009E-30  1.000018E-30  1.000105E-30  1.000231E-30  1.001277E-30  1.001759E-30  1.029017E-30
     62  1.076805333108E-03  1.000000E-30  1.000009E-30  1.000019E-30  1.000110E-30  1.000241E-30  1.001336E-30  1.001840E-30  1.032880E-30
     63  1.127478238084E-03  1.000000E-30  1.000010E-30  1.000020E-30  1.000115E-30  1.000252E-30  1.001399E-30  1.001927E-30  1.037420E-30
     64  1.179263354774E-03  1.000000E-30  1.000010E-30  1.000021E-30  1.000120E-30  1.000264E-30  1.001463E-30  1.002016E-30  1.042485E-30
     65  1.231720185468E-03  1.000000E-30  1.000011E-30  1.000022E-30  1.000126E-30  1.000276E-30  1.001529E-30  1.002106E-30  1.048074E-30
     66  1.284679788904E-03  1.000000E-30  1.000011E-30  1.000023E-30  1.000131E-30  1.000288E-30  1.001595E-30  1.002197E-30  1.054206E-30
     67  1.338068714676E-03  1.000000E-30  1.000011E-30  1.000024E-30  1.000136E-30  1.000300E-30  1.001661E-30  1.002289E-30  1.060904E-30
     68  1.391852718980E-03  1.000000E-30  1.000012E-30  1.000025E-30  1.000142E-30  1.000312E-30  1.001728E-30  1.002381E-30  1.068200E-30
     69  1.446014888479E-03  1.000000E-30  1.000012E-30  1.000026E-30  1.000147E-30  1.000324E-30  1.001796E-30  1.002475E-30  1.076124E-30
     70  1.500546342624E-03  1.000000E-30  1.000013E-30  1.000027E-30  1.000153E-30  1.000336E-30  1.001864E-30  1.002568E-30  1.084710E-30
     71  1.555442065896E-03  1.000000E-30  1.000013E-30  1.000028E-30  1.000159E-30  1.000348E-30  1.001932E-30  1.002663E-30  1.093992E-30
     72  1.610698967280E-03  1.000000E-30  1.000014E-30  1.000029E-30  1.000164E-30  1.000361E-30  1.002001E-30  1.002758E-30  1.104006E-30
     73  1.666314948699E-03  1.000000E-30  1.000014E-30  1.000030E-30  1.000170E-30  1.000373E-30  1.002071E-30  1.002854E-30  1.114788E-30
     74  1.722288445659E-03  1.000000E-30  1.000015E-30  1.000031E-30  1.000176E-30  1.000386E-30  1.002141E-30  1.002951E-30  1.126376E-30
     75  1.778618195039E-03  1.000000E-30  1.000015E-30  1.000032E-30  1.000181E-30  1.000399E-30  1.002211E-30  1.003048E-30  1.138808E-30
     76  1.835303663832E-03  1.000000E-30  1.000016E-30  1.000033E-30  1.000187E-30  1.000411E-30  1.002282E-30  1.003146E-30  1.152124E-30
     77  1.892344396716E-03  1.000000E-30  1.000016E-30  1.000034E-30  1.000193E-30  1.000424E-30  1.002353E-30  1.003245E-30  1.166364E-30
     78  1.949739812628E-03  1.000000E-30  1.000017E-30  1.000035E-30  1.000199E-30  1.000437E-30  1.002425E-30  1.003344E-30  1.181571E-30
     79  2.007489276907E-03  1.000000E-30  1.000017E-30  1.000036E-30  1.000205E-30  1.000450E-30  1.002497E-30  1.003444E-30  1.197787E-30
     80  2.065592139419E-03  1.000000E-30  1.000018E-30  1.000037E-30  1.000211E-30  1.000463E-30  1.002570E-30  1.003544E-30  1.215055E-30
     81  2.124047755162E-03  1.000000E-30  1.000018E-30  1.000038E-30  1.000217E-30  1.000476E-30  1.002643E-30  1.003646E-30  1.233421E-30
     82  2.182855495215E-03  1.000000E-30  1.000019E-30  1.000039E-30  1.000223E-30  1.000489E-30  1.002717E-30  1.003747E-30  1.252929E-30
     83  2.242014752368E-03  1.000000E-30  1.000019E-30  1.000040E-30  1.000229E-30  1.000503E-30  1.002791E-30  1.003850E-30  1.273627E-30
     84  2.301524943777E-03  1.000000E-30  1.000020E-30  1.000041E-30  1.000235E-30  1.000516E-30  1.002865E-30  1.003953E-30  1.295563E-30
     85  2.361385511936E-03  1.000000E-30  1.000020E-30  1.000042E-30  1.000241E-30  1.000530E-30  1.002940E-30  1.004057E-30  1.318785E-30
     86  2.421595924701E-03  1.000001E-30  1.000021E-30  1.000043E-30  1.000247E-30  1.000543E-30  1.003016E-30  1.004162E-30  1.343343E-30
     87  2.482155674804E-03  1.000001E-30  1.000021E-30  1.000045E-30  1.000253E-30  1.000557E-30  1.003092E-30  1.004267E-30  1.369289E-30
     88  2.543064279071E-03  1.000001E-30  1.000022E-30  1.000046E-30  1.000259E-30  1.000570E-30  1.003168E-30  1.004373E-30  1.396674E-30
     89  2.604321277494E-03  1.000001E-30  1.000022E-30  1.000047E-30  1.000266E-30  1.000584E-30  1.003245E-30  1.004479E-30  1.425553E-30
     90  2.665926232237E-03  1.000001E-30  1.000023E-30  1.000048E-30  1.000272E-30  1.000598E-30  1.003323E-30  1.004587E-30  1.455978E-30
     91  2.727878734382E-03  1.000001E-30  1.000023E-30  1.000049E-30  1.000278E-30  1.000612E-30  1.003400E-30  1.004694E-30  1.488007E-30
     92  2.790178404165E-03  1.000001E-30  1.000024E-30  1.000050E-30  1.000285E-30  1.000626E-30  1.003479E-30  1.004803E-30  1.521696E-30
     93  2.852824875480E-03  1.000001E-30  1.000024E-30  1.000051E-30  1.000291E-30  1.000640E-30  1.003557E-30  1.004912E-30  1.557103E-30
     94  2.915817796872E-03  1.000001E-30  1.000025E-30  1.000052E-30  1.000297E-30  1.000654E-30  1.003637E-30  1.005022E-30  1.594286E-30
     95  2.979156831833E-03  1.000001E-30  1.000025E-30  1.000053E-30  1.000304E-30  1.000669E-30  1.003716E-30  1.005133E-30  1.633307E-30
