 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                ru108         ru109         ru110         ru111         ru112         ru113         ru114         ru115
     27  8.489118412102E-05  1.000011E-30  1.000067E-30  1.000059E-30  1.000175E-30  1.000169E-30  1.000273E-30  1.000281E-30  1.000791E-30
     28  9.570255892797E-05  1.000013E-30  1.000075E-30  1.000066E-30  1.000197E-30  1.000191E-30  1.000307E-30  1.000317E-30  1.000891E-30
     29  1.070853065563E-04  1.000014E-30  1.000084E-30  1.000074E-30  1.000221E-30  1.000214E-30  1.000344E-30  1.000355E-30  1.000997E-30
     30  1.190882425669E-04  1.000016E-30  1.000094E-30  1.000083E-30  1.000246E-30  1.000237E-30  1.000382E-30  1.000395E-30  1.001109E-30
     31  1.366291075688E-04  1.000018E-30  1.000107E-30  1.000095E-30  1.000282E-30  1.000272E-30  1.000439E-30  1.000453E-30  1.001273E-30
     32  1.695708820900E-04  1.000022E-30  1.000133E-30  1.000118E-30  1.000350E-30  1.000338E-30  1.000544E-30  1.000562E-30  1.001579E-30
     33  1.992873377730E-04  1.000026E-30  1.000157E-30  1.000138E-30  1.000411E-30  1.000397E-30  1.000640E-30  1.000660E-30  1.001856E-30
     34  2.264248739983E-04  1.000030E-30  1.000178E-30  1.000157E-30  1.000467E-30  1.000451E-30  1.000727E-30  1.000750E-30  1.002109E-30
     35  2.515933231106E-04  1.000033E-30  1.000198E-30  1.000174E-30  1.000519E-30  1.000502E-30  1.000808E-30  1.000834E-30  1.002344E-30
     36  2.753099894686E-04  1.000036E-30  1.000216E-30  1.000191E-30  1.000568E-30  1.000549E-30  1.000884E-30  1.000912E-30  1.002564E-30
     37  2.979926919870E-04  1.000039E-30  1.000234E-30  1.000207E-30  1.000615E-30  1.000594E-30  1.000957E-30  1.000988E-30  1.002776E-30
     38  3.199702121451E-04  1.000042E-30  1.000251E-30  1.000222E-30  1.000660E-30  1.000638E-30  1.001027E-30  1.001060E-30  1.002981E-30
     39  3.524429751724E-04  1.000046E-30  1.000277E-30  1.000244E-30  1.000727E-30  1.000703E-30  1.001132E-30  1.001168E-30  1.003283E-30
     40  3.836809895565E-04  1.000050E-30  1.000302E-30  1.000266E-30  1.000792E-30  1.000765E-30  1.001232E-30  1.001272E-30  1.003574E-30
     41  4.138876583201E-04  1.000054E-30  1.000325E-30  1.000287E-30  1.000854E-30  1.000825E-30  1.001329E-30  1.001372E-30  1.003856E-30
     42  4.432651277490E-04  1.000058E-30  1.000348E-30  1.000307E-30  1.000914E-30  1.000884E-30  1.001423E-30  1.001469E-30  1.004130E-30
     43  4.720041568584E-04  1.000062E-30  1.000371E-30  1.000327E-30  1.000974E-30  1.000941E-30  1.001515E-30  1.001564E-30  1.004397E-30
     44  5.002792532552E-04  1.000066E-30  1.000393E-30  1.000347E-30  1.001032E-30  1.000997E-30  1.001606E-30  1.001658E-30  1.004661E-30
     45  5.282472522620E-04  1.000069E-30  1.000415E-30  1.000366E-30  1.001090E-30  1.001053E-30  1.001696E-30  1.001751E-30  1.004922E-30
     46  5.560479783168E-04  1.000073E-30  1.000437E-30  1.000386E-30  1.001147E-30  1.001109E-30  1.001785E-30  1.001843E-30  1.005181E-30
     47  5.838060709037E-04  1.000077E-30  1.000459E-30  1.000405E-30  1.001204E-30  1.001164E-30  1.001874E-30  1.001935E-30  1.005440E-30
     48  6.116334118686E-04  1.000080E-30  1.000481E-30  1.000424E-30  1.001262E-30  1.001219E-30  1.001964E-30  1.002027E-30  1.005699E-30
     49  6.396318340541E-04  1.000084E-30  1.000503E-30  1.000444E-30  1.001320E-30  1.001275E-30  1.002054E-30  1.002120E-30  1.005960E-30
     50  6.678959636874E-04  1.000088E-30  1.000525E-30  1.000463E-30  1.001378E-30  1.001332E-30  1.002144E-30  1.002214E-30  1.006223E-30
     51  6.965161747902E-04  1.000092E-30  1.000547E-30  1.000483E-30  1.001437E-30  1.001389E-30  1.002236E-30  1.002309E-30  1.006490E-30
     52  7.255817382538E-04  1.000095E-30  1.000570E-30  1.000503E-30  1.001497E-30  1.001447E-30  1.002330E-30  1.002405E-30  1.006761E-30
     53  7.551843574001E-04  1.000099E-30  1.000594E-30  1.000524E-30  1.001558E-30  1.001506E-30  1.002425E-30  1.002503E-30  1.007037E-30
     54  7.854224313090E-04  1.000103E-30  1.000617E-30  1.000545E-30  1.001620E-30  1.001566E-30  1.002522E-30  1.002604E-30  1.007319E-30
     55  8.164066374138E-04  1.000107E-30  1.000642E-30  1.000567E-30  1.001684E-30  1.001628E-30  1.002621E-30  1.002707E-30  1.007608E-30
     56  8.482679080764E-04  1.000112E-30  1.000667E-30  1.000589E-30  1.001750E-30  1.001691E-30  1.002723E-30  1.002812E-30  1.007905E-30
     57  8.811699017317E-04  1.000116E-30  1.000693E-30  1.000611E-30  1.001818E-30  1.001757E-30  1.002829E-30  1.002921E-30  1.008212E-30
     58  9.153304977871E-04  1.000120E-30  1.000720E-30  1.000635E-30  1.001888E-30  1.001825E-30  1.002939E-30  1.003035E-30  1.008531E-30
     59  9.510634923056E-04  1.000125E-30  1.000748E-30  1.000660E-30  1.001962E-30  1.001896E-30  1.003053E-30  1.003153E-30  1.008864E-30
     60  9.888739022907E-04  1.000130E-30  1.000777E-30  1.000686E-30  1.002040E-30  1.001972E-30  1.003175E-30  1.003279E-30  1.009217E-30
     61  1.029744313280E-03  1.000135E-30  1.000809E-30  1.000715E-30  1.002124E-30  1.002053E-30  1.003306E-30  1.003414E-30  1.009598E-30
     62  1.076805333108E-03  1.000142E-30  1.000846E-30  1.000747E-30  1.002221E-30  1.002147E-30  1.003457E-30  1.003571E-30  1.010037E-30
     63  1.127478238084E-03  1.000148E-30  1.000886E-30  1.000783E-30  1.002326E-30  1.002248E-30  1.003620E-30  1.003739E-30  1.010510E-30
     64  1.179263354774E-03  1.000155E-30  1.000927E-30  1.000819E-30  1.002433E-30  1.002351E-30  1.003786E-30  1.003911E-30  1.010994E-30
     65  1.231720185468E-03  1.000162E-30  1.000968E-30  1.000855E-30  1.002541E-30  1.002456E-30  1.003954E-30  1.004085E-30  1.011483E-30
     66  1.284679788904E-03  1.000169E-30  1.001010E-30  1.000892E-30  1.002650E-30  1.002561E-30  1.004124E-30  1.004261E-30  1.011978E-30
     67  1.338068714676E-03  1.000176E-30  1.001052E-30  1.000929E-30  1.002760E-30  1.002668E-30  1.004296E-30  1.004438E-30  1.012476E-30
     68  1.391852718980E-03  1.000183E-30  1.001094E-30  1.000966E-30  1.002871E-30  1.002775E-30  1.004468E-30  1.004616E-30  1.012978E-30
     69  1.446014888479E-03  1.000190E-30  1.001137E-30  1.001004E-30  1.002983E-30  1.002883E-30  1.004642E-30  1.004796E-30  1.013484E-30
     70  1.500546342624E-03  1.000197E-30  1.001180E-30  1.001042E-30  1.003095E-30  1.002991E-30  1.004817E-30  1.004977E-30  1.013993E-30
     71  1.555442065896E-03  1.000205E-30  1.001223E-30  1.001080E-30  1.003208E-30  1.003101E-30  1.004994E-30  1.005160E-30  1.014506E-30
     72  1.610698967280E-03  1.000212E-30  1.001266E-30  1.001119E-30  1.003322E-30  1.003211E-30  1.005171E-30  1.005343E-30  1.015022E-30
     73  1.666314948699E-03  1.000219E-30  1.001310E-30  1.001157E-30  1.003437E-30  1.003322E-30  1.005349E-30  1.005528E-30  1.015542E-30
     74  1.722288445659E-03  1.000227E-30  1.001354E-30  1.001196E-30  1.003552E-30  1.003433E-30  1.005529E-30  1.005714E-30  1.016065E-30
     75  1.778618195039E-03  1.000234E-30  1.001398E-30  1.001235E-30  1.003669E-30  1.003545E-30  1.005710E-30  1.005901E-30  1.016591E-30
     76  1.835303663832E-03  1.000242E-30  1.001443E-30  1.001275E-30  1.003785E-30  1.003658E-30  1.005892E-30  1.006090E-30  1.017121E-30
     77  1.892344396716E-03  1.000249E-30  1.001488E-30  1.001314E-30  1.003903E-30  1.003772E-30  1.006075E-30  1.006279E-30  1.017654E-30
     78  1.949739812628E-03  1.000257E-30  1.001533E-30  1.001354E-30  1.004021E-30  1.003886E-30  1.006259E-30  1.006470E-30  1.018190E-30
     79  2.007489276907E-03  1.000264E-30  1.001578E-30  1.001395E-30  1.004141E-30  1.004002E-30  1.006444E-30  1.006662E-30  1.018730E-30
     80  2.065592139419E-03  1.000272E-30  1.001624E-30  1.001435E-30  1.004260E-30  1.004117E-30  1.006631E-30  1.006855E-30  1.019274E-30
     81  2.124047755162E-03  1.000280E-30  1.001670E-30  1.001476E-30  1.004381E-30  1.004234E-30  1.006819E-30  1.007049E-30  1.019820E-30
     82  2.182855495215E-03  1.000287E-30  1.001716E-30  1.001517E-30  1.004502E-30  1.004351E-30  1.007007E-30  1.007245E-30  1.020370E-30
     83  2.242014752368E-03  1.000295E-30  1.001763E-30  1.001558E-30  1.004624E-30  1.004469E-30  1.007197E-30  1.007442E-30  1.020924E-30
     84  2.301524943777E-03  1.000303E-30  1.001810E-30  1.001599E-30  1.004747E-30  1.004587E-30  1.007388E-30  1.007640E-30  1.021481E-30
     85  2.361385511936E-03  1.000311E-30  1.001857E-30  1.001641E-30  1.004870E-30  1.004707E-30  1.007580E-30  1.007839E-30  1.022041E-30
     86  2.421595924701E-03  1.000319E-30  1.001904E-30  1.001683E-30  1.004994E-30  1.004827E-30  1.007774E-30  1.008039E-30  1.022604E-30
     87  2.482155674804E-03  1.000327E-30  1.001952E-30  1.001725E-30  1.005119E-30  1.004947E-30  1.007968E-30  1.008240E-30  1.023171E-30
     88  2.543064279071E-03  1.000335E-30  1.002000E-30  1.001768E-30  1.005245E-30  1.005069E-30  1.008163E-30  1.008443E-30  1.023741E-30
     89  2.604321277494E-03  1.000343E-30  1.002048E-30  1.001810E-30  1.005371E-30  1.005191E-30  1.008360E-30  1.008647E-30  1.024315E-30
     90  2.665926232237E-03  1.000351E-30  1.002097E-30  1.001853E-30  1.005498E-30  1.005313E-30  1.008558E-30  1.008852E-30  1.024892E-30
     91  2.727878734382E-03  1.000359E-30  1.002145E-30  1.001896E-30  1.005626E-30  1.005437E-30  1.008756E-30  1.009058E-30  1.025472E-30
     92  2.790178404165E-03  1.000367E-30  1.002194E-30  1.001940E-30  1.005754E-30  1.005561E-30  1.008956E-30  1.009266E-30  1.026056E-30
     93  2.852824875480E-03  1.000376E-30  1.002244E-30  1.001983E-30  1.005883E-30  1.005686E-30  1.009157E-30  1.009474E-30  1.026643E-30
     94  2.915817796872E-03  1.000384E-30  1.002293E-30  1.002027E-30  1.006013E-30  1.005811E-30  1.009360E-30  1.009684E-30  1.027233E-30
     95  2.979156831833E-03  1.000392E-30  1.002343E-30  1.002072E-30  1.006144E-30  1.005937E-30  1.009563E-30  1.009895E-30  1.027827E-30
