 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                cd132         cd133         cd134         in97          in98          in99          in100         in101
     27  8.489118412102E-05  1.001131E-30  1.001741E-30  1.011746E-30  1.000000E-30  1.000000E-30  1.001394E-30  1.000053E-30  1.000016E-30
     28  9.570255892797E-05  1.001275E-30  1.001962E-30  1.013242E-30  1.000000E-30  1.000000E-30  1.001572E-30  1.000059E-30  1.000018E-30
     29  1.070853065563E-04  1.001427E-30  1.002196E-30  1.014817E-30  1.000000E-30  1.000000E-30  1.001759E-30  1.000066E-30  1.000020E-30
     30  1.190882425669E-04  1.001586E-30  1.002442E-30  1.016477E-30  1.000000E-30  1.000000E-30  1.001956E-30  1.000074E-30  1.000022E-30
     31  1.366291075688E-04  1.001820E-30  1.002802E-30  1.018904E-30  1.000000E-30  1.000000E-30  1.002244E-30  1.000085E-30  1.000025E-30
     32  1.695708820900E-04  1.002258E-30  1.003477E-30  1.023461E-30  1.000000E-30  1.000000E-30  1.002785E-30  1.000105E-30  1.000031E-30
     33  1.992873377730E-04  1.002654E-30  1.004086E-30  1.027572E-30  1.000000E-30  1.000000E-30  1.003273E-30  1.000124E-30  1.000037E-30
     34  2.264248739983E-04  1.003015E-30  1.004643E-30  1.031326E-30  1.000000E-30  1.000000E-30  1.003719E-30  1.000140E-30  1.000042E-30
     35  2.515933231106E-04  1.003350E-30  1.005159E-30  1.034807E-30  1.000000E-30  1.000000E-30  1.004132E-30  1.000156E-30  1.000047E-30
     36  2.753099894686E-04  1.003665E-30  1.005645E-30  1.038087E-30  1.000000E-30  1.000000E-30  1.004522E-30  1.000171E-30  1.000051E-30
     37  2.979926919870E-04  1.003967E-30  1.006110E-30  1.041224E-30  1.000000E-30  1.000000E-30  1.004894E-30  1.000185E-30  1.000055E-30
     38  3.199702121451E-04  1.004259E-30  1.006560E-30  1.044264E-30  1.000000E-30  1.000000E-30  1.005255E-30  1.000198E-30  1.000059E-30
     39  3.524429751724E-04  1.004691E-30  1.007226E-30  1.048754E-30  1.000000E-30  1.000000E-30  1.005789E-30  1.000218E-30  1.000065E-30
     40  3.836809895565E-04  1.005106E-30  1.007866E-30  1.053074E-30  1.000000E-30  1.000000E-30  1.006302E-30  1.000238E-30  1.000071E-30
     41  4.138876583201E-04  1.005508E-30  1.008485E-30  1.057251E-30  1.000000E-30  1.000000E-30  1.006798E-30  1.000257E-30  1.000077E-30
     42  4.432651277490E-04  1.005898E-30  1.009087E-30  1.061313E-30  1.000000E-30  1.000000E-30  1.007280E-30  1.000275E-30  1.000082E-30
     43  4.720041568584E-04  1.006280E-30  1.009676E-30  1.065286E-30  1.000000E-30  1.000000E-30  1.007752E-30  1.000293E-30  1.000087E-30
     44  5.002792532552E-04  1.006655E-30  1.010256E-30  1.069195E-30  1.000000E-30  1.000000E-30  1.008217E-30  1.000310E-30  1.000093E-30
     45  5.282472522620E-04  1.007026E-30  1.010829E-30  1.073061E-30  1.000000E-30  1.000000E-30  1.008676E-30  1.000327E-30  1.000098E-30
     46  5.560479783168E-04  1.007395E-30  1.011399E-30  1.076905E-30  1.000000E-30  1.000000E-30  1.009132E-30  1.000345E-30  1.000103E-30
     47  5.838060709037E-04  1.007764E-30  1.011967E-30  1.080742E-30  1.000000E-30  1.000000E-30  1.009588E-30  1.000362E-30  1.000108E-30
     48  6.116334118686E-04  1.008133E-30  1.012538E-30  1.084588E-30  1.000000E-30  1.000000E-30  1.010045E-30  1.000379E-30  1.000113E-30
     49  6.396318340541E-04  1.008505E-30  1.013111E-30  1.088458E-30  1.000000E-30  1.000000E-30  1.010505E-30  1.000396E-30  1.000118E-30
     50  6.678959636874E-04  1.008880E-30  1.013690E-30  1.092364E-30  1.000000E-30  1.000000E-30  1.010969E-30  1.000414E-30  1.000124E-30
     51  6.965161747902E-04  1.009259E-30  1.014277E-30  1.096319E-30  1.000000E-30  1.000000E-30  1.011439E-30  1.000432E-30  1.000129E-30
     52  7.255817382538E-04  1.009644E-30  1.014872E-30  1.100336E-30  1.000000E-30  1.000000E-30  1.011917E-30  1.000450E-30  1.000134E-30
     53  7.551843574001E-04  1.010037E-30  1.015479E-30  1.104427E-30  1.000000E-30  1.000000E-30  1.012403E-30  1.000468E-30  1.000140E-30
     54  7.854224313090E-04  1.010438E-30  1.016098E-30  1.108605E-30  1.000000E-30  1.000000E-30  1.012899E-30  1.000487E-30  1.000145E-30
     55  8.164066374138E-04  1.010848E-30  1.016733E-30  1.112886E-30  1.000000E-30  1.000000E-30  1.013408E-30  1.000506E-30  1.000151E-30
     56  8.482679080764E-04  1.011270E-30  1.017386E-30  1.117288E-30  1.000000E-30  1.000000E-30  1.013932E-30  1.000526E-30  1.000157E-30
     57  8.811699017317E-04  1.011706E-30  1.018059E-30  1.121833E-30  1.000000E-30  1.000000E-30  1.014472E-30  1.000546E-30  1.000163E-30
     58  9.153304977871E-04  1.012158E-30  1.018759E-30  1.126553E-30  1.000000E-30  1.000000E-30  1.015033E-30  1.000567E-30  1.000169E-30
     59  9.510634923056E-04  1.012631E-30  1.019491E-30  1.131489E-30  1.000000E-30  1.000000E-30  1.015620E-30  1.000590E-30  1.000176E-30
     60  9.888739022907E-04  1.013132E-30  1.020265E-30  1.136711E-30  1.000000E-30  1.000000E-30  1.016241E-30  1.000613E-30  1.000183E-30
     61  1.029744313280E-03  1.013673E-30  1.021102E-30  1.142356E-30  1.000000E-30  1.000000E-30  1.016912E-30  1.000638E-30  1.000191E-30
     62  1.076805333108E-03  1.014295E-30  1.022066E-30  1.148855E-30  1.000000E-30  1.000000E-30  1.017685E-30  1.000667E-30  1.000199E-30
     63  1.127478238084E-03  1.014965E-30  1.023104E-30  1.155853E-30  1.000000E-30  1.000000E-30  1.018517E-30  1.000699E-30  1.000209E-30
     64  1.179263354774E-03  1.015649E-30  1.024164E-30  1.163003E-30  1.000000E-30  1.000000E-30  1.019367E-30  1.000731E-30  1.000218E-30
     65  1.231720185468E-03  1.016343E-30  1.025238E-30  1.170246E-30  1.000000E-30  1.000000E-30  1.020228E-30  1.000763E-30  1.000228E-30
     66  1.284679788904E-03  1.017042E-30  1.026322E-30  1.177557E-30  1.000000E-30  1.000000E-30  1.021098E-30  1.000796E-30  1.000238E-30
     67  1.338068714676E-03  1.017747E-30  1.027415E-30  1.184926E-30  1.000000E-30  1.000000E-30  1.021975E-30  1.000829E-30  1.000248E-30
     68  1.391852718980E-03  1.018457E-30  1.028516E-30  1.192350E-30  1.000000E-30  1.000000E-30  1.022858E-30  1.000863E-30  1.000258E-30
     69  1.446014888479E-03  1.019171E-30  1.029625E-30  1.199825E-30  1.000000E-30  1.000000E-30  1.023747E-30  1.000896E-30  1.000268E-30
     70  1.500546342624E-03  1.019890E-30  1.030741E-30  1.207350E-30  1.000000E-30  1.000000E-30  1.024643E-30  1.000930E-30  1.000278E-30
     71  1.555442065896E-03  1.020614E-30  1.031864E-30  1.214924E-30  1.000000E-30  1.000000E-30  1.025544E-30  1.000964E-30  1.000288E-30
     72  1.610698967280E-03  1.021342E-30  1.032995E-30  1.222548E-30  1.000000E-30  1.000000E-30  1.026452E-30  1.000998E-30  1.000298E-30
     73  1.666314948699E-03  1.022075E-30  1.034133E-30  1.230220E-30  1.000000E-30  1.000000E-30  1.027365E-30  1.001033E-30  1.000308E-30
     74  1.722288445659E-03  1.022811E-30  1.035278E-30  1.237941E-30  1.000000E-30  1.000000E-30  1.028284E-30  1.001068E-30  1.000319E-30
     75  1.778618195039E-03  1.023553E-30  1.036430E-30  1.245710E-30  1.000000E-30  1.000000E-30  1.029209E-30  1.001102E-30  1.000329E-30
     76  1.835303663832E-03  1.024299E-30  1.037590E-30  1.253527E-30  1.000000E-30  1.000000E-30  1.030139E-30  1.001138E-30  1.000340E-30
     77  1.892344396716E-03  1.025049E-30  1.038757E-30  1.261393E-30  1.000000E-30  1.000000E-30  1.031076E-30  1.001173E-30  1.000350E-30
     78  1.949739812628E-03  1.025803E-30  1.039931E-30  1.269306E-30  1.000000E-30  1.000000E-30  1.032018E-30  1.001209E-30  1.000361E-30
     79  2.007489276907E-03  1.026562E-30  1.041112E-30  1.277268E-30  1.000000E-30  1.000000E-30  1.032967E-30  1.001244E-30  1.000372E-30
     80  2.065592139419E-03  1.027325E-30  1.042300E-30  1.285277E-30  1.000000E-30  1.000000E-30  1.033921E-30  1.001280E-30  1.000382E-30
     81  2.124047755162E-03  1.028092E-30  1.043495E-30  1.293335E-30  1.000000E-30  1.000000E-30  1.034880E-30  1.001317E-30  1.000393E-30
     82  2.182855495215E-03  1.028864E-30  1.044698E-30  1.301439E-30  1.000000E-30  1.000000E-30  1.035846E-30  1.001353E-30  1.000404E-30
     83  2.242014752368E-03  1.029640E-30  1.045907E-30  1.309592E-30  1.000000E-30  1.000000E-30  1.036817E-30  1.001390E-30  1.000415E-30
     84  2.301524943777E-03  1.030420E-30  1.047124E-30  1.317791E-30  1.000000E-30  1.000000E-30  1.037794E-30  1.001427E-30  1.000426E-30
     85  2.361385511936E-03  1.031205E-30  1.048348E-30  1.326038E-30  1.000000E-30  1.000000E-30  1.038777E-30  1.001464E-30  1.000437E-30
     86  2.421595924701E-03  1.031994E-30  1.049578E-30  1.334333E-30  1.000000E-30  1.000000E-30  1.039766E-30  1.001501E-30  1.000448E-30
     87  2.482155674804E-03  1.032787E-30  1.050816E-30  1.342674E-30  1.000000E-30  1.000000E-30  1.040760E-30  1.001538E-30  1.000460E-30
     88  2.543064279071E-03  1.033584E-30  1.052061E-30  1.351063E-30  1.000000E-30  1.000000E-30  1.041760E-30  1.001576E-30  1.000471E-30
     89  2.604321277494E-03  1.034386E-30  1.053313E-30  1.359499E-30  1.000000E-30  1.000000E-30  1.042765E-30  1.001614E-30  1.000482E-30
     90  2.665926232237E-03  1.035191E-30  1.054572E-30  1.367981E-30  1.000000E-30  1.000000E-30  1.043777E-30  1.001652E-30  1.000494E-30
     91  2.727878734382E-03  1.036001E-30  1.055838E-30  1.376511E-30  1.000000E-30  1.000000E-30  1.044794E-30  1.001691E-30  1.000505E-30
     92  2.790178404165E-03  1.036815E-30  1.057110E-30  1.385087E-30  1.000000E-30  1.000000E-30  1.045817E-30  1.001729E-30  1.000517E-30
     93  2.852824875480E-03  1.037633E-30  1.058390E-30  1.393710E-30  1.000000E-30  1.000000E-30  1.046845E-30  1.001768E-30  1.000528E-30
     94  2.915817796872E-03  1.038456E-30  1.059677E-30  1.402379E-30  1.000000E-30  1.000000E-30  1.047879E-30  1.001807E-30  1.000540E-30
     95  2.979156831833E-03  1.039282E-30  1.060971E-30  1.411096E-30  1.000000E-30  1.000000E-30  1.048919E-30  1.001846E-30  1.000552E-30
