 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                ce146         ce147         ce148         ce149         ce150         ce151         ce152         ce153
     27  8.489118412102E-05  1.000009E-30  1.000014E-30  1.000046E-30  1.000045E-30  1.000101E-30  1.000017E-30  1.000055E-30  1.000162E-30
     28  9.570255892797E-05  1.000010E-30  1.000015E-30  1.000051E-30  1.000051E-30  1.000113E-30  1.000019E-30  1.000062E-30  1.000183E-30
     29  1.070853065563E-04  1.000012E-30  1.000017E-30  1.000058E-30  1.000057E-30  1.000127E-30  1.000021E-30  1.000070E-30  1.000205E-30
     30  1.190882425669E-04  1.000013E-30  1.000019E-30  1.000064E-30  1.000063E-30  1.000141E-30  1.000024E-30  1.000077E-30  1.000228E-30
     31  1.366291075688E-04  1.000015E-30  1.000022E-30  1.000073E-30  1.000072E-30  1.000162E-30  1.000027E-30  1.000089E-30  1.000262E-30
     32  1.695708820900E-04  1.000019E-30  1.000027E-30  1.000091E-30  1.000090E-30  1.000201E-30  1.000034E-30  1.000110E-30  1.000325E-30
     33  1.992873377730E-04  1.000022E-30  1.000032E-30  1.000107E-30  1.000106E-30  1.000236E-30  1.000039E-30  1.000130E-30  1.000382E-30
     34  2.264248739983E-04  1.000025E-30  1.000036E-30  1.000122E-30  1.000120E-30  1.000269E-30  1.000045E-30  1.000147E-30  1.000434E-30
     35  2.515933231106E-04  1.000028E-30  1.000040E-30  1.000135E-30  1.000133E-30  1.000298E-30  1.000050E-30  1.000164E-30  1.000482E-30
     36  2.753099894686E-04  1.000030E-30  1.000044E-30  1.000148E-30  1.000146E-30  1.000327E-30  1.000054E-30  1.000179E-30  1.000527E-30
     37  2.979926919870E-04  1.000033E-30  1.000048E-30  1.000160E-30  1.000158E-30  1.000353E-30  1.000059E-30  1.000194E-30  1.000571E-30
     38  3.199702121451E-04  1.000035E-30  1.000051E-30  1.000172E-30  1.000169E-30  1.000379E-30  1.000063E-30  1.000208E-30  1.000613E-30
     39  3.524429751724E-04  1.000039E-30  1.000057E-30  1.000190E-30  1.000187E-30  1.000418E-30  1.000070E-30  1.000229E-30  1.000675E-30
     40  3.836809895565E-04  1.000042E-30  1.000062E-30  1.000206E-30  1.000203E-30  1.000455E-30  1.000076E-30  1.000249E-30  1.000735E-30
     41  4.138876583201E-04  1.000045E-30  1.000066E-30  1.000223E-30  1.000219E-30  1.000491E-30  1.000082E-30  1.000269E-30  1.000793E-30
     42  4.432651277490E-04  1.000049E-30  1.000071E-30  1.000238E-30  1.000235E-30  1.000526E-30  1.000088E-30  1.000288E-30  1.000850E-30
     43  4.720041568584E-04  1.000052E-30  1.000076E-30  1.000254E-30  1.000250E-30  1.000560E-30  1.000093E-30  1.000307E-30  1.000905E-30
     44  5.002792532552E-04  1.000055E-30  1.000080E-30  1.000269E-30  1.000265E-30  1.000593E-30  1.000099E-30  1.000325E-30  1.000959E-30
     45  5.282472522620E-04  1.000058E-30  1.000085E-30  1.000284E-30  1.000280E-30  1.000627E-30  1.000105E-30  1.000344E-30  1.001013E-30
     46  5.560479783168E-04  1.000061E-30  1.000089E-30  1.000299E-30  1.000294E-30  1.000660E-30  1.000110E-30  1.000362E-30  1.001066E-30
     47  5.838060709037E-04  1.000064E-30  1.000094E-30  1.000314E-30  1.000309E-30  1.000692E-30  1.000116E-30  1.000380E-30  1.001119E-30
     48  6.116334118686E-04  1.000067E-30  1.000098E-30  1.000329E-30  1.000324E-30  1.000725E-30  1.000121E-30  1.000398E-30  1.001173E-30
     49  6.396318340541E-04  1.000070E-30  1.000103E-30  1.000344E-30  1.000339E-30  1.000759E-30  1.000127E-30  1.000416E-30  1.001227E-30
     50  6.678959636874E-04  1.000073E-30  1.000107E-30  1.000359E-30  1.000354E-30  1.000792E-30  1.000132E-30  1.000435E-30  1.001281E-30
     51  6.965161747902E-04  1.000076E-30  1.000112E-30  1.000375E-30  1.000369E-30  1.000826E-30  1.000138E-30  1.000453E-30  1.001336E-30
     52  7.255817382538E-04  1.000080E-30  1.000116E-30  1.000390E-30  1.000384E-30  1.000861E-30  1.000144E-30  1.000472E-30  1.001392E-30
     53  7.551843574001E-04  1.000083E-30  1.000121E-30  1.000406E-30  1.000400E-30  1.000896E-30  1.000150E-30  1.000491E-30  1.001449E-30
     54  7.854224313090E-04  1.000086E-30  1.000126E-30  1.000422E-30  1.000416E-30  1.000932E-30  1.000156E-30  1.000511E-30  1.001507E-30
     55  8.164066374138E-04  1.000090E-30  1.000131E-30  1.000439E-30  1.000432E-30  1.000968E-30  1.000162E-30  1.000531E-30  1.001567E-30
     56  8.482679080764E-04  1.000093E-30  1.000136E-30  1.000456E-30  1.000449E-30  1.001006E-30  1.000168E-30  1.000552E-30  1.001628E-30
     57  8.811699017317E-04  1.000097E-30  1.000141E-30  1.000474E-30  1.000467E-30  1.001045E-30  1.000175E-30  1.000573E-30  1.001692E-30
     58  9.153304977871E-04  1.000100E-30  1.000147E-30  1.000492E-30  1.000485E-30  1.001086E-30  1.000181E-30  1.000596E-30  1.001757E-30
     59  9.510634923056E-04  1.000104E-30  1.000153E-30  1.000512E-30  1.000504E-30  1.001128E-30  1.000189E-30  1.000619E-30  1.001826E-30
     60  9.888739022907E-04  1.000108E-30  1.000159E-30  1.000532E-30  1.000524E-30  1.001173E-30  1.000196E-30  1.000644E-30  1.001899E-30
     61  1.029744313280E-03  1.000113E-30  1.000165E-30  1.000554E-30  1.000546E-30  1.001222E-30  1.000204E-30  1.000670E-30  1.001978E-30
     62  1.076805333108E-03  1.000118E-30  1.000173E-30  1.000579E-30  1.000570E-30  1.001278E-30  1.000213E-30  1.000701E-30  1.002069E-30
     63  1.127478238084E-03  1.000124E-30  1.000181E-30  1.000606E-30  1.000597E-30  1.001338E-30  1.000224E-30  1.000734E-30  1.002167E-30
     64  1.179263354774E-03  1.000129E-30  1.000189E-30  1.000634E-30  1.000625E-30  1.001399E-30  1.000234E-30  1.000768E-30  1.002267E-30
     65  1.231720185468E-03  1.000135E-30  1.000198E-30  1.000663E-30  1.000653E-30  1.001461E-30  1.000244E-30  1.000802E-30  1.002368E-30
     66  1.284679788904E-03  1.000141E-30  1.000206E-30  1.000691E-30  1.000681E-30  1.001524E-30  1.000255E-30  1.000837E-30  1.002470E-30
     67  1.338068714676E-03  1.000147E-30  1.000215E-30  1.000720E-30  1.000709E-30  1.001588E-30  1.000265E-30  1.000872E-30  1.002573E-30
     68  1.391852718980E-03  1.000153E-30  1.000223E-30  1.000749E-30  1.000738E-30  1.001652E-30  1.000276E-30  1.000907E-30  1.002677E-30
     69  1.446014888479E-03  1.000159E-30  1.000232E-30  1.000778E-30  1.000766E-30  1.001716E-30  1.000287E-30  1.000942E-30  1.002782E-30
     70  1.500546342624E-03  1.000165E-30  1.000241E-30  1.000807E-30  1.000795E-30  1.001781E-30  1.000298E-30  1.000978E-30  1.002888E-30
     71  1.555442065896E-03  1.000171E-30  1.000250E-30  1.000837E-30  1.000824E-30  1.001846E-30  1.000309E-30  1.001014E-30  1.002994E-30
     72  1.610698967280E-03  1.000177E-30  1.000258E-30  1.000867E-30  1.000854E-30  1.001911E-30  1.000320E-30  1.001050E-30  1.003101E-30
     73  1.666314948699E-03  1.000183E-30  1.000267E-30  1.000896E-30  1.000883E-30  1.001977E-30  1.000331E-30  1.001086E-30  1.003209E-30
     74  1.722288445659E-03  1.000189E-30  1.000276E-30  1.000927E-30  1.000913E-30  1.002044E-30  1.000342E-30  1.001123E-30  1.003317E-30
     75  1.778618195039E-03  1.000195E-30  1.000285E-30  1.000957E-30  1.000943E-30  1.002111E-30  1.000353E-30  1.001159E-30  1.003427E-30
     76  1.835303663832E-03  1.000201E-30  1.000294E-30  1.000987E-30  1.000973E-30  1.002178E-30  1.000364E-30  1.001196E-30  1.003537E-30
     77  1.892344396716E-03  1.000208E-30  1.000304E-30  1.001018E-30  1.001003E-30  1.002246E-30  1.000376E-30  1.001234E-30  1.003647E-30
     78  1.949739812628E-03  1.000214E-30  1.000313E-30  1.001049E-30  1.001034E-30  1.002314E-30  1.000387E-30  1.001271E-30  1.003759E-30
     79  2.007489276907E-03  1.000220E-30  1.000322E-30  1.001080E-30  1.001064E-30  1.002383E-30  1.000399E-30  1.001309E-30  1.003871E-30
     80  2.065592139419E-03  1.000227E-30  1.000331E-30  1.001111E-30  1.001095E-30  1.002452E-30  1.000410E-30  1.001347E-30  1.003984E-30
     81  2.124047755162E-03  1.000233E-30  1.000341E-30  1.001143E-30  1.001126E-30  1.002521E-30  1.000422E-30  1.001385E-30  1.004098E-30
     82  2.182855495215E-03  1.000240E-30  1.000350E-30  1.001175E-30  1.001157E-30  1.002591E-30  1.000434E-30  1.001424E-30  1.004212E-30
     83  2.242014752368E-03  1.000246E-30  1.000360E-30  1.001206E-30  1.001189E-30  1.002661E-30  1.000446E-30  1.001463E-30  1.004327E-30
     84  2.301524943777E-03  1.000253E-30  1.000369E-30  1.001238E-30  1.001221E-30  1.002732E-30  1.000457E-30  1.001502E-30  1.004443E-30
     85  2.361385511936E-03  1.000259E-30  1.000379E-30  1.001271E-30  1.001252E-30  1.002803E-30  1.000469E-30  1.001541E-30  1.004560E-30
     86  2.421595924701E-03  1.000266E-30  1.000389E-30  1.001303E-30  1.001284E-30  1.002875E-30  1.000481E-30  1.001580E-30  1.004677E-30
     87  2.482155674804E-03  1.000272E-30  1.000398E-30  1.001336E-30  1.001316E-30  1.002947E-30  1.000494E-30  1.001620E-30  1.004795E-30
     88  2.543064279071E-03  1.000279E-30  1.000408E-30  1.001369E-30  1.001349E-30  1.003019E-30  1.000506E-30  1.001660E-30  1.004914E-30
     89  2.604321277494E-03  1.000286E-30  1.000418E-30  1.001402E-30  1.001381E-30  1.003092E-30  1.000518E-30  1.001700E-30  1.005034E-30
     90  2.665926232237E-03  1.000293E-30  1.000428E-30  1.001435E-30  1.001414E-30  1.003165E-30  1.000530E-30  1.001740E-30  1.005154E-30
     91  2.727878734382E-03  1.000299E-30  1.000438E-30  1.001468E-30  1.001447E-30  1.003239E-30  1.000543E-30  1.001781E-30  1.005275E-30
     92  2.790178404165E-03  1.000306E-30  1.000448E-30  1.001502E-30  1.001480E-30  1.003313E-30  1.000555E-30  1.001822E-30  1.005397E-30
     93  2.852824875480E-03  1.000313E-30  1.000458E-30  1.001535E-30  1.001514E-30  1.003387E-30  1.000568E-30  1.001863E-30  1.005519E-30
     94  2.915817796872E-03  1.000320E-30  1.000468E-30  1.001569E-30  1.001547E-30  1.003462E-30  1.000580E-30  1.001904E-30  1.005642E-30
     95  2.979156831833E-03  1.000327E-30  1.000478E-30  1.001603E-30  1.001581E-30  1.003538E-30  1.000593E-30  1.001946E-30  1.005766E-30
