 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                p32           p33           p34           p35           p36           p37           p38           p39  
     27  8.489118412102E-05  1.000000E-30  1.000010E-30  1.000017E-30  1.000074E-30  1.000120E-30  1.000765E-30  6.565857E-29  1.000116E-30
     28  9.570255892797E-05  1.000000E-30  1.000011E-30  1.000019E-30  1.000084E-30  1.000136E-30  1.000904E-30  7.389278E-29  1.000131E-30
     29  1.070853065563E-04  1.000000E-30  1.000012E-30  1.000021E-30  1.000094E-30  1.000152E-30  1.001067E-30  8.256205E-29  1.000147E-30
     30  1.190882425669E-04  1.000000E-30  1.000013E-30  1.000023E-30  1.000104E-30  1.000169E-30  1.001258E-30  9.170356E-29  1.000164E-30
     31  1.366291075688E-04  1.000000E-30  1.000015E-30  1.000027E-30  1.000120E-30  1.000194E-30  1.001579E-30  1.050626E-28  1.000189E-30
     32  1.695708820900E-04  1.000000E-30  1.000019E-30  1.000033E-30  1.000148E-30  1.000240E-30  1.002339E-30  1.301501E-28  1.000236E-30
     33  1.992873377730E-04  1.000000E-30  1.000022E-30  1.000039E-30  1.000174E-30  1.000282E-30  1.003232E-30  1.527806E-28  1.000279E-30
     34  2.264248739983E-04  1.000000E-30  1.000025E-30  1.000044E-30  1.000198E-30  1.000321E-30  1.004250E-30  1.734465E-28  1.000319E-30
     35  2.515933231106E-04  1.000000E-30  1.000028E-30  1.000049E-30  1.000220E-30  1.000357E-30  1.005390E-30  1.926123E-28  1.000357E-30
     36  2.753099894686E-04  1.000000E-30  1.000031E-30  1.000054E-30  1.000241E-30  1.000390E-30  1.006657E-30  2.106721E-28  1.000392E-30
     37  2.979926919870E-04  1.000000E-30  1.000034E-30  1.000058E-30  1.000261E-30  1.000423E-30  1.008059E-30  2.279441E-28  1.000427E-30
     38  3.199702121451E-04  1.000000E-30  1.000036E-30  1.000062E-30  1.000280E-30  1.000454E-30  1.009610E-30  2.446788E-28  1.000460E-30
     39  3.524429751724E-04  1.000000E-30  1.000040E-30  1.000069E-30  1.000309E-30  1.000500E-30  1.012278E-30  2.694043E-28  1.000510E-30
     40  3.836809895565E-04  1.000000E-30  1.000043E-30  1.000075E-30  1.000336E-30  1.000544E-30  1.015306E-30  2.931888E-28  1.000559E-30
     41  4.138876583201E-04  1.000000E-30  1.000047E-30  1.000081E-30  1.000363E-30  1.000587E-30  1.018700E-30  3.161872E-28  1.000607E-30
     42  4.432651277490E-04  1.000000E-30  1.000050E-30  1.000087E-30  1.000389E-30  1.000629E-30  1.022475E-30  3.385536E-28  1.000654E-30
     43  4.720041568584E-04  1.000000E-30  1.000053E-30  1.000092E-30  1.000414E-30  1.000670E-30  1.026654E-30  3.604333E-28  1.000701E-30
     44  5.002792532552E-04  1.000000E-30  1.000056E-30  1.000098E-30  1.000439E-30  1.000710E-30  1.031262E-30  3.819591E-28  1.000747E-30
     45  5.282472522620E-04  1.000000E-30  1.000060E-30  1.000103E-30  1.000464E-30  1.000750E-30  1.036335E-30  4.032504E-28  1.000793E-30
     46  5.560479783168E-04  1.000000E-30  1.000063E-30  1.000109E-30  1.000488E-30  1.000789E-30  1.041911E-30  4.244138E-28  1.000839E-30
     47  5.838060709037E-04  1.000000E-30  1.000066E-30  1.000114E-30  1.000513E-30  1.000829E-30  1.048039E-30  4.455440E-28  1.000886E-30
     48  6.116334118686E-04  1.000000E-30  1.000069E-30  1.000120E-30  1.000537E-30  1.000868E-30  1.054769E-30  4.667264E-28  1.000934E-30
     49  6.396318340541E-04  1.000000E-30  1.000072E-30  1.000125E-30  1.000562E-30  1.000908E-30  1.062164E-30  4.880383E-28  1.000982E-30
     50  6.678959636874E-04  1.000000E-30  1.000075E-30  1.000131E-30  1.000587E-30  1.000948E-30  1.070290E-30  5.095518E-28  1.001031E-30
     51  6.965161747902E-04  1.000000E-30  1.000079E-30  1.000136E-30  1.000612E-30  1.000989E-30  1.079225E-30  5.313357E-28  1.001081E-30
     52  7.255817382538E-04  1.000000E-30  1.000082E-30  1.000142E-30  1.000638E-30  1.001030E-30  1.089056E-30  5.534579E-28  1.001132E-30
     53  7.551843574001E-04  1.000000E-30  1.000085E-30  1.000148E-30  1.000664E-30  1.001072E-30  1.099886E-30  5.759881E-28  1.001185E-30
     54  7.854224313090E-04  1.000000E-30  1.000089E-30  1.000154E-30  1.000691E-30  1.001115E-30  1.111833E-30  5.990012E-28  1.001240E-30
     55  8.164066374138E-04  1.000000E-30  1.000092E-30  1.000160E-30  1.000719E-30  1.001160E-30  1.125039E-30  6.225814E-28  1.001296E-30
     56  8.482679080764E-04  1.000000E-30  1.000096E-30  1.000166E-30  1.000747E-30  1.001205E-30  1.139674E-30  6.468282E-28  1.001355E-30
     57  8.811699017317E-04  1.000000E-30  1.000100E-30  1.000173E-30  1.000776E-30  1.001252E-30  1.155955E-30  6.718662E-28  1.001416E-30
     58  9.153304977871E-04  1.000000E-30  1.000103E-30  1.000180E-30  1.000806E-30  1.001301E-30  1.174159E-30  6.978610E-28  1.001481E-30
     59  9.510634923056E-04  1.000000E-30  1.000108E-30  1.000187E-30  1.000838E-30  1.001351E-30  1.194673E-30  7.250513E-28  1.001549E-30
     60  9.888739022907E-04  1.000000E-30  1.000112E-30  1.000194E-30  1.000872E-30  1.001405E-30  1.218081E-30  7.538212E-28  1.001621E-30
     61  1.029744313280E-03  1.000000E-30  1.000116E-30  1.000202E-30  1.000908E-30  1.001464E-30  1.245426E-30  7.849181E-28  1.001701E-30
     62  1.076805333108E-03  1.000000E-30  1.000122E-30  1.000212E-30  1.000950E-30  1.001531E-30  1.279649E-30  8.207236E-28  1.001794E-30
     63  1.127478238084E-03  1.000000E-30  1.000128E-30  1.000222E-30  1.000995E-30  1.001603E-30  1.319914E-30  8.592751E-28  1.001896E-30
     64  1.179263354774E-03  1.000000E-30  1.000134E-30  1.000232E-30  1.001041E-30  1.001677E-30  1.364884E-30  8.986706E-28  1.002001E-30
     65  1.231720185468E-03  1.000000E-30  1.000140E-30  1.000243E-30  1.001088E-30  1.001752E-30  1.414549E-30  9.385749E-28  1.002109E-30
     66  1.284679788904E-03  1.000000E-30  1.000146E-30  1.000253E-30  1.001135E-30  1.001828E-30  1.469064E-30  9.788593E-28  1.002221E-30
     67  1.338068714676E-03  1.000000E-30  1.000152E-30  1.000264E-30  1.001183E-30  1.001904E-30  1.528652E-30  1.019468E-27  1.002334E-30
     68  1.391852718980E-03  1.000000E-30  1.000158E-30  1.000275E-30  1.001231E-30  1.001981E-30  1.593570E-30  1.060375E-27  1.002450E-30
     69  1.446014888479E-03  1.000000E-30  1.000164E-30  1.000285E-30  1.001280E-30  1.002058E-30  1.664091E-30  1.101567E-27  1.002569E-30
     70  1.500546342624E-03  1.000000E-30  1.000170E-30  1.000296E-30  1.001329E-30  1.002136E-30  1.740504E-30  1.143037E-27  1.002691E-30
     71  1.555442065896E-03  1.000000E-30  1.000177E-30  1.000307E-30  1.001378E-30  1.002215E-30  1.823105E-30  1.184782E-27  1.002815E-30
     72  1.610698967280E-03  1.000000E-30  1.000183E-30  1.000319E-30  1.001427E-30  1.002294E-30  1.912203E-30  1.226799E-27  1.002941E-30
     73  1.666314948699E-03  1.000000E-30  1.000189E-30  1.000330E-30  1.001477E-30  1.002374E-30  2.008111E-30  1.269087E-27  1.003071E-30
     74  1.722288445659E-03  1.000000E-30  1.000196E-30  1.000341E-30  1.001528E-30  1.002454E-30  2.111154E-30  1.311644E-27  1.003203E-30
     75  1.778618195039E-03  1.000000E-30  1.000202E-30  1.000352E-30  1.001578E-30  1.002535E-30  2.221661E-30  1.354469E-27  1.003337E-30
     76  1.835303663832E-03  1.000000E-30  1.000209E-30  1.000364E-30  1.001630E-30  1.002616E-30  2.339973E-30  1.397562E-27  1.003475E-30
     77  1.892344396716E-03  1.000000E-30  1.000216E-30  1.000375E-30  1.001681E-30  1.002698E-30  2.466436E-30  1.440922E-27  1.003615E-30
     78  1.949739812628E-03  1.000000E-30  1.000222E-30  1.000387E-30  1.001733E-30  1.002780E-30  2.601406E-30  1.484550E-27  1.003758E-30
     79  2.007489276907E-03  1.000000E-30  1.000229E-30  1.000399E-30  1.001785E-30  1.002863E-30  2.745243E-30  1.528443E-27  1.003904E-30
     80  2.065592139419E-03  1.000000E-30  1.000236E-30  1.000410E-30  1.001838E-30  1.002946E-30  2.898320E-30  1.572603E-27  1.004053E-30
     81  2.124047755162E-03  1.000000E-30  1.000242E-30  1.000422E-30  1.001891E-30  1.003030E-30  3.061012E-30  1.617028E-27  1.004205E-30
     82  2.182855495215E-03  1.000000E-30  1.000249E-30  1.000434E-30  1.001944E-30  1.003115E-30  3.233707E-30  1.661717E-27  1.004360E-30
     83  2.242014752368E-03  1.000000E-30  1.000256E-30  1.000446E-30  1.001998E-30  1.003200E-30  3.416797E-30  1.706671E-27  1.004518E-30
     84  2.301524943777E-03  1.000000E-30  1.000263E-30  1.000458E-30  1.002052E-30  1.003286E-30  3.610683E-30  1.751889E-27  1.004678E-30
     85  2.361385511936E-03  1.000000E-30  1.000270E-30  1.000471E-30  1.002106E-30  1.003372E-30  3.815777E-30  1.797370E-27  1.004842E-30
     86  2.421595924701E-03  1.000000E-30  1.000277E-30  1.000483E-30  1.002161E-30  1.003458E-30  4.032494E-30  1.843114E-27  1.005009E-30
     87  2.482155674804E-03  1.000000E-30  1.000284E-30  1.000495E-30  1.002216E-30  1.003546E-30  4.261261E-30  1.889120E-27  1.005179E-30
     88  2.543064279071E-03  1.000000E-30  1.000291E-30  1.000508E-30  1.002272E-30  1.003633E-30  4.502513E-30  1.935388E-27  1.005353E-30
     89  2.604321277494E-03  1.000000E-30  1.000298E-30  1.000520E-30  1.002328E-30  1.003722E-30  4.756691E-30  1.981918E-27  1.005529E-30
     90  2.665926232237E-03  1.000000E-30  1.000306E-30  1.000533E-30  1.002384E-30  1.003811E-30  5.024246E-30  2.028708E-27  1.005709E-30
     91  2.727878734382E-03  1.000000E-30  1.000313E-30  1.000546E-30  1.002440E-30  1.003900E-30  5.305637E-30  2.075760E-27  1.005892E-30
     92  2.790178404165E-03  1.000000E-30  1.000320E-30  1.000559E-30  1.002498E-30  1.003990E-30  5.601332E-30  2.123072E-27  1.006078E-30
     93  2.852824875480E-03  1.000000E-30  1.000328E-30  1.000572E-30  1.002555E-30  1.004080E-30  5.911807E-30  2.170645E-27  1.006268E-30
     94  2.915817796872E-03  1.000000E-30  1.000335E-30  1.000585E-30  1.002613E-30  1.004171E-30  6.237546E-30  2.218477E-27  1.006461E-30
     95  2.979156831833E-03  1.000000E-30  1.000342E-30  1.000598E-30  1.002671E-30  1.004263E-30  6.579043E-30  2.266569E-27  1.006657E-30
