 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                cd116         cd117         cd118         cd119         cd120         cd121         cd122         cd123
     27  8.489118412102E-05  1.000000E-30  1.000001E-30  1.000016E-30  1.000028E-30  1.000047E-30  1.000070E-30  1.022296E-30  1.000168E-30
     28  9.570255892797E-05  1.000000E-30  1.000001E-30  1.000018E-30  1.000031E-30  1.000053E-30  1.000079E-30  1.028322E-30  1.000190E-30
     29  1.070853065563E-04  1.000000E-30  1.000001E-30  1.000020E-30  1.000035E-30  1.000059E-30  1.000088E-30  1.035444E-30  1.000212E-30
     30  1.190882425669E-04  1.000001E-30  1.000001E-30  1.000022E-30  1.000039E-30  1.000065E-30  1.000098E-30  1.043819E-30  1.000236E-30
     31  1.366291075688E-04  1.000001E-30  1.000001E-30  1.000025E-30  1.000045E-30  1.000075E-30  1.000113E-30  1.057653E-30  1.000271E-30
     32  1.695708820900E-04  1.000001E-30  1.000002E-30  1.000031E-30  1.000055E-30  1.000093E-30  1.000140E-30  1.088752E-30  1.000336E-30
     33  1.992873377730E-04  1.000001E-30  1.000002E-30  1.000037E-30  1.000065E-30  1.000110E-30  1.000165E-30  1.122537E-30  1.000395E-30
     34  2.264248739983E-04  1.000001E-30  1.000002E-30  1.000042E-30  1.000074E-30  1.000125E-30  1.000187E-30  1.158138E-30  1.000448E-30
     35  2.515933231106E-04  1.000001E-30  1.000002E-30  1.000046E-30  1.000082E-30  1.000138E-30  1.000208E-30  1.195209E-30  1.000498E-30
     36  2.753099894686E-04  1.000001E-30  1.000003E-30  1.000051E-30  1.000090E-30  1.000151E-30  1.000227E-30  1.233710E-30  1.000545E-30
     37  2.979926919870E-04  1.000001E-30  1.000003E-30  1.000055E-30  1.000097E-30  1.000164E-30  1.000246E-30  1.273772E-30  1.000590E-30
     38  3.199702121451E-04  1.000001E-30  1.000003E-30  1.000059E-30  1.000104E-30  1.000176E-30  1.000264E-30  1.315613E-30  1.000634E-30
     39  3.524429751724E-04  1.000002E-30  1.000003E-30  1.000065E-30  1.000115E-30  1.000194E-30  1.000291E-30  1.382871E-30  1.000698E-30
     40  3.836809895565E-04  1.000002E-30  1.000004E-30  1.000071E-30  1.000125E-30  1.000211E-30  1.000317E-30  1.453695E-30  1.000760E-30
     41  4.138876583201E-04  1.000002E-30  1.000004E-30  1.000076E-30  1.000135E-30  1.000228E-30  1.000342E-30  1.527892E-30  1.000820E-30
     42  4.432651277490E-04  1.000002E-30  1.000004E-30  1.000082E-30  1.000144E-30  1.000244E-30  1.000366E-30  1.605438E-30  1.000878E-30
     43  4.720041568584E-04  1.000002E-30  1.000004E-30  1.000087E-30  1.000154E-30  1.000260E-30  1.000390E-30  1.686438E-30  1.000935E-30
     44  5.002792532552E-04  1.000002E-30  1.000005E-30  1.000092E-30  1.000163E-30  1.000275E-30  1.000413E-30  1.771090E-30  1.000991E-30
     45  5.282472522620E-04  1.000002E-30  1.000005E-30  1.000097E-30  1.000172E-30  1.000291E-30  1.000436E-30  1.859664E-30  1.001046E-30
     46  5.560479783168E-04  1.000002E-30  1.000005E-30  1.000102E-30  1.000181E-30  1.000306E-30  1.000459E-30  1.952477E-30  1.001101E-30
     47  5.838060709037E-04  1.000003E-30  1.000006E-30  1.000107E-30  1.000190E-30  1.000321E-30  1.000482E-30  2.049893E-30  1.001156E-30
     48  6.116334118686E-04  1.000003E-30  1.000006E-30  1.000113E-30  1.000199E-30  1.000336E-30  1.000505E-30  2.152311E-30  1.001211E-30
     49  6.396318340541E-04  1.000003E-30  1.000006E-30  1.000118E-30  1.000208E-30  1.000352E-30  1.000528E-30  2.260168E-30  1.001267E-30
     50  6.678959636874E-04  1.000003E-30  1.000006E-30  1.000123E-30  1.000218E-30  1.000367E-30  1.000552E-30  2.373939E-30  1.001323E-30
     51  6.965161747902E-04  1.000003E-30  1.000007E-30  1.000128E-30  1.000227E-30  1.000383E-30  1.000575E-30  2.494152E-30  1.001379E-30
     52  7.255817382538E-04  1.000003E-30  1.000007E-30  1.000134E-30  1.000236E-30  1.000399E-30  1.000599E-30  2.621394E-30  1.001437E-30
     53  7.551843574001E-04  1.000003E-30  1.000007E-30  1.000139E-30  1.000246E-30  1.000415E-30  1.000624E-30  2.756328E-30  1.001495E-30
     54  7.854224313090E-04  1.000003E-30  1.000007E-30  1.000145E-30  1.000256E-30  1.000432E-30  1.000649E-30  2.899723E-30  1.001555E-30
     55  8.164066374138E-04  1.000004E-30  1.000008E-30  1.000150E-30  1.000266E-30  1.000449E-30  1.000674E-30  3.052491E-30  1.001617E-30
     56  8.482679080764E-04  1.000004E-30  1.000008E-30  1.000156E-30  1.000276E-30  1.000467E-30  1.000701E-30  3.215741E-30  1.001680E-30
     57  8.811699017317E-04  1.000004E-30  1.000008E-30  1.000162E-30  1.000287E-30  1.000485E-30  1.000728E-30  3.390875E-30  1.001745E-30
     58  9.153304977871E-04  1.000004E-30  1.000009E-30  1.000169E-30  1.000298E-30  1.000504E-30  1.000756E-30  3.579752E-30  1.001812E-30
     59  9.510634923056E-04  1.000004E-30  1.000009E-30  1.000175E-30  1.000310E-30  1.000523E-30  1.000786E-30  3.785002E-30  1.001883E-30
     60  9.888739022907E-04  1.000004E-30  1.000009E-30  1.000182E-30  1.000322E-30  1.000544E-30  1.000817E-30  4.010731E-30  1.001958E-30
     61  1.029744313280E-03  1.000004E-30  1.000010E-30  1.000190E-30  1.000336E-30  1.000566E-30  1.000851E-30  4.264614E-30  1.002039E-30
     62  1.076805333108E-03  1.000005E-30  1.000010E-30  1.000198E-30  1.000351E-30  1.000592E-30  1.000889E-30  4.569671E-30  1.002132E-30
     63  1.127478238084E-03  1.000005E-30  1.000011E-30  1.000208E-30  1.000367E-30  1.000620E-30  1.000931E-30  4.913359E-30  1.002232E-30
     64  1.179263354774E-03  1.000005E-30  1.000011E-30  1.000217E-30  1.000384E-30  1.000649E-30  1.000974E-30  5.280889E-30  1.002335E-30
     65  1.231720185468E-03  1.000005E-30  1.000012E-30  1.000227E-30  1.000401E-30  1.000678E-30  1.001017E-30  5.669983E-30  1.002439E-30
     66  1.284679788904E-03  1.000006E-30  1.000012E-30  1.000237E-30  1.000419E-30  1.000707E-30  1.001061E-30  6.079953E-30  1.002544E-30
     67  1.338068714676E-03  1.000006E-30  1.000013E-30  1.000246E-30  1.000436E-30  1.000736E-30  1.001105E-30  6.510685E-30  1.002649E-30
     68  1.391852718980E-03  1.000006E-30  1.000013E-30  1.000256E-30  1.000454E-30  1.000766E-30  1.001150E-30  6.962305E-30  1.002756E-30
     69  1.446014888479E-03  1.000006E-30  1.000014E-30  1.000266E-30  1.000471E-30  1.000796E-30  1.001194E-30  7.435054E-30  1.002863E-30
     70  1.500546342624E-03  1.000006E-30  1.000014E-30  1.000276E-30  1.000489E-30  1.000826E-30  1.001239E-30  7.929226E-30  1.002971E-30
     71  1.555442065896E-03  1.000007E-30  1.000015E-30  1.000286E-30  1.000507E-30  1.000856E-30  1.001285E-30  8.445143E-30  1.003080E-30
     72  1.610698967280E-03  1.000007E-30  1.000015E-30  1.000297E-30  1.000525E-30  1.000886E-30  1.001330E-30  8.983141E-30  1.003189E-30
     73  1.666314948699E-03  1.000007E-30  1.000016E-30  1.000307E-30  1.000543E-30  1.000917E-30  1.001376E-30  9.543566E-30  1.003299E-30
     74  1.722288445659E-03  1.000007E-30  1.000016E-30  1.000317E-30  1.000561E-30  1.000948E-30  1.001423E-30  1.012677E-29  1.003410E-30
     75  1.778618195039E-03  1.000008E-30  1.000017E-30  1.000328E-30  1.000580E-30  1.000979E-30  1.001469E-30  1.073310E-29  1.003521E-30
     76  1.835303663832E-03  1.000008E-30  1.000017E-30  1.000338E-30  1.000598E-30  1.001010E-30  1.001516E-30  1.136292E-29  1.003634E-30
     77  1.892344396716E-03  1.000008E-30  1.000018E-30  1.000348E-30  1.000617E-30  1.001041E-30  1.001563E-30  1.201660E-29  1.003746E-30
     78  1.949739812628E-03  1.000008E-30  1.000018E-30  1.000359E-30  1.000635E-30  1.001073E-30  1.001611E-30  1.269450E-29  1.003860E-30
     79  2.007489276907E-03  1.000009E-30  1.000019E-30  1.000370E-30  1.000654E-30  1.001105E-30  1.001658E-30  1.339699E-29  1.003974E-30
     80  2.065592139419E-03  1.000009E-30  1.000020E-30  1.000380E-30  1.000673E-30  1.001137E-30  1.001706E-30  1.412443E-29  1.004089E-30
     81  2.124047755162E-03  1.000009E-30  1.000020E-30  1.000391E-30  1.000692E-30  1.001169E-30  1.001754E-30  1.487719E-29  1.004205E-30
     82  2.182855495215E-03  1.000009E-30  1.000021E-30  1.000402E-30  1.000711E-30  1.001201E-30  1.001803E-30  1.565565E-29  1.004321E-30
     83  2.242014752368E-03  1.000010E-30  1.000021E-30  1.000413E-30  1.000731E-30  1.001234E-30  1.001852E-30  1.646017E-29  1.004438E-30
     84  2.301524943777E-03  1.000010E-30  1.000022E-30  1.000424E-30  1.000750E-30  1.001267E-30  1.001901E-30  1.729113E-29  1.004556E-30
     85  2.361385511936E-03  1.000010E-30  1.000022E-30  1.000435E-30  1.000770E-30  1.001300E-30  1.001951E-30  1.814889E-29  1.004675E-30
     86  2.421595924701E-03  1.000010E-30  1.000023E-30  1.000446E-30  1.000789E-30  1.001333E-30  1.002000E-30  1.903385E-29  1.004794E-30
     87  2.482155674804E-03  1.000011E-30  1.000023E-30  1.000457E-30  1.000809E-30  1.001366E-30  1.002050E-30  1.994638E-29  1.004914E-30
     88  2.543064279071E-03  1.000011E-30  1.000024E-30  1.000468E-30  1.000829E-30  1.001400E-30  1.002101E-30  2.088685E-29  1.005034E-30
     89  2.604321277494E-03  1.000011E-30  1.000025E-30  1.000480E-30  1.000849E-30  1.001434E-30  1.002151E-30  2.185565E-29  1.005155E-30
     90  2.665926232237E-03  1.000012E-30  1.000025E-30  1.000491E-30  1.000869E-30  1.001468E-30  1.002202E-30  2.285317E-29  1.005277E-30
     91  2.727878734382E-03  1.000012E-30  1.000026E-30  1.000502E-30  1.000889E-30  1.001502E-30  1.002253E-30  2.387978E-29  1.005400E-30
     92  2.790178404165E-03  1.000012E-30  1.000026E-30  1.000514E-30  1.000910E-30  1.001536E-30  1.002305E-30  2.493589E-29  1.005523E-30
     93  2.852824875480E-03  1.000012E-30  1.000027E-30  1.000525E-30  1.000930E-30  1.001571E-30  1.002356E-30  2.602187E-29  1.005647E-30
     94  2.915817796872E-03  1.000013E-30  1.000028E-30  1.000537E-30  1.000950E-30  1.001605E-30  1.002408E-30  2.713813E-29  1.005772E-30
     95  2.979156831833E-03  1.000013E-30  1.000028E-30  1.000549E-30  1.000971E-30  1.001640E-30  1.002461E-30  2.828504E-29  1.005897E-30
