 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                po224         po225         po226         po227         po228         po229         po230         po231
     27  8.489118412102E-05  1.000014E-30  1.000036E-30  1.000085E-30  1.000056E-30  1.000115E-30  1.000113E-30  1.000172E-30  1.000204E-30
     28  9.570255892797E-05  1.000016E-30  1.000041E-30  1.000096E-30  1.000063E-30  1.000130E-30  1.000127E-30  1.000193E-30  1.000230E-30
     29  1.070853065563E-04  1.000018E-30  1.000046E-30  1.000107E-30  1.000071E-30  1.000145E-30  1.000142E-30  1.000217E-30  1.000257E-30
     30  1.190882425669E-04  1.000020E-30  1.000051E-30  1.000119E-30  1.000079E-30  1.000162E-30  1.000158E-30  1.000241E-30  1.000286E-30
     31  1.366291075688E-04  1.000023E-30  1.000059E-30  1.000137E-30  1.000090E-30  1.000186E-30  1.000182E-30  1.000276E-30  1.000328E-30
     32  1.695708820900E-04  1.000029E-30  1.000073E-30  1.000170E-30  1.000112E-30  1.000230E-30  1.000226E-30  1.000343E-30  1.000407E-30
     33  1.992873377730E-04  1.000034E-30  1.000086E-30  1.000200E-30  1.000132E-30  1.000271E-30  1.000265E-30  1.000403E-30  1.000478E-30
     34  2.264248739983E-04  1.000039E-30  1.000097E-30  1.000227E-30  1.000150E-30  1.000308E-30  1.000301E-30  1.000458E-30  1.000544E-30
     35  2.515933231106E-04  1.000043E-30  1.000108E-30  1.000252E-30  1.000166E-30  1.000342E-30  1.000335E-30  1.000509E-30  1.000604E-30
     36  2.753099894686E-04  1.000047E-30  1.000118E-30  1.000276E-30  1.000182E-30  1.000374E-30  1.000366E-30  1.000557E-30  1.000661E-30
     37  2.979926919870E-04  1.000051E-30  1.000128E-30  1.000299E-30  1.000197E-30  1.000405E-30  1.000397E-30  1.000603E-30  1.000716E-30
     38  3.199702121451E-04  1.000055E-30  1.000138E-30  1.000321E-30  1.000212E-30  1.000435E-30  1.000426E-30  1.000647E-30  1.000769E-30
     39  3.524429751724E-04  1.000060E-30  1.000152E-30  1.000353E-30  1.000233E-30  1.000479E-30  1.000469E-30  1.000713E-30  1.000847E-30
     40  3.836809895565E-04  1.000065E-30  1.000165E-30  1.000385E-30  1.000254E-30  1.000521E-30  1.000511E-30  1.000776E-30  1.000922E-30
     41  4.138876583201E-04  1.000071E-30  1.000178E-30  1.000415E-30  1.000274E-30  1.000562E-30  1.000551E-30  1.000837E-30  1.000994E-30
     42  4.432651277490E-04  1.000076E-30  1.000191E-30  1.000444E-30  1.000293E-30  1.000602E-30  1.000590E-30  1.000897E-30  1.001065E-30
     43  4.720041568584E-04  1.000080E-30  1.000203E-30  1.000473E-30  1.000312E-30  1.000641E-30  1.000628E-30  1.000955E-30  1.001134E-30
     44  5.002792532552E-04  1.000085E-30  1.000215E-30  1.000502E-30  1.000331E-30  1.000680E-30  1.000666E-30  1.001012E-30  1.001202E-30
     45  5.282472522620E-04  1.000090E-30  1.000227E-30  1.000530E-30  1.000349E-30  1.000718E-30  1.000703E-30  1.001069E-30  1.001269E-30
     46  5.560479783168E-04  1.000095E-30  1.000239E-30  1.000558E-30  1.000368E-30  1.000756E-30  1.000740E-30  1.001125E-30  1.001336E-30
     47  5.838060709037E-04  1.000099E-30  1.000251E-30  1.000585E-30  1.000386E-30  1.000793E-30  1.000777E-30  1.001181E-30  1.001403E-30
     48  6.116334118686E-04  1.000104E-30  1.000263E-30  1.000613E-30  1.000405E-30  1.000831E-30  1.000814E-30  1.001237E-30  1.001470E-30
     49  6.396318340541E-04  1.000109E-30  1.000275E-30  1.000641E-30  1.000423E-30  1.000869E-30  1.000851E-30  1.001294E-30  1.001538E-30
     50  6.678959636874E-04  1.000114E-30  1.000287E-30  1.000670E-30  1.000442E-30  1.000908E-30  1.000889E-30  1.001351E-30  1.001606E-30
     51  6.965161747902E-04  1.000119E-30  1.000300E-30  1.000699E-30  1.000461E-30  1.000947E-30  1.000927E-30  1.001409E-30  1.001675E-30
     52  7.255817382538E-04  1.000124E-30  1.000312E-30  1.000728E-30  1.000480E-30  1.000986E-30  1.000966E-30  1.001468E-30  1.001745E-30
     53  7.551843574001E-04  1.000129E-30  1.000325E-30  1.000757E-30  1.000500E-30  1.001027E-30  1.001005E-30  1.001528E-30  1.001816E-30
     54  7.854224313090E-04  1.000134E-30  1.000338E-30  1.000788E-30  1.000520E-30  1.001068E-30  1.001046E-30  1.001589E-30  1.001889E-30
     55  8.164066374138E-04  1.000139E-30  1.000351E-30  1.000819E-30  1.000540E-30  1.001110E-30  1.001087E-30  1.001652E-30  1.001964E-30
     56  8.482679080764E-04  1.000145E-30  1.000365E-30  1.000851E-30  1.000561E-30  1.001153E-30  1.001130E-30  1.001717E-30  1.002040E-30
     57  8.811699017317E-04  1.000150E-30  1.000379E-30  1.000884E-30  1.000583E-30  1.001198E-30  1.001173E-30  1.001783E-30  1.002120E-30
     58  9.153304977871E-04  1.000156E-30  1.000394E-30  1.000918E-30  1.000606E-30  1.001244E-30  1.001219E-30  1.001852E-30  1.002202E-30
     59  9.510634923056E-04  1.000162E-30  1.000409E-30  1.000954E-30  1.000629E-30  1.001293E-30  1.001267E-30  1.001925E-30  1.002288E-30
     60  9.888739022907E-04  1.000169E-30  1.000425E-30  1.000992E-30  1.000654E-30  1.001344E-30  1.001317E-30  1.002001E-30  1.002379E-30
     61  1.029744313280E-03  1.000176E-30  1.000443E-30  1.001033E-30  1.000681E-30  1.001400E-30  1.001371E-30  1.002084E-30  1.002478E-30
     62  1.076805333108E-03  1.000184E-30  1.000463E-30  1.001080E-30  1.000713E-30  1.001464E-30  1.001434E-30  1.002180E-30  1.002592E-30
     63  1.127478238084E-03  1.000192E-30  1.000485E-30  1.001131E-30  1.000746E-30  1.001533E-30  1.001502E-30  1.002282E-30  1.002714E-30
     64  1.179263354774E-03  1.000201E-30  1.000507E-30  1.001183E-30  1.000781E-30  1.001603E-30  1.001571E-30  1.002387E-30  1.002839E-30
     65  1.231720185468E-03  1.000210E-30  1.000530E-30  1.001235E-30  1.000815E-30  1.001675E-30  1.001641E-30  1.002494E-30  1.002966E-30
     66  1.284679788904E-03  1.000219E-30  1.000553E-30  1.001289E-30  1.000850E-30  1.001747E-30  1.001712E-30  1.002601E-30  1.003094E-30
     67  1.338068714676E-03  1.000228E-30  1.000576E-30  1.001342E-30  1.000886E-30  1.001820E-30  1.001783E-30  1.002709E-30  1.003223E-30
     68  1.391852718980E-03  1.000237E-30  1.000599E-30  1.001396E-30  1.000921E-30  1.001893E-30  1.001855E-30  1.002818E-30  1.003353E-30
     69  1.446014888479E-03  1.000247E-30  1.000622E-30  1.001451E-30  1.000957E-30  1.001967E-30  1.001927E-30  1.002928E-30  1.003484E-30
     70  1.500546342624E-03  1.000256E-30  1.000646E-30  1.001505E-30  1.000993E-30  1.002041E-30  1.002000E-30  1.003039E-30  1.003616E-30
     71  1.555442065896E-03  1.000265E-30  1.000670E-30  1.001560E-30  1.001030E-30  1.002116E-30  1.002073E-30  1.003150E-30  1.003749E-30
     72  1.610698967280E-03  1.000275E-30  1.000693E-30  1.001616E-30  1.001067E-30  1.002191E-30  1.002147E-30  1.003262E-30  1.003882E-30
     73  1.666314948699E-03  1.000284E-30  1.000717E-30  1.001672E-30  1.001103E-30  1.002267E-30  1.002221E-30  1.003375E-30  1.004017E-30
     74  1.722288445659E-03  1.000294E-30  1.000741E-30  1.001728E-30  1.001141E-30  1.002343E-30  1.002296E-30  1.003489E-30  1.004153E-30
     75  1.778618195039E-03  1.000303E-30  1.000766E-30  1.001784E-30  1.001178E-30  1.002420E-30  1.002371E-30  1.003603E-30  1.004289E-30
     76  1.835303663832E-03  1.000313E-30  1.000790E-30  1.001841E-30  1.001216E-30  1.002497E-30  1.002447E-30  1.003718E-30  1.004426E-30
     77  1.892344396716E-03  1.000323E-30  1.000815E-30  1.001899E-30  1.001253E-30  1.002574E-30  1.002523E-30  1.003834E-30  1.004565E-30
     78  1.949739812628E-03  1.000332E-30  1.000840E-30  1.001956E-30  1.001291E-30  1.002653E-30  1.002600E-30  1.003951E-30  1.004704E-30
     79  2.007489276907E-03  1.000342E-30  1.000864E-30  1.002014E-30  1.001330E-30  1.002731E-30  1.002677E-30  1.004068E-30  1.004844E-30
     80  2.065592139419E-03  1.000352E-30  1.000890E-30  1.002072E-30  1.001368E-30  1.002810E-30  1.002754E-30  1.004186E-30  1.004985E-30
     81  2.124047755162E-03  1.000362E-30  1.000915E-30  1.002131E-30  1.001407E-30  1.002890E-30  1.002833E-30  1.004305E-30  1.005127E-30
     82  2.182855495215E-03  1.000372E-30  1.000940E-30  1.002190E-30  1.001446E-30  1.002970E-30  1.002911E-30  1.004424E-30  1.005270E-30
     83  2.242014752368E-03  1.000382E-30  1.000966E-30  1.002250E-30  1.001485E-30  1.003051E-30  1.002990E-30  1.004544E-30  1.005413E-30
     84  2.301524943777E-03  1.000393E-30  1.000991E-30  1.002309E-30  1.001525E-30  1.003132E-30  1.003070E-30  1.004665E-30  1.005558E-30
     85  2.361385511936E-03  1.000403E-30  1.001017E-30  1.002369E-30  1.001565E-30  1.003214E-30  1.003150E-30  1.004787E-30  1.005703E-30
     86  2.421595924701E-03  1.000413E-30  1.001043E-30  1.002430E-30  1.001605E-30  1.003296E-30  1.003231E-30  1.004910E-30  1.005850E-30
     87  2.482155674804E-03  1.000423E-30  1.001069E-30  1.002491E-30  1.001645E-30  1.003378E-30  1.003312E-30  1.005033E-30  1.005997E-30
     88  2.543064279071E-03  1.000434E-30  1.001096E-30  1.002552E-30  1.001685E-30  1.003461E-30  1.003393E-30  1.005157E-30  1.006145E-30
     89  2.604321277494E-03  1.000444E-30  1.001122E-30  1.002613E-30  1.001726E-30  1.003545E-30  1.003475E-30  1.005281E-30  1.006294E-30
     90  2.665926232237E-03  1.000455E-30  1.001149E-30  1.002675E-30  1.001767E-30  1.003629E-30  1.003558E-30  1.005407E-30  1.006444E-30
     91  2.727878734382E-03  1.000465E-30  1.001175E-30  1.002738E-30  1.001808E-30  1.003713E-30  1.003641E-30  1.005533E-30  1.006595E-30
     92  2.790178404165E-03  1.000476E-30  1.001202E-30  1.002800E-30  1.001850E-30  1.003798E-30  1.003724E-30  1.005659E-30  1.006747E-30
     93  2.852824875480E-03  1.000487E-30  1.001229E-30  1.002863E-30  1.001891E-30  1.003884E-30  1.003808E-30  1.005787E-30  1.006900E-30
     94  2.915817796872E-03  1.000497E-30  1.001257E-30  1.002926E-30  1.001933E-30  1.003970E-30  1.003892E-30  1.005915E-30  1.007053E-30
