 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                pt231         pt232         au178         au179         au180         au181         au182         au183
     27  8.489118412102E-05  1.000000E-30  1.000000E-30  1.000052E-30  1.000012E-30  1.000005E-30  1.000008E-30  1.000001E-30  1.000004E-30
     28  9.570255892797E-05  1.000000E-30  1.000000E-30  1.000059E-30  1.000013E-30  1.000005E-30  1.000009E-30  1.000001E-30  1.000005E-30
     29  1.070853065563E-04  1.000000E-30  1.000000E-30  1.000066E-30  1.000015E-30  1.000006E-30  1.000010E-30  1.000001E-30  1.000005E-30
     30  1.190882425669E-04  1.000000E-30  1.000000E-30  1.000073E-30  1.000016E-30  1.000007E-30  1.000011E-30  1.000001E-30  1.000006E-30
     31  1.366291075688E-04  1.000000E-30  1.000000E-30  1.000084E-30  1.000019E-30  1.000008E-30  1.000012E-30  1.000001E-30  1.000007E-30
     32  1.695708820900E-04  1.000000E-30  1.000000E-30  1.000104E-30  1.000023E-30  1.000009E-30  1.000015E-30  1.000002E-30  1.000008E-30
     33  1.992873377730E-04  1.000000E-30  1.000000E-30  1.000122E-30  1.000027E-30  1.000011E-30  1.000018E-30  1.000002E-30  1.000010E-30
     34  2.264248739983E-04  1.000000E-30  1.000000E-30  1.000139E-30  1.000031E-30  1.000013E-30  1.000021E-30  1.000002E-30  1.000011E-30
     35  2.515933231106E-04  1.000000E-30  1.000000E-30  1.000154E-30  1.000035E-30  1.000014E-30  1.000023E-30  1.000002E-30  1.000012E-30
     36  2.753099894686E-04  1.000000E-30  1.000000E-30  1.000169E-30  1.000038E-30  1.000015E-30  1.000025E-30  1.000003E-30  1.000013E-30
     37  2.979926919870E-04  1.000000E-30  1.000000E-30  1.000183E-30  1.000041E-30  1.000017E-30  1.000027E-30  1.000003E-30  1.000015E-30
     38  3.199702121451E-04  1.000000E-30  1.000000E-30  1.000196E-30  1.000044E-30  1.000018E-30  1.000029E-30  1.000003E-30  1.000016E-30
     39  3.524429751724E-04  1.000000E-30  1.000000E-30  1.000216E-30  1.000049E-30  1.000020E-30  1.000032E-30  1.000003E-30  1.000017E-30
     40  3.836809895565E-04  1.000000E-30  1.000000E-30  1.000235E-30  1.000053E-30  1.000021E-30  1.000035E-30  1.000004E-30  1.000019E-30
     41  4.138876583201E-04  1.000000E-30  1.000000E-30  1.000254E-30  1.000057E-30  1.000023E-30  1.000038E-30  1.000004E-30  1.000020E-30
     42  4.432651277490E-04  1.000000E-30  1.000000E-30  1.000272E-30  1.000061E-30  1.000025E-30  1.000040E-30  1.000004E-30  1.000022E-30
     43  4.720041568584E-04  1.000000E-30  1.000000E-30  1.000289E-30  1.000065E-30  1.000026E-30  1.000043E-30  1.000005E-30  1.000023E-30
     44  5.002792532552E-04  1.000000E-30  1.000000E-30  1.000307E-30  1.000069E-30  1.000028E-30  1.000046E-30  1.000005E-30  1.000025E-30
     45  5.282472522620E-04  1.000000E-30  1.000000E-30  1.000324E-30  1.000073E-30  1.000029E-30  1.000048E-30  1.000005E-30  1.000026E-30
     46  5.560479783168E-04  1.000000E-30  1.000000E-30  1.000341E-30  1.000077E-30  1.000031E-30  1.000051E-30  1.000006E-30  1.000027E-30
     47  5.838060709037E-04  1.000000E-30  1.000000E-30  1.000358E-30  1.000080E-30  1.000033E-30  1.000053E-30  1.000006E-30  1.000029E-30
     48  6.116334118686E-04  1.000000E-30  1.000000E-30  1.000375E-30  1.000084E-30  1.000034E-30  1.000056E-30  1.000006E-30  1.000030E-30
     49  6.396318340541E-04  1.000000E-30  1.000000E-30  1.000392E-30  1.000088E-30  1.000036E-30  1.000058E-30  1.000006E-30  1.000031E-30
     50  6.678959636874E-04  1.000000E-30  1.000000E-30  1.000409E-30  1.000092E-30  1.000037E-30  1.000061E-30  1.000007E-30  1.000033E-30
     51  6.965161747902E-04  1.000000E-30  1.000000E-30  1.000427E-30  1.000096E-30  1.000039E-30  1.000064E-30  1.000007E-30  1.000034E-30
     52  7.255817382538E-04  1.000000E-30  1.000000E-30  1.000445E-30  1.000100E-30  1.000040E-30  1.000066E-30  1.000007E-30  1.000036E-30
     53  7.551843574001E-04  1.000000E-30  1.000000E-30  1.000463E-30  1.000104E-30  1.000042E-30  1.000069E-30  1.000007E-30  1.000037E-30
     54  7.854224313090E-04  1.000000E-30  1.000000E-30  1.000481E-30  1.000108E-30  1.000044E-30  1.000072E-30  1.000008E-30  1.000038E-30
     55  8.164066374138E-04  1.000000E-30  1.000000E-30  1.000500E-30  1.000113E-30  1.000045E-30  1.000075E-30  1.000008E-30  1.000040E-30
     56  8.482679080764E-04  1.000000E-30  1.000000E-30  1.000520E-30  1.000117E-30  1.000047E-30  1.000077E-30  1.000008E-30  1.000042E-30
     57  8.811699017317E-04  1.000000E-30  1.000000E-30  1.000540E-30  1.000121E-30  1.000049E-30  1.000080E-30  1.000009E-30  1.000043E-30
     58  9.153304977871E-04  1.000000E-30  1.000000E-30  1.000561E-30  1.000126E-30  1.000051E-30  1.000084E-30  1.000009E-30  1.000045E-30
     59  9.510634923056E-04  1.000000E-30  1.000000E-30  1.000583E-30  1.000131E-30  1.000053E-30  1.000087E-30  1.000009E-30  1.000047E-30
     60  9.888739022907E-04  1.000000E-30  1.000000E-30  1.000606E-30  1.000136E-30  1.000055E-30  1.000090E-30  1.000010E-30  1.000048E-30
     61  1.029744313280E-03  1.000000E-30  1.000000E-30  1.000631E-30  1.000142E-30  1.000057E-30  1.000094E-30  1.000010E-30  1.000050E-30
     62  1.076805333108E-03  1.000000E-30  1.000000E-30  1.000660E-30  1.000148E-30  1.000060E-30  1.000098E-30  1.000011E-30  1.000053E-30
     63  1.127478238084E-03  1.000000E-30  1.000000E-30  1.000691E-30  1.000155E-30  1.000063E-30  1.000103E-30  1.000011E-30  1.000055E-30
     64  1.179263354774E-03  1.000000E-30  1.000000E-30  1.000723E-30  1.000163E-30  1.000066E-30  1.000108E-30  1.000012E-30  1.000058E-30
     65  1.231720185468E-03  1.000000E-30  1.000000E-30  1.000755E-30  1.000170E-30  1.000069E-30  1.000112E-30  1.000012E-30  1.000060E-30
     66  1.284679788904E-03  1.000000E-30  1.000000E-30  1.000788E-30  1.000177E-30  1.000072E-30  1.000117E-30  1.000013E-30  1.000063E-30
     67  1.338068714676E-03  1.000000E-30  1.000000E-30  1.000820E-30  1.000184E-30  1.000074E-30  1.000122E-30  1.000013E-30  1.000066E-30
     68  1.391852718980E-03  1.000000E-30  1.000000E-30  1.000853E-30  1.000192E-30  1.000077E-30  1.000127E-30  1.000014E-30  1.000068E-30
     69  1.446014888479E-03  1.000000E-30  1.000000E-30  1.000886E-30  1.000199E-30  1.000080E-30  1.000132E-30  1.000014E-30  1.000071E-30
     70  1.500546342624E-03  1.000000E-30  1.000000E-30  1.000920E-30  1.000207E-30  1.000084E-30  1.000137E-30  1.000015E-30  1.000074E-30
     71  1.555442065896E-03  1.000000E-30  1.000000E-30  1.000953E-30  1.000214E-30  1.000087E-30  1.000142E-30  1.000015E-30  1.000076E-30
     72  1.610698967280E-03  1.000000E-30  1.000000E-30  1.000987E-30  1.000222E-30  1.000090E-30  1.000147E-30  1.000016E-30  1.000079E-30
     73  1.666314948699E-03  1.000000E-30  1.000000E-30  1.001021E-30  1.000230E-30  1.000093E-30  1.000152E-30  1.000017E-30  1.000082E-30
     74  1.722288445659E-03  1.000000E-30  1.000000E-30  1.001056E-30  1.000237E-30  1.000096E-30  1.000157E-30  1.000017E-30  1.000084E-30
     75  1.778618195039E-03  1.000000E-30  1.000000E-30  1.001090E-30  1.000245E-30  1.000099E-30  1.000162E-30  1.000018E-30  1.000087E-30
     76  1.835303663832E-03  1.000000E-30  1.000000E-30  1.001125E-30  1.000253E-30  1.000102E-30  1.000168E-30  1.000018E-30  1.000090E-30
     77  1.892344396716E-03  1.000000E-30  1.000000E-30  1.001160E-30  1.000261E-30  1.000105E-30  1.000173E-30  1.000019E-30  1.000093E-30
     78  1.949739812628E-03  1.000000E-30  1.000000E-30  1.001195E-30  1.000269E-30  1.000109E-30  1.000178E-30  1.000019E-30  1.000096E-30
     79  2.007489276907E-03  1.000000E-30  1.000000E-30  1.001231E-30  1.000277E-30  1.000112E-30  1.000183E-30  1.000020E-30  1.000098E-30
     80  2.065592139419E-03  1.000000E-30  1.000000E-30  1.001266E-30  1.000285E-30  1.000115E-30  1.000189E-30  1.000020E-30  1.000101E-30
     81  2.124047755162E-03  1.000000E-30  1.000000E-30  1.001302E-30  1.000293E-30  1.000118E-30  1.000194E-30  1.000021E-30  1.000104E-30
     82  2.182855495215E-03  1.000000E-30  1.000000E-30  1.001338E-30  1.000301E-30  1.000122E-30  1.000199E-30  1.000022E-30  1.000107E-30
     83  2.242014752368E-03  1.000000E-30  1.000000E-30  1.001374E-30  1.000309E-30  1.000125E-30  1.000205E-30  1.000022E-30  1.000110E-30
     84  2.301524943777E-03  1.000000E-30  1.000000E-30  1.001411E-30  1.000317E-30  1.000128E-30  1.000210E-30  1.000023E-30  1.000113E-30
     85  2.361385511936E-03  1.000000E-30  1.000000E-30  1.001447E-30  1.000325E-30  1.000131E-30  1.000216E-30  1.000023E-30  1.000116E-30
     86  2.421595924701E-03  1.000000E-30  1.000000E-30  1.001484E-30  1.000334E-30  1.000135E-30  1.000221E-30  1.000024E-30  1.000119E-30
     87  2.482155674804E-03  1.000000E-30  1.000000E-30  1.001521E-30  1.000342E-30  1.000138E-30  1.000227E-30  1.000025E-30  1.000122E-30
     88  2.543064279071E-03  1.000000E-30  1.000000E-30  1.001559E-30  1.000350E-30  1.000142E-30  1.000232E-30  1.000025E-30  1.000125E-30
     89  2.604321277494E-03  1.000000E-30  1.000000E-30  1.001596E-30  1.000359E-30  1.000145E-30  1.000238E-30  1.000026E-30  1.000128E-30
     90  2.665926232237E-03  1.000000E-30  1.000000E-30  1.001634E-30  1.000367E-30  1.000148E-30  1.000243E-30  1.000026E-30  1.000131E-30
     91  2.727878734382E-03  1.000000E-30  1.000000E-30  1.001672E-30  1.000376E-30  1.000152E-30  1.000249E-30  1.000027E-30  1.000134E-30
     92  2.790178404165E-03  1.000000E-30  1.000000E-30  1.001710E-30  1.000384E-30  1.000155E-30  1.000255E-30  1.000028E-30  1.000137E-30
     93  2.852824875480E-03  1.000000E-30  1.000000E-30  1.001749E-30  1.000393E-30  1.000159E-30  1.000261E-30  1.000028E-30  1.000140E-30
     94  2.915817796872E-03  1.000000E-30  1.000000E-30  1.001787E-30  1.000402E-30  1.000162E-30  1.000266E-30  1.000029E-30  1.000143E-30
