 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                pd132         ag93          ag94          ag95          ag96          ag97          ag98          ag99 
     27  8.489118412102E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.001119E-30  1.000058E-30  1.000019E-30  1.000005E-30  1.000003E-30
     28  9.570255892797E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.001262E-30  1.000065E-30  1.000021E-30  1.000006E-30  1.000004E-30
     29  1.070853065563E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.001412E-30  1.000073E-30  1.000024E-30  1.000007E-30  1.000004E-30
     30  1.190882425669E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.001570E-30  1.000081E-30  1.000026E-30  1.000007E-30  1.000004E-30
     31  1.366291075688E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.001801E-30  1.000093E-30  1.000030E-30  1.000008E-30  1.000005E-30
     32  1.695708820900E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.002235E-30  1.000116E-30  1.000037E-30  1.000010E-30  1.000006E-30
     33  1.992873377730E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.002627E-30  1.000136E-30  1.000044E-30  1.000012E-30  1.000008E-30
     34  2.264248739983E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.002985E-30  1.000155E-30  1.000050E-30  1.000014E-30  1.000009E-30
     35  2.515933231106E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.003317E-30  1.000172E-30  1.000056E-30  1.000015E-30  1.000009E-30
     36  2.753099894686E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.003629E-30  1.000188E-30  1.000061E-30  1.000017E-30  1.000010E-30
     37  2.979926919870E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.003928E-30  1.000203E-30  1.000066E-30  1.000018E-30  1.000011E-30
     38  3.199702121451E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.004218E-30  1.000218E-30  1.000071E-30  1.000019E-30  1.000012E-30
     39  3.524429751724E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.004646E-30  1.000241E-30  1.000078E-30  1.000021E-30  1.000013E-30
     40  3.836809895565E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.005058E-30  1.000262E-30  1.000085E-30  1.000023E-30  1.000014E-30
     41  4.138876583201E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.005456E-30  1.000283E-30  1.000091E-30  1.000025E-30  1.000016E-30
     42  4.432651277490E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.005843E-30  1.000303E-30  1.000098E-30  1.000027E-30  1.000017E-30
     43  4.720041568584E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.006222E-30  1.000322E-30  1.000104E-30  1.000029E-30  1.000018E-30
     44  5.002792532552E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.006595E-30  1.000341E-30  1.000111E-30  1.000030E-30  1.000019E-30
     45  5.282472522620E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.006963E-30  1.000361E-30  1.000117E-30  1.000032E-30  1.000020E-30
     46  5.560479783168E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.007330E-30  1.000380E-30  1.000123E-30  1.000034E-30  1.000021E-30
     47  5.838060709037E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.007695E-30  1.000398E-30  1.000129E-30  1.000035E-30  1.000022E-30
     48  6.116334118686E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.008062E-30  1.000417E-30  1.000135E-30  1.000037E-30  1.000023E-30
     49  6.396318340541E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.008431E-30  1.000437E-30  1.000141E-30  1.000039E-30  1.000024E-30
     50  6.678959636874E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.008804E-30  1.000456E-30  1.000148E-30  1.000041E-30  1.000025E-30
     51  6.965161747902E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.009181E-30  1.000475E-30  1.000154E-30  1.000042E-30  1.000026E-30
     52  7.255817382538E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.009564E-30  1.000495E-30  1.000160E-30  1.000044E-30  1.000027E-30
     53  7.551843574001E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.009954E-30  1.000515E-30  1.000167E-30  1.000046E-30  1.000028E-30
     54  7.854224313090E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.010353E-30  1.000536E-30  1.000174E-30  1.000048E-30  1.000030E-30
     55  8.164066374138E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.010761E-30  1.000557E-30  1.000181E-30  1.000050E-30  1.000031E-30
     56  8.482679080764E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.011181E-30  1.000579E-30  1.000188E-30  1.000052E-30  1.000032E-30
     57  8.811699017317E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.011615E-30  1.000601E-30  1.000195E-30  1.000054E-30  1.000033E-30
     58  9.153304977871E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.012065E-30  1.000625E-30  1.000202E-30  1.000056E-30  1.000035E-30
     59  9.510634923056E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.012536E-30  1.000649E-30  1.000210E-30  1.000058E-30  1.000036E-30
     60  9.888739022907E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.013034E-30  1.000675E-30  1.000219E-30  1.000060E-30  1.000037E-30
     61  1.029744313280E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.013573E-30  1.000703E-30  1.000228E-30  1.000063E-30  1.000039E-30
     62  1.076805333108E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.014193E-30  1.000735E-30  1.000238E-30  1.000065E-30  1.000041E-30
     63  1.127478238084E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.014861E-30  1.000770E-30  1.000250E-30  1.000068E-30  1.000043E-30
     64  1.179263354774E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.015543E-30  1.000805E-30  1.000261E-30  1.000072E-30  1.000044E-30
     65  1.231720185468E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.016234E-30  1.000841E-30  1.000273E-30  1.000075E-30  1.000046E-30
     66  1.284679788904E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.016932E-30  1.000877E-30  1.000284E-30  1.000078E-30  1.000048E-30
     67  1.338068714676E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.017636E-30  1.000913E-30  1.000296E-30  1.000081E-30  1.000050E-30
     68  1.391852718980E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.018344E-30  1.000950E-30  1.000308E-30  1.000085E-30  1.000053E-30
     69  1.446014888479E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.019058E-30  1.000987E-30  1.000320E-30  1.000088E-30  1.000055E-30
     70  1.500546342624E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.019776E-30  1.001024E-30  1.000332E-30  1.000091E-30  1.000057E-30
     71  1.555442065896E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.020500E-30  1.001062E-30  1.000345E-30  1.000094E-30  1.000059E-30
     72  1.610698967280E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.021228E-30  1.001099E-30  1.000357E-30  1.000098E-30  1.000061E-30
     73  1.666314948699E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.021961E-30  1.001137E-30  1.000369E-30  1.000101E-30  1.000063E-30
     74  1.722288445659E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.022698E-30  1.001175E-30  1.000382E-30  1.000105E-30  1.000065E-30
     75  1.778618195039E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.023440E-30  1.001214E-30  1.000394E-30  1.000108E-30  1.000067E-30
     76  1.835303663832E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.024187E-30  1.001253E-30  1.000407E-30  1.000111E-30  1.000069E-30
     77  1.892344396716E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.024938E-30  1.001292E-30  1.000419E-30  1.000115E-30  1.000071E-30
     78  1.949739812628E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.025695E-30  1.001331E-30  1.000432E-30  1.000118E-30  1.000074E-30
     79  2.007489276907E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.026455E-30  1.001370E-30  1.000445E-30  1.000122E-30  1.000076E-30
     80  2.065592139419E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.027221E-30  1.001410E-30  1.000458E-30  1.000125E-30  1.000078E-30
     81  2.124047755162E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.027991E-30  1.001450E-30  1.000471E-30  1.000129E-30  1.000080E-30
     82  2.182855495215E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.028766E-30  1.001490E-30  1.000484E-30  1.000133E-30  1.000082E-30
     83  2.242014752368E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.029545E-30  1.001530E-30  1.000497E-30  1.000136E-30  1.000085E-30
     84  2.301524943777E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.030329E-30  1.001571E-30  1.000511E-30  1.000140E-30  1.000087E-30
     85  2.361385511936E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.031117E-30  1.001612E-30  1.000524E-30  1.000143E-30  1.000089E-30
     86  2.421595924701E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.031910E-30  1.001653E-30  1.000537E-30  1.000147E-30  1.000091E-30
     87  2.482155674804E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.032708E-30  1.001694E-30  1.000551E-30  1.000151E-30  1.000094E-30
     88  2.543064279071E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.033510E-30  1.001736E-30  1.000565E-30  1.000154E-30  1.000096E-30
     89  2.604321277494E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.034317E-30  1.001777E-30  1.000578E-30  1.000158E-30  1.000098E-30
     90  2.665926232237E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.035128E-30  1.001819E-30  1.000592E-30  1.000162E-30  1.000101E-30
     91  2.727878734382E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.035944E-30  1.001862E-30  1.000606E-30  1.000166E-30  1.000103E-30
     92  2.790178404165E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.036765E-30  1.001904E-30  1.000620E-30  1.000169E-30  1.000105E-30
     93  2.852824875480E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.037590E-30  1.001947E-30  1.000634E-30  1.000173E-30  1.000108E-30
     94  2.915817796872E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.038420E-30  1.001990E-30  1.000648E-30  1.000177E-30  1.000110E-30
     95  2.979156831833E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.039254E-30  1.002033E-30  1.000662E-30  1.000181E-30  1.000112E-30
